Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2095.833

painting_1 | status=sold | winner=Llama | winning_bid=1000
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 11: GPT-5.4 PASS (before=400, leader_after=bidder_1)

painting_4 | status=sold | winner=Opus | winning_bid=750
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Grok RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Llama PASS (before=200, leader_after=bidder_4)
  turn 6: Opus RAISE to 250 (before=200, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_3)
  turn 8: Grok PASS (before=300, leader_after=bidder_3)
  turn 9: Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 10: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_3)
  turn 11: Opus RAISE to 450 (before=400, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 500 (before=450, leader_after=bidder_3)
  turn 13: Opus RAISE to 550 (before=500, leader_after=bidder_1)
  turn 14: GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_3)
  turn 15: Opus RAISE to 650 (before=600, leader_after=bidder_1)
  turn 16: GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 17: Opus RAISE to 750 (before=700, leader_after=bidder_1)
  turn 18: GPT-5.4 PASS (before=750, leader_after=bidder_1)

painting_5 | status=sold | winner=GPT-5.4 | winning_bid=850
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Grok RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Llama RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Opus PASS (before=250, leader_after=bidder_5)
  turn 7: GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_3)
  turn 8: Grok RAISE to 500 (before=300, leader_after=bidder_4)
  turn 9: Llama RAISE to 600 (before=500, leader_after=bidder_5)
  turn 10: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_3)
  turn 11: Grok PASS (before=650, leader_after=bidder_3)
  turn 12: Llama RAISE to 700 (before=650, leader_after=bidder_5)
  turn 13: GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_3)
  turn 14: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 15: GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_3)
  turn 16: Llama PASS (before=850, leader_after=bidder_3)

painting_6 | status=sold | winner=GPT-5.4 | winning_bid=850
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Grok RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Llama RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Opus RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_3)
  turn 8: Grok RAISE to 600 (before=350, leader_after=bidder_4)
  turn 9: Llama PASS (before=600, leader_after=bidder_4)
  turn 10: Opus PASS (before=600, leader_after=bidder_4)
  turn 11: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_3)
  turn 12: Grok RAISE to 800 (before=650, leader_after=bidder_4)
  turn 13: GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_3)
  turn 14: Grok PASS (before=850, leader_after=bidder_3)

painting_7 | status=sold | winner=Opus | winning_bid=550
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: GPT-5.4 PASS (before=100, leader_after=bidder_1)
  turn 4: Grok RAISE to 200 (before=100, leader_after=bidder_4)
  turn 5: Llama RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Opus RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: Grok RAISE to 400 (before=300, leader_after=bidder_4)
  turn 8: Llama PASS (before=400, leader_after=bidder_4)
  turn 9: Opus RAISE to 450 (before=400, leader_after=bidder_1)
  turn 10: Grok RAISE to 500 (before=450, leader_after=bidder_4)
  turn 11: Opus RAISE to 550 (before=500, leader_after=bidder_1)
  turn 12: Grok PASS (before=550, leader_after=bidder_1)

painting_8 | status=sold | winner=Opus | winning_bid=350
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 PASS (before=150, leader_after=bidder_2)
  turn 4: Grok PASS (before=150, leader_after=bidder_2)
  turn 5: Llama RAISE to 200 (before=150, leader_after=bidder_5)
  turn 6: Opus RAISE to 250 (before=200, leader_after=bidder_1)
  turn 7: Pro PASS (before=250, leader_after=bidder_1)
  turn 8: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 9: Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 10: Llama PASS (before=350, leader_after=bidder_1)

painting_9 | status=sold | winner=GPT-5.4 | winning_bid=550
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Grok RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Llama PASS (before=200, leader_after=bidder_4)
  turn 6: Opus PASS (before=200, leader_after=bidder_4)
  turn 7: GPT-5.4 RAISE to 250 (before=200, leader_after=bidder_3)
  turn 8: Grok RAISE to 500 (before=250, leader_after=bidder_4)
  turn 9: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_3)
  turn 10: Grok PASS (before=550, leader_after=bidder_3)

painting_10 | status=sold | winner=Grok | winning_bid=7901
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: GPT-5.4 PASS (before=100, leader_after=bidder_1)
  turn 4: Grok RAISE to 150 (before=100, leader_after=bidder_4)
  turn 5: Llama PASS (before=150, leader_after=bidder_4)
  turn 6: Opus RAISE to 200 (before=150, leader_after=bidder_1)
  turn 7: Grok RAISE to 7901 (before=200, leader_after=bidder_4)
  turn 8: Opus PASS (before=7901, leader_after=bidder_4)

painting_11 | status=sold | winner=GPT-5.4 | winning_bid=2199
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Grok RAISE to 2099 (before=150, leader_after=bidder_4)
  turn 5: Llama PASS (before=2099, leader_after=bidder_4)
  turn 6: Opus PASS (before=2099, leader_after=bidder_4)
  turn 7: GPT-5.4 RAISE to 2199 (before=2099, leader_after=bidder_3)
  turn 8: Grok PASS (before=2199, leader_after=bidder_3)

painting_12 | status=sold | winner=Opus | winning_bid=7950
  turn 1: Opus RAISE to 7950 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=7950, leader_after=bidder_1)
  turn 3: GPT-5.4 PASS (before=7950, leader_after=bidder_1)
  turn 4: Grok PASS (before=7950, leader_after=bidder_1)
  turn 5: Llama RAISE to 8200 (before=7950, leader_after=bidder_1)
