Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2533.417

painting_1 | status=sold | winner=Llama | winning_bid=1200
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 5: Llama PASS (before=150, leader_after=bidder_4)
  turn 6: Grok RAISE to 200 (before=150, leader_after=bidder_1)
  turn 7: Pro PASS (before=200, leader_after=bidder_1)

painting_9 | status=sold | winner=Grok | winning_bid=8451
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro PASS (before=200, leader_after=bidder_3)
  turn 5: Llama RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Grok RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: Opus RAISE to 350 (before=300, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_3)
  turn 9: Llama PASS (before=400, leader_after=bidder_3)
  turn 10: Grok RAISE to 8451 (before=400, leader_after=bidder_1)
  turn 11: Opus PASS (before=8451, leader_after=bidder_1)
  turn 12: GPT-5.4 PASS (before=8451, leader_after=bidder_1)

painting_10 | status=sold | winner=Opus | winning_bid=800
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro PASS (before=200, leader_after=bidder_3)
  turn 5: Llama RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Grok PASS (before=250, leader_after=bidder_5)
  turn 7: Opus RAISE to 300 (before=250, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_3)
  turn 9: Llama PASS (before=350, leader_after=bidder_3)
  turn 10: Opus RAISE to 400 (before=350, leader_after=bidder_2)
  turn 11: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 12: Opus RAISE to 500 (before=450, leader_after=bidder_2)
  turn 13: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_3)
  turn 14: Opus RAISE to 600 (before=550, leader_after=bidder_2)
  turn 15: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_3)
  turn 16: Opus RAISE to 700 (before=650, leader_after=bidder_2)
  turn 17: GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_3)
  turn 18: Opus RAISE to 800 (before=750, leader_after=bidder_2)
  turn 19: GPT-5.4 PASS (before=800, leader_after=bidder_2)

painting_11 | status=sold | winner=GPT-5.4 | winning_bid=7700
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro PASS (before=200, leader_after=bidder_3)
  turn 5: Llama RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Grok RAISE to 1349 (before=250, leader_after=bidder_1)
  turn 7: Opus RAISE to 1449 (before=1349, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 1549 (before=1449, leader_after=bidder_3)
  turn 9: Llama PASS (before=1549, leader_after=bidder_3)
  turn 10: Grok PASS (before=1549, leader_after=bidder_3)
  turn 11: Opus RAISE to 1649 (before=1549, leader_after=bidder_2)
  turn 12: GPT-5.4 RAISE to 1749 (before=1649, leader_after=bidder_3)
  turn 13: Opus RAISE to 1849 (before=1749, leader_after=bidder_2)
  turn 14: GPT-5.4 RAISE to 7700 (before=1849, leader_after=bidder_3)
  turn 15: Opus PASS (before=7700, leader_after=bidder_3)

painting_12 | status=sold | winner=Llama | winning_bid=8500
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 PASS (before=150, leader_after=bidder_2)
  turn 4: Pro RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Llama RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Grok PASS (before=250, leader_after=bidder_5)
  turn 7: Opus RAISE to 300 (before=250, leader_after=bidder_2)
  turn 8: Pro PASS (before=300, leader_after=bidder_2)
  turn 9: Llama RAISE to 350 (before=300, leader_after=bidder_5)
  turn 10: Opus RAISE to 400 (before=350, leader_after=bidder_2)
  turn 11: Llama RAISE to 450 (before=400, leader_after=bidder_5)
  turn 12: Opus RAISE to 500 (before=450, leader_after=bidder_2)
  turn 13: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 14: Opus RAISE to 600 (before=550, leader_after=bidder_2)
  turn 15: Llama RAISE to 8500 (before=600, leader_after=bidder_5)
  turn 16: Opus PASS (before=8500, leader_after=bidder_5)
