Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2962.5

painting_1 | status=sold | winner=Math-T5 | winning_bid=1400
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T5 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Pro RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Grok RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Math-T5 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Pro RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Grok RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Math-T5 RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Llama RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Pro RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Grok PASS (before=950, leader_after=bidder_3)
  turn 20: Math-T5 RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 21: Llama RAISE to 1200 (before=1000, leader_after=bidder_1)
  turn 22: Pro PASS (before=1200, leader_after=bidder_1)
  turn 23: Opus PASS (before=1200, leader_after=bidder_1)
  turn 24: Math-T5 RAISE to 1300 (before=1200, leader_after=bidder_5)
  turn 25: Llama PASS (before=1300, leader_after=bidder_5)

painting_3 | status=sold | winner=Llama | winning_bid=1900
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T5 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Pro RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Grok PASS (before=450, leader_after=bidder_3)
  turn 10: Math-T5 RAISE to 500 (before=450, leader_after=bidder_5)
  turn 11: Llama RAISE to 550 (before=500, leader_after=bidder_1)
  turn 12: Pro RAISE to 600 (before=550, leader_after=bidder_2)
  turn 13: Opus RAISE to 650 (before=600, leader_after=bidder_3)
  turn 14: Math-T5 RAISE to 700 (before=650, leader_after=bidder_5)
  turn 15: Llama RAISE to 750 (before=700, leader_after=bidder_1)
  turn 16: Pro RAISE to 800 (before=750, leader_after=bidder_2)
  turn 17: Opus RAISE to 850 (before=800, leader_after=bidder_3)
  turn 18: Math-T5 RAISE to 900 (before=850, leader_after=bidder_5)
  turn 19: Llama RAISE to 950 (before=900, leader_after=bidder_1)
  turn 20: Pro RAISE to 1000 (before=950, leader_after=bidder_2)
  turn 21: Opus RAISE to 1100 (before=1000, leader_after=bidder_3)
  turn 22: Math-T5 RAISE to 1200 (before=1100, leader_after=bidder_5)
  turn 23: Llama RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 24: Pro PASS (before=1300, leader_after=bidder_1)
  turn 25: Opus RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 26: Math-T5 RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 27: Llama RAISE to 1700 (before=1500, leader_after=bidder_1)
  turn 28: Opus PASS (before=1700, leader_after=bidder_1)
  turn 29: Math-T5 RAISE to 1800 (before=1700, leader_after=bidder_5)
  turn 30: Llama RAISE to 1900 (before=1800, leader_after=bidder_1)
  turn 31: Math-T5 PASS (before=1900, leader_after=bidder_1)

painting_4 | status=sold | winner=Pro | winning_bid=2400
  turn 1: Llama RAISE to 900 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 950 (before=900, leader_after=bidder_2)
  turn 3: Opus RAISE to 1000 (before=950, leader_after=bidder_3)
  turn 4: Grok RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 5: Math-T5 RAISE to 1200 (before=1100, leader_after=bidder_5)
  turn 6: Llama RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 7: Pro RAISE to 1400 (before=1300, leader_after=bidder_2)
  turn 8: Opus RAISE to 1500 (before=1400, leader_after=bidder_3)
  turn 9: Grok PASS (before=1500, leader_after=bidder_3)
  turn 10: Math-T5 RAISE to 1600 (before=1500, leader_after=bidder_5)
  turn 11: Llama RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 12: Pro RAISE to 1800 (before=1700, leader_after=bidder_2)
  turn 13: Opus PASS (before=1800, leader_after=bidder_2)
  turn 14: Math-T5 RAISE to 1900 (before=1800, leader_after=bidder_5)
  turn 15: Llama RAISE to 2000 (before=1900, leader_after=bidder_1)
  turn 16: Pro RAISE to 2100 (before=2000, leader_after=bidder_2)
  turn 17: Math-T5 RAISE to 2200 (before=2100, leader_after=bidder_5)
  turn 18: Llama RAISE to 2300 (before=2200, leader_after=bidder_1)
  turn 19: Pro RAISE to 2400 (before=2300, leader_after=bidder_2)
  turn 20: Math-T5 PASS (before=2400, leader_after=bidder_2)
  turn 21: Llama PASS (before=2400, leader_after=bidder_2)

painting_5 | status=sold | winner=Math-T5 | winning_bid=1700
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T5 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Pro RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Grok RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Math-T5 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Pro RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Grok RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Math-T5 RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Llama RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Pro RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Grok RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Math-T5 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: Llama PASS (before=1100, leader_after=bidder_5)
  turn 22: Pro PASS (before=1100, leader_after=bidder_5)
  turn 23: Opus RAISE to 1200 (before=1100, leader_after=bidder_3)
  turn 24: Grok PASS (before=1200, leader_after=bidder_3)
  turn 25: Math-T5 RAISE to 1300 (before=1200, leader_after=bidder_5)
  turn 26: Opus RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 27: Math-T5 RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 28: Opus RAISE to 1600 (before=1500, leader_after=bidder_3)
  turn 29: Math-T5 RAISE to 1700 (before=1600, leader_after=bidder_5)
  turn 30: Opus PASS (before=1700, leader_after=bidder_5)

painting_6 | status=sold | winner=Math-T5 | winning_bid=2900
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T5 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Pro RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Grok RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Math-T5 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Pro RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Grok RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Math-T5 RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Llama RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Pro RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Grok RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Math-T5 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: Llama RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 22: Pro PASS (before=1200, leader_after=bidder_1)
  turn 23: Opus RAISE to 1300 (before=1200, leader_after=bidder_3)
  turn 24: Grok RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 25: Math-T5 RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 26: Llama PASS (before=1500, leader_after=bidder_5)
  turn 27: Opus RAISE to 1600 (before=1500, leader_after=bidder_3)
  turn 28: Grok PASS (before=1600, leader_after=bidder_3)
  turn 29: Math-T5 RAISE to 1700 (before=1600, leader_after=bidder_5)
  turn 30: Opus RAISE to 1800 (before=1700, leader_after=bidder_3)
  turn 31: Math-T5 RAISE to 1900 (before=1800, leader_after=bidder_5)
  turn 32: Opus RAISE to 2000 (before=1900, leader_after=bidder_3)
  turn 33: Math-T5 RAISE to 2100 (before=2000, leader_after=bidder_5)
  turn 34: Opus RAISE to 2200 (before=2100, leader_after=bidder_3)
  turn 35: Math-T5 RAISE to 2300 (before=2200, leader_after=bidder_5)
  turn 36: Opus RAISE to 2400 (before=2300, leader_after=bidder_3)
  turn 37: Math-T5 RAISE to 2500 (before=2400, leader_after=bidder_5)
  turn 38: Opus RAISE to 2600 (before=2500, leader_after=bidder_3)
  turn 39: Math-T5 RAISE to 2700 (before=2600, leader_after=bidder_5)
  turn 40: Opus RAISE to 2800 (before=2700, leader_after=bidder_3)
  turn 41: Math-T5 RAISE to 2900 (before=2800, leader_after=bidder_5)
  turn 42: Opus PASS (before=2900, leader_after=bidder_5)

painting_7 | status=sold | winner=Llama | winning_bid=4000
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T5 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Pro RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Grok RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Math-T5 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Pro RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Grok RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Math-T5 RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Llama RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Pro RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Grok PASS (before=950, leader_after=bidder_3)
  turn 20: Math-T5 RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 21: Llama RAISE to 1100 (before=1000, leader_after=bidder_1)
  turn 22: Pro RAISE to 1200 (before=1100, leader_after=bidder_2)
  turn 23: Opus RAISE to 1300 (before=1200, leader_after=bidder_3)
  turn 24: Math-T5 RAISE to 1400 (before=1300, leader_after=bidder_5)
  turn 25: Llama RAISE to 1500 (before=1400, leader_after=bidder_1)
  turn 26: Pro PASS (before=1500, leader_after=bidder_1)
  turn 27: Opus RAISE to 1600 (before=1500, leader_after=bidder_3)
  turn 28: Math-T5 RAISE to 1700 (before=1600, leader_after=bidder_5)
  turn 29: Llama RAISE to 1900 (before=1700, leader_after=bidder_1)
  turn 30: Opus RAISE to 2000 (before=1900, leader_after=bidder_3)
  turn 31: Math-T5 RAISE to 2100 (before=2000, leader_after=bidder_5)
  turn 32: Llama RAISE to 2300 (before=2100, leader_after=bidder_1)
  turn 33: Opus RAISE to 2400 (before=2300, leader_after=bidder_3)
  turn 34: Math-T5 RAISE to 2500 (before=2400, leader_after=bidder_5)
  turn 35: Llama RAISE to 2700 (before=2500, leader_after=bidder_1)
  turn 36: Opus RAISE to 2800 (before=2700, leader_after=bidder_3)
  turn 37: Math-T5 PASS (before=2800, leader_after=bidder_3)
  turn 38: Llama RAISE to 3000 (before=2800, leader_after=bidder_1)
  turn 39: Opus RAISE to 3250 (before=3000, leader_after=bidder_3)
  turn 40: Llama RAISE to 3500 (before=3250, leader_after=bidder_1)
  turn 41: Opus RAISE to 3750 (before=3500, leader_after=bidder_3)
  turn 42: Llama RAISE to 4000 (before=3750, leader_after=bidder_1)
  turn 43: Opus PASS (before=4000, leader_after=bidder_1)

painting_8 | status=sold | winner=Opus | winning_bid=4250
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T5 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Pro RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Grok RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Math-T5 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Pro RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Grok RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Math-T5 RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Llama RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Pro RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Grok RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Math-T5 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: Llama RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 22: Pro RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 23: Opus RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 24: Grok RAISE to 1500 (before=1400, leader_after=bidder_4)
  turn 25: Math-T5 RAISE to 1600 (before=1500, leader_after=bidder_5)
  turn 26: Llama RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 27: Pro PASS (before=1700, leader_after=bidder_1)
  turn 28: Opus RAISE to 1800 (before=1700, leader_after=bidder_3)
  turn 29: Grok RAISE to 1900 (before=1800, leader_after=bidder_4)
  turn 30: Math-T5 RAISE to 2000 (before=1900, leader_after=bidder_5)
  turn 31: Llama RAISE to 2100 (before=2000, leader_after=bidder_1)
  turn 32: Opus RAISE to 2200 (before=2100, leader_after=bidder_3)
  turn 33: Grok PASS (before=2200, leader_after=bidder_3)
  turn 34: Math-T5 RAISE to 2300 (before=2200, leader_after=bidder_5)
  turn 35: Llama RAISE to 2500 (before=2300, leader_after=bidder_1)
  turn 36: Opus RAISE to 2600 (before=2500, leader_after=bidder_3)
  turn 37: Math-T5 RAISE to 2700 (before=2600, leader_after=bidder_5)
  turn 38: Llama RAISE to 3000 (before=2700, leader_after=bidder_1)
  turn 39: Opus RAISE to 3250 (before=3000, leader_after=bidder_3)
  turn 40: Math-T5 PASS (before=3250, leader_after=bidder_3)
  turn 41: Llama RAISE to 3500 (before=3250, leader_after=bidder_1)
  turn 42: Opus RAISE to 3750 (before=3500, leader_after=bidder_3)
  turn 43: Llama RAISE to 4000 (before=3750, leader_after=bidder_1)
  turn 44: Opus RAISE to 4250 (before=4000, leader_after=bidder_3)
  turn 45: Llama RAISE to 4500 (before=4250, leader_after=bidder_3)

painting_9 | status=sold | winner=Grok | winning_bid=2600
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T5 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Pro RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Grok RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Math-T5 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Pro RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Grok RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Math-T5 PASS (before=750, leader_after=bidder_4)
  turn 16: Llama RAISE to 800 (before=750, leader_after=bidder_1)
  turn 17: Pro RAISE to 850 (before=800, leader_after=bidder_2)
  turn 18: Opus RAISE to 900 (before=850, leader_after=bidder_3)
  turn 19: Grok RAISE to 950 (before=900, leader_after=bidder_4)
  turn 20: Llama RAISE to 1000 (before=950, leader_after=bidder_1)
  turn 21: Pro RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 22: Opus RAISE to 1200 (before=1100, leader_after=bidder_3)
  turn 23: Grok RAISE to 1300 (before=1200, leader_after=bidder_4)
  turn 24: Llama RAISE to 1500 (before=1300, leader_after=bidder_1)
  turn 25: Pro RAISE to 1600 (before=1500, leader_after=bidder_2)
  turn 26: Opus PASS (before=1600, leader_after=bidder_2)
  turn 27: Grok RAISE to 1700 (before=1600, leader_after=bidder_4)
  turn 28: Llama RAISE to 2000 (before=1700, leader_after=bidder_1)
  turn 29: Pro PASS (before=2000, leader_after=bidder_1)
  turn 30: Grok RAISE to 2100 (before=2000, leader_after=bidder_4)
  turn 31: Llama RAISE to 2500 (before=2100, leader_after=bidder_1)
  turn 32: Grok RAISE to 2600 (before=2500, leader_after=bidder_4)
  turn 33: Llama PASS (before=2600, leader_after=bidder_4)

painting_10 | status=sold | winner=Pro | winning_bid=2600
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T5 PASS (before=250, leader_after=bidder_4)
  turn 6: Llama RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: Pro RAISE to 350 (before=300, leader_after=bidder_2)
  turn 8: Opus RAISE to 400 (before=350, leader_after=bidder_3)
  turn 9: Grok RAISE to 450 (before=400, leader_after=bidder_4)
  turn 10: Llama RAISE to 500 (before=450, leader_after=bidder_1)
  turn 11: Pro RAISE to 550 (before=500, leader_after=bidder_2)
  turn 12: Opus RAISE to 600 (before=550, leader_after=bidder_3)
  turn 13: Grok RAISE to 650 (before=600, leader_after=bidder_4)
  turn 14: Llama RAISE to 700 (before=650, leader_after=bidder_1)
  turn 15: Pro RAISE to 750 (before=700, leader_after=bidder_2)
  turn 16: Opus RAISE to 800 (before=750, leader_after=bidder_3)
  turn 17: Grok RAISE to 850 (before=800, leader_after=bidder_4)
  turn 18: Llama RAISE to 900 (before=850, leader_after=bidder_1)
  turn 19: Pro RAISE to 950 (before=900, leader_after=bidder_2)
  turn 20: Opus RAISE to 1000 (before=950, leader_after=bidder_3)
  turn 21: Grok RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 22: Llama RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 23: Pro RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 24: Opus RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 25: Grok RAISE to 1500 (before=1400, leader_after=bidder_4)
  turn 26: Llama RAISE to 1700 (before=1500, leader_after=bidder_1)
  turn 27: Pro RAISE to 1800 (before=1700, leader_after=bidder_2)
  turn 28: Opus PASS (before=1800, leader_after=bidder_2)
  turn 29: Grok RAISE to 1900 (before=1800, leader_after=bidder_4)
  turn 30: Llama RAISE to 2000 (before=1900, leader_after=bidder_1)
  turn 31: Pro RAISE to 2100 (before=2000, leader_after=bidder_2)
  turn 32: Grok RAISE to 2200 (before=2100, leader_after=bidder_4)
  turn 33: Llama RAISE to 2500 (before=2200, leader_after=bidder_1)
  turn 34: Pro RAISE to 2600 (before=2500, leader_after=bidder_2)
  turn 35: Grok PASS (before=2600, leader_after=bidder_2)
  turn 36: Llama PASS (before=2600, leader_after=bidder_2)

painting_11 | status=sold | winner=Opus | winning_bid=5250
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok PASS (before=200, leader_after=bidder_3)
  turn 5: Math-T5 RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Llama RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: Pro RAISE to 350 (before=300, leader_after=bidder_2)
  turn 8: Opus RAISE to 400 (before=350, leader_after=bidder_3)
  turn 9: Math-T5 PASS (before=400, leader_after=bidder_3)
  turn 10: Llama RAISE to 450 (before=400, leader_after=bidder_1)
  turn 11: Pro RAISE to 500 (before=450, leader_after=bidder_2)
  turn 12: Opus RAISE to 550 (before=500, leader_after=bidder_3)
  turn 13: Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 14: Pro RAISE to 650 (before=600, leader_after=bidder_2)
  turn 15: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 16: Llama RAISE to 800 (before=700, leader_after=bidder_1)
  turn 17: Pro RAISE to 850 (before=800, leader_after=bidder_2)
  turn 18: Opus RAISE to 900 (before=850, leader_after=bidder_3)
  turn 19: Llama RAISE to 950 (before=900, leader_after=bidder_1)
  turn 20: Pro RAISE to 1000 (before=950, leader_after=bidder_2)
  turn 21: Opus RAISE to 1100 (before=1000, leader_after=bidder_3)
  turn 22: Llama RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 23: Pro RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 24: Opus RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 25: Llama RAISE to 1500 (before=1400, leader_after=bidder_1)
  turn 26: Pro RAISE to 1600 (before=1500, leader_after=bidder_2)
  turn 27: Opus RAISE to 1700 (before=1600, leader_after=bidder_3)
  turn 28: Llama RAISE to 1800 (before=1700, leader_after=bidder_1)
  turn 29: Pro RAISE to 1900 (before=1800, leader_after=bidder_2)
  turn 30: Opus RAISE to 2000 (before=1900, leader_after=bidder_3)
  turn 31: Llama RAISE to 2100 (before=2000, leader_after=bidder_1)
  turn 32: Pro RAISE to 2200 (before=2100, leader_after=bidder_2)
  turn 33: Opus RAISE to 2300 (before=2200, leader_after=bidder_3)
  turn 34: Llama RAISE to 2400 (before=2300, leader_after=bidder_1)
  turn 35: Pro RAISE to 2500 (before=2400, leader_after=bidder_2)
  turn 36: Opus RAISE to 2600 (before=2500, leader_after=bidder_3)
  turn 37: Llama RAISE to 2700 (before=2600, leader_after=bidder_1)
  turn 38: Pro RAISE to 2800 (before=2700, leader_after=bidder_2)
  turn 39: Opus RAISE to 2900 (before=2800, leader_after=bidder_3)
  turn 40: Llama PASS (before=2900, leader_after=bidder_3)
  turn 41: Pro RAISE to 3000 (before=2900, leader_after=bidder_2)
  turn 42: Opus RAISE to 3250 (before=3000, leader_after=bidder_3)
  turn 43: Pro RAISE to 3500 (before=3250, leader_after=bidder_2)
  turn 44: Opus RAISE to 3750 (before=3500, leader_after=bidder_3)
  turn 45: Pro RAISE to 5000 (before=3750, leader_after=bidder_2)
  turn 46: Opus RAISE to 5250 (before=5000, leader_after=bidder_3)
  turn 47: Pro PASS (before=5250, leader_after=bidder_3)

painting_12 | status=sold | winner=Grok | winning_bid=5250
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 5000 (before=100, leader_after=bidder_2)
  turn 3: Opus PASS (before=5000, leader_after=bidder_2)
  turn 4: Grok RAISE to 5250 (before=5000, leader_after=bidder_4)
  turn 5: Math-T5 PASS (before=5250, leader_after=bidder_4)
  turn 6: Llama PASS (before=5250, leader_after=bidder_4)
  turn 7: Pro PASS (before=5250, leader_after=bidder_4)
