Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2158.333

painting_1 | status=sold | winner=Mimic-Pro | winning_bid=1600
  turn 1: Mimic-GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 7: Mimic-Pro RAISE to 450 (before=400, leader_after=bidder_2)
  turn 8: Math-T2 RAISE to 500 (before=450, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 550 (before=500, leader_after=bidder_4)
  turn 10: Mimic-Opus RAISE to 600 (before=550, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_1)
  turn 12: Mimic-Pro RAISE to 700 (before=650, leader_after=bidder_2)
  turn 13: Math-T2 RAISE to 750 (before=700, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 850 (before=750, leader_after=bidder_4)
  turn 15: Mimic-Opus RAISE to 950 (before=850, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_1)
  turn 17: Mimic-Pro RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 18: Math-T2 RAISE to 1200 (before=1100, leader_after=bidder_3)
  turn 19: Mimic-Llama RAISE to 1300 (before=1200, leader_after=bidder_4)
  turn 20: Mimic-Opus RAISE to 1400 (before=1300, leader_after=bidder_5)
  turn 21: Mimic-GPT-5.4 RAISE to 1500 (before=1400, leader_after=bidder_1)
  turn 22: Mimic-Pro RAISE to 1600 (before=1500, leader_after=bidder_2)
  turn 23: Math-T2 PASS (before=1600, leader_after=bidder_2)
  turn 24: Mimic-Llama RAISE to 1700 (before=1600, leader_after=bidder_4)
  turn 25: Mimic-Opus RAISE to 1900 (before=1700, leader_after=bidder_5)
  turn 26: Mimic-GPT-5.4 PASS (before=1900, leader_after=bidder_5)
  turn 27: Mimic-Pro RAISE to 2000 (before=1900, leader_after=bidder_2)
  turn 28: Mimic-Llama RAISE to 2100 (before=2000, leader_after=bidder_4)
  turn 29: Mimic-Opus PASS (before=2100, leader_after=bidder_4)
  turn 30: Mimic-Pro RAISE to 2200 (before=2100, leader_after=bidder_2)
  turn 31: Mimic-Llama RAISE to 2300 (before=2200, leader_after=bidder_4)
  turn 32: Mimic-Pro PASS (before=2300, leader_after=bidder_4)

painting_8 | status=sold | winner=Mimic-GPT-5.4 | winning_bid=1900
  turn 1: Mimic-GPT-5.4 RAISE to 200 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Pro RAISE to 250 (before=200, leader_after=bidder_2)
  turn 3: Math-T2 RAISE to 300 (before=250, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 350 (before=300, leader_after=bidder_4)
  turn 5: Mimic-Opus RAISE to 400 (before=350, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_1)
  turn 7: Mimic-Pro RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Math-T2 RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 600 (before=550, leader_after=bidder_4)
  turn 10: Mimic-Opus RAISE to 650 (before=600, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 750 (before=650, leader_after=bidder_1)
  turn 12: Mimic-Pro RAISE to 800 (before=750, leader_after=bidder_2)
  turn 13: Math-T2 RAISE to 850 (before=800, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 900 (before=850, leader_after=bidder_4)
  turn 15: Mimic-Opus RAISE to 1000 (before=900, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 1200 (before=1000, leader_after=bidder_1)
  turn 17: Mimic-Pro RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 18: Math-T2 RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 19: Mimic-Llama PASS (before=1400, leader_after=bidder_3)
  turn 20: Mimic-Opus RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 21: Mimic-GPT-5.4 RAISE to 1600 (before=1500, leader_after=bidder_1)
  turn 22: Mimic-Pro RAISE to 1800 (before=1600, leader_after=bidder_2)
  turn 23: Math-T2 PASS (before=1800, leader_after=bidder_2)
  turn 24: Mimic-Opus PASS (before=1800, leader_after=bidder_2)
  turn 25: Mimic-GPT-5.4 RAISE to 1900 (before=1800, leader_after=bidder_1)
  turn 26: Mimic-Pro PASS (before=1900, leader_after=bidder_1)

painting_9 | status=sold | winner=Mimic-Opus | winning_bid=2300
  turn 1: Mimic-GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Pro RAISE to 250 (before=100, leader_after=bidder_2)
  turn 3: Math-T2 RAISE to 300 (before=250, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 350 (before=300, leader_after=bidder_4)
  turn 5: Mimic-Opus RAISE to 450 (before=350, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 500 (before=450, leader_after=bidder_1)
  turn 7: Mimic-Pro RAISE to 550 (before=500, leader_after=bidder_2)
  turn 8: Math-T2 RAISE to 600 (before=550, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 700 (before=600, leader_after=bidder_4)
  turn 10: Mimic-Opus RAISE to 800 (before=700, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 900 (before=800, leader_after=bidder_1)
  turn 12: Mimic-Pro RAISE to 950 (before=900, leader_after=bidder_2)
  turn 13: Math-T2 RAISE to 1000 (before=950, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 15: Mimic-Opus RAISE to 1200 (before=1100, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 17: Mimic-Pro RAISE to 1400 (before=1300, leader_after=bidder_2)
  turn 18: Math-T2 RAISE to 1500 (before=1400, leader_after=bidder_3)
  turn 19: Mimic-Llama PASS (before=1500, leader_after=bidder_3)
  turn 20: Mimic-Opus RAISE to 1700 (before=1500, leader_after=bidder_5)
  turn 21: Mimic-GPT-5.4 RAISE to 1900 (before=1700, leader_after=bidder_1)
  turn 22: Mimic-Pro PASS (before=1900, leader_after=bidder_1)
  turn 23: Math-T2 RAISE to 2000 (before=1900, leader_after=bidder_3)
  turn 24: Mimic-Opus RAISE to 2100 (before=2000, leader_after=bidder_5)
  turn 25: Mimic-GPT-5.4 PASS (before=2100, leader_after=bidder_5)
  turn 26: Math-T2 RAISE to 2200 (before=2100, leader_after=bidder_3)
  turn 27: Mimic-Opus RAISE to 2300 (before=2200, leader_after=bidder_5)
  turn 28: Math-T2 PASS (before=2300, leader_after=bidder_5)

painting_10 | status=sold | winner=Mimic-Pro | winning_bid=3000
  turn 1: Mimic-GPT-5.4 RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Pro RAISE to 200 (before=150, leader_after=bidder_2)
  turn 3: Math-T2 RAISE to 250 (before=200, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Mimic-Opus RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 450 (before=350, leader_after=bidder_1)
  turn 7: Mimic-Pro RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Math-T2 RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 650 (before=550, leader_after=bidder_4)
  turn 10: Mimic-Opus RAISE to 700 (before=650, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_1)
  turn 12: Mimic-Pro RAISE to 800 (before=750, leader_after=bidder_2)
  turn 13: Math-T2 RAISE to 850 (before=800, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 900 (before=850, leader_after=bidder_4)
  turn 15: Mimic-Opus RAISE to 950 (before=900, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_1)
  turn 17: Mimic-Pro RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 18: Math-T2 RAISE to 1200 (before=1100, leader_after=bidder_3)
  turn 19: Mimic-Llama RAISE to 1300 (before=1200, leader_after=bidder_4)
  turn 20: Mimic-Opus RAISE to 1400 (before=1300, leader_after=bidder_5)
  turn 21: Mimic-GPT-5.4 RAISE to 1500 (before=1400, leader_after=bidder_1)
  turn 22: Mimic-Pro RAISE to 1600 (before=1500, leader_after=bidder_2)
  turn 23: Math-T2 RAISE to 1700 (before=1600, leader_after=bidder_3)
  turn 24: Mimic-Llama PASS (before=1700, leader_after=bidder_3)
  turn 25: Mimic-Opus PASS (before=1700, leader_after=bidder_3)
  turn 26: Mimic-GPT-5.4 RAISE to 1800 (before=1700, leader_after=bidder_1)
  turn 27: Mimic-Pro RAISE to 1900 (before=1800, leader_after=bidder_2)
  turn 28: Math-T2 RAISE to 2000 (before=1900, leader_after=bidder_3)
  turn 29: Mimic-GPT-5.4 RAISE to 2300 (before=2000, leader_after=bidder_1)
  turn 30: Mimic-Pro RAISE to 2400 (before=2300, leader_after=bidder_2)
  turn 31: Math-T2 RAISE to 2500 (before=2400, leader_after=bidder_3)
  turn 32: Mimic-GPT-5.4 RAISE to 2700 (before=2500, leader_after=bidder_1)
  turn 33: Mimic-Pro RAISE to 2800 (before=2700, leader_after=bidder_2)
  turn 34: Math-T2 RAISE to 2900 (before=2800, leader_after=bidder_3)
  turn 35: Mimic-GPT-5.4 PASS (before=2900, leader_after=bidder_3)
  turn 36: Mimic-Pro RAISE to 3000 (before=2900, leader_after=bidder_2)
  turn 37: Math-T2 PASS (before=3000, leader_after=bidder_2)

painting_11 | status=sold | winner=Math-T2 | winning_bid=2700
  turn 1: Mimic-GPT-5.4 RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Pro RAISE to 200 (before=150, leader_after=bidder_2)
  turn 3: Math-T2 RAISE to 250 (before=200, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Mimic-Opus RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 450 (before=350, leader_after=bidder_1)
  turn 7: Mimic-Pro RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Math-T2 RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 600 (before=550, leader_after=bidder_4)
  turn 10: Mimic-Opus RAISE to 700 (before=600, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 800 (before=700, leader_after=bidder_1)
  turn 12: Mimic-Pro RAISE to 850 (before=800, leader_after=bidder_2)
  turn 13: Math-T2 RAISE to 900 (before=850, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 1000 (before=900, leader_after=bidder_4)
  turn 15: Mimic-Opus RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 17: Mimic-Pro RAISE to 1400 (before=1200, leader_after=bidder_2)
  turn 18: Math-T2 RAISE to 1500 (before=1400, leader_after=bidder_3)
  turn 19: Mimic-Llama RAISE to 1600 (before=1500, leader_after=bidder_4)
  turn 20: Mimic-Opus RAISE to 1700 (before=1600, leader_after=bidder_5)
  turn 21: Mimic-GPT-5.4 RAISE to 1800 (before=1700, leader_after=bidder_1)
  turn 22: Mimic-Pro RAISE to 1900 (before=1800, leader_after=bidder_2)
  turn 23: Math-T2 RAISE to 2000 (before=1900, leader_after=bidder_3)
  turn 24: Mimic-Llama RAISE to 2100 (before=2000, leader_after=bidder_4)
  turn 25: Mimic-Opus RAISE to 2200 (before=2100, leader_after=bidder_5)
  turn 26: Mimic-GPT-5.4 RAISE to 2300 (before=2200, leader_after=bidder_1)
  turn 27: Mimic-Pro RAISE to 2400 (before=2300, leader_after=bidder_2)
  turn 28: Math-T2 RAISE to 2500 (before=2400, leader_after=bidder_3)
  turn 29: Mimic-Llama RAISE to 2600 (before=2500, leader_after=bidder_4)
  turn 30: Mimic-Opus PASS (before=2600, leader_after=bidder_4)
  turn 31: Mimic-GPT-5.4 PASS (before=2600, leader_after=bidder_4)
  turn 32: Mimic-Pro PASS (before=2600, leader_after=bidder_4)
  turn 33: Math-T2 RAISE to 2700 (before=2600, leader_after=bidder_3)
  turn 34: Mimic-Llama PASS (before=2700, leader_after=bidder_3)

painting_12 | status=sold | winner=Math-T2 | winning_bid=4750
  turn 1: Mimic-GPT-5.4 RAISE to 200 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Pro RAISE to 250 (before=200, leader_after=bidder_2)
  turn 3: Math-T2 RAISE to 300 (before=250, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 350 (before=300, leader_after=bidder_4)
  turn 5: Mimic-Opus RAISE to 400 (before=350, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_1)
  turn 7: Mimic-Pro RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Math-T2 RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 600 (before=550, leader_after=bidder_4)
  turn 10: Mimic-Opus RAISE to 700 (before=600, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 800 (before=700, leader_after=bidder_1)
  turn 12: Mimic-Pro RAISE to 850 (before=800, leader_after=bidder_2)
  turn 13: Math-T2 RAISE to 900 (before=850, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 950 (before=900, leader_after=bidder_4)
  turn 15: Mimic-Opus RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_1)
  turn 17: Mimic-Pro RAISE to 1200 (before=1100, leader_after=bidder_2)
  turn 18: Math-T2 RAISE to 1300 (before=1200, leader_after=bidder_3)
  turn 19: Mimic-Llama RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 20: Mimic-Opus RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 21: Mimic-GPT-5.4 RAISE to 1700 (before=1500, leader_after=bidder_1)
  turn 22: Mimic-Pro RAISE to 1800 (before=1700, leader_after=bidder_2)
  turn 23: Math-T2 RAISE to 1900 (before=1800, leader_after=bidder_3)
  turn 24: Mimic-Llama RAISE to 2000 (before=1900, leader_after=bidder_4)
  turn 25: Mimic-Opus RAISE to 2100 (before=2000, leader_after=bidder_5)
  turn 26: Mimic-GPT-5.4 RAISE to 2300 (before=2100, leader_after=bidder_1)
  turn 27: Mimic-Pro RAISE to 2400 (before=2300, leader_after=bidder_2)
  turn 28: Math-T2 RAISE to 2500 (before=2400, leader_after=bidder_3)
  turn 29: Mimic-Llama RAISE to 2600 (before=2500, leader_after=bidder_4)
  turn 30: Mimic-Opus RAISE to 2700 (before=2600, leader_after=bidder_5)
  turn 31: Mimic-GPT-5.4 RAISE to 2800 (before=2700, leader_after=bidder_1)
  turn 32: Mimic-Pro RAISE to 2900 (before=2800, leader_after=bidder_2)
  turn 33: Math-T2 RAISE to 3000 (before=2900, leader_after=bidder_3)
  turn 34: Mimic-Llama RAISE to 3250 (before=3000, leader_after=bidder_4)
  turn 35: Mimic-Opus RAISE to 3750 (before=3250, leader_after=bidder_5)
  turn 36: Mimic-GPT-5.4 RAISE to 4000 (before=3750, leader_after=bidder_1)
  turn 37: Mimic-Pro PASS (before=4000, leader_after=bidder_1)
  turn 38: Math-T2 RAISE to 4250 (before=4000, leader_after=bidder_3)
  turn 39: Mimic-Llama PASS (before=4250, leader_after=bidder_3)
  turn 40: Mimic-Opus PASS (before=4250, leader_after=bidder_3)
  turn 41: Mimic-GPT-5.4 RAISE to 4500 (before=4250, leader_after=bidder_1)
  turn 42: Math-T2 RAISE to 4750 (before=4500, leader_after=bidder_3)
