Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2183.333

painting_1 | status=sold | winner=Mimic-Pro | winning_bid=1100
  turn 1: Mimic-Llama RAISE to 150 (before=0, leader_after=bidder_1)
  turn 14: Mimic-Pro RAISE to 850 (before=800, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 900 (before=850, leader_after=bidder_5)
  turn 16: Mimic-Llama RAISE to 950 (before=900, leader_after=bidder_1)
  turn 17: Mimic-Opus RAISE to 1000 (before=950, leader_after=bidder_2)
  turn 18: Mimic-Pro PASS (before=1000, leader_after=bidder_2)
  turn 19: Math-T2 PASS (before=1000, leader_after=bidder_2)
  turn 20: Mimic-Llama RAISE to 1100 (before=1000, leader_after=bidder_1)
  turn 21: Mimic-Opus PASS (before=1100, leader_after=bidder_1)

painting_3 | status=sold | winner=Mimic-Opus | winning_bid=1100
  turn 1: Mimic-Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Pro RAISE to 300 (before=200, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 400 (before=350, leader_after=bidder_1)
  turn 7: Mimic-Opus RAISE to 450 (before=400, leader_after=bidder_2)
  turn 8: Mimic-Grok RAISE to 500 (before=450, leader_after=bidder_3)
  turn 9: Mimic-Pro RAISE to 550 (before=500, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 600 (before=550, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 650 (before=600, leader_after=bidder_1)
  turn 12: Mimic-Opus RAISE to 700 (before=650, leader_after=bidder_2)
  turn 13: Mimic-Grok RAISE to 800 (before=700, leader_after=bidder_3)
  turn 14: Mimic-Pro PASS (before=800, leader_after=bidder_3)
  turn 15: Math-T2 RAISE to 850 (before=800, leader_after=bidder_5)
  turn 16: Mimic-Llama RAISE to 900 (before=850, leader_after=bidder_1)
  turn 17: Mimic-Opus RAISE to 950 (before=900, leader_after=bidder_2)
  turn 18: Mimic-Grok PASS (before=950, leader_after=bidder_2)
  turn 19: Math-T2 RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 20: Mimic-Llama PASS (before=1000, leader_after=bidder_5)
  turn 21: Mimic-Opus RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 22: Math-T2 PASS (before=1100, leader_after=bidder_2)

painting_4 | status=sold | winner=Math-T2 | winning_bid=1100
  turn 1: Mimic-Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Mimic-Opus RAISE to 450 (before=350, leader_after=bidder_2)
  turn 8: Mimic-Grok RAISE to 500 (before=450, leader_after=bidder_3)
  turn 9: Mimic-Pro RAISE to 550 (before=500, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 600 (before=550, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 650 (before=600, leader_after=bidder_1)
  turn 12: Mimic-Opus RAISE to 700 (before=650, leader_after=bidder_2)
  turn 13: Mimic-Grok RAISE to 750 (before=700, leader_after=bidder_3)
  turn 14: Mimic-Pro RAISE to 800 (before=750, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 850 (before=800, leader_after=bidder_5)
  turn 16: Mimic-Llama PASS (before=850, leader_after=bidder_5)
  turn 17: Mimic-Opus RAISE to 950 (before=850, leader_after=bidder_2)
  turn 18: Mimic-Grok PASS (before=950, leader_after=bidder_2)
  turn 19: Mimic-Pro RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Math-T2 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: Mimic-Opus PASS (before=1100, leader_after=bidder_5)
  turn 22: Mimic-Pro PASS (before=1100, leader_after=bidder_5)

painting_5 | status=sold | winner=Mimic-Llama | winning_bid=2100
  turn 1: Mimic-Llama RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Opus RAISE to 200 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Grok RAISE to 300 (before=200, leader_after=bidder_3)
  turn 4: Mimic-Pro RAISE to 350 (before=300, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 400 (before=350, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 500 (before=400, leader_after=bidder_1)
  turn 7: Mimic-Opus RAISE to 550 (before=500, leader_after=bidder_2)
  turn 8: Mimic-Grok RAISE to 600 (before=550, leader_after=bidder_3)
  turn 9: Mimic-Pro RAISE to 700 (before=600, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 750 (before=700, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 800 (before=750, leader_after=bidder_1)
  turn 12: Mimic-Opus RAISE to 900 (before=800, leader_after=bidder_2)
  turn 13: Mimic-Grok RAISE to 950 (before=900, leader_after=bidder_3)
  turn 14: Mimic-Pro RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 16: Mimic-Llama RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 17: Mimic-Opus PASS (before=1200, leader_after=bidder_1)
  turn 18: Mimic-Grok RAISE to 1300 (before=1200, leader_after=bidder_3)
  turn 19: Mimic-Pro PASS (before=1300, leader_after=bidder_3)
  turn 20: Math-T2 PASS (before=1300, leader_after=bidder_3)
  turn 21: Mimic-Llama RAISE to 1500 (before=1300, leader_after=bidder_1)
  turn 22: Mimic-Grok RAISE to 1700 (before=1500, leader_after=bidder_3)
  turn 23: Mimic-Llama RAISE to 1800 (before=1700, leader_after=bidder_1)
  turn 24: Mimic-Grok RAISE to 1900 (before=1800, leader_after=bidder_3)
  turn 25: Mimic-Llama RAISE to 2100 (before=1900, leader_after=bidder_1)
  turn 26: Mimic-Grok PASS (before=2100, leader_after=bidder_1)

painting_6 | status=sold | winner=Mimic-Grok | winning_bid=1600
  turn 1: Mimic-Llama RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Opus RAISE to 200 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Grok RAISE to 250 (before=200, leader_after=bidder_3)
  turn 4: Mimic-Pro RAISE to 350 (before=250, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 400 (before=350, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 450 (before=400, leader_after=bidder_1)
  turn 7: Mimic-Opus RAISE to 550 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Grok RAISE to 650 (before=550, leader_after=bidder_3)
  turn 9: Mimic-Pro RAISE to 700 (before=650, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 750 (before=700, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 800 (before=750, leader_after=bidder_1)
  turn 12: Mimic-Opus RAISE to 850 (before=800, leader_after=bidder_2)
  turn 13: Mimic-Grok RAISE to 900 (before=850, leader_after=bidder_3)
  turn 14: Mimic-Pro RAISE to 950 (before=900, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 16: Mimic-Llama RAISE to 1100 (before=1000, leader_after=bidder_1)
  turn 17: Mimic-Opus RAISE to 1200 (before=1100, leader_after=bidder_2)
  turn 18: Mimic-Grok RAISE to 1400 (before=1200, leader_after=bidder_3)
  turn 19: Mimic-Pro RAISE to 1500 (before=1400, leader_after=bidder_4)
  turn 20: Math-T2 PASS (before=1500, leader_after=bidder_4)
  turn 21: Mimic-Llama PASS (before=1500, leader_after=bidder_4)
  turn 22: Mimic-Opus PASS (before=1500, leader_after=bidder_4)
  turn 23: Mimic-Grok RAISE to 1600 (before=1500, leader_after=bidder_3)
  turn 24: Mimic-Pro PASS (before=1600, leader_after=bidder_3)

painting_7 | status=sold | winner=Mimic-Grok | winning_bid=1700
  turn 1: Mimic-Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Mimic-Opus RAISE to 450 (before=350, leader_after=bidder_2)
  turn 8: Mimic-Grok RAISE to 500 (before=450, leader_after=bidder_3)
  turn 9: Mimic-Pro RAISE to 550 (before=500, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 600 (before=550, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 650 (before=600, leader_after=bidder_1)
  turn 12: Mimic-Opus RAISE to 700 (before=650, leader_after=bidder_2)
  turn 13: Mimic-Grok RAISE to 800 (before=700, leader_after=bidder_3)
  turn 14: Mimic-Pro RAISE to 850 (before=800, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 900 (before=850, leader_after=bidder_5)
  turn 16: Mimic-Llama RAISE to 950 (before=900, leader_after=bidder_1)
  turn 17: Mimic-Opus RAISE to 1000 (before=950, leader_after=bidder_2)
  turn 18: Mimic-Grok RAISE to 1200 (before=1000, leader_after=bidder_3)
  turn 19: Mimic-Pro RAISE to 1300 (before=1200, leader_after=bidder_4)
  turn 20: Math-T2 RAISE to 1400 (before=1300, leader_after=bidder_5)
  turn 21: Mimic-Llama RAISE to 1500 (before=1400, leader_after=bidder_1)
  turn 22: Mimic-Opus RAISE to 1600 (before=1500, leader_after=bidder_2)
  turn 23: Mimic-Grok RAISE to 1700 (before=1600, leader_after=bidder_3)
  turn 24: Mimic-Pro PASS (before=1700, leader_after=bidder_3)
  turn 25: Math-T2 PASS (before=1700, leader_after=bidder_3)
  turn 26: Mimic-Llama PASS (before=1700, leader_after=bidder_3)
  turn 27: Mimic-Opus PASS (before=1700, leader_after=bidder_3)

painting_8 | status=sold | winner=Mimic-Llama | winning_bid=2200
  turn 1: Mimic-Llama RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Opus RAISE to 200 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Grok RAISE to 250 (before=200, leader_after=bidder_3)
  turn 4: Mimic-Pro RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 400 (before=350, leader_after=bidder_1)
  turn 7: Mimic-Opus RAISE to 450 (before=400, leader_after=bidder_2)
  turn 8: Mimic-Grok PASS (before=450, leader_after=bidder_2)
  turn 9: Mimic-Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Mimic-Opus RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Mimic-Pro RAISE to 700 (before=650, leader_after=bidder_4)
  turn 14: Math-T2 RAISE to 750 (before=700, leader_after=bidder_5)
  turn 15: Mimic-Llama RAISE to 800 (before=750, leader_after=bidder_1)
  turn 16: Mimic-Opus RAISE to 850 (before=800, leader_after=bidder_2)
  turn 17: Mimic-Pro RAISE to 900 (before=850, leader_after=bidder_4)
  turn 18: Math-T2 RAISE to 950 (before=900, leader_after=bidder_5)
  turn 19: Mimic-Llama RAISE to 1000 (before=950, leader_after=bidder_1)
  turn 20: Mimic-Opus RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 21: Mimic-Pro RAISE to 1200 (before=1100, leader_after=bidder_4)
  turn 22: Math-T2 RAISE to 1300 (before=1200, leader_after=bidder_5)
  turn 23: Mimic-Llama RAISE to 1500 (before=1300, leader_after=bidder_1)
  turn 24: Mimic-Opus RAISE to 1600 (before=1500, leader_after=bidder_2)
  turn 25: Mimic-Pro RAISE to 1800 (before=1600, leader_after=bidder_4)
  turn 26: Math-T2 PASS (before=1800, leader_after=bidder_4)
  turn 27: Mimic-Llama RAISE to 2000 (before=1800, leader_after=bidder_1)
  turn 28: Mimic-Opus RAISE to 2100 (before=2000, leader_after=bidder_2)
  turn 29: Mimic-Pro PASS (before=2100, leader_after=bidder_2)
  turn 30: Mimic-Llama RAISE to 2200 (before=2100, leader_after=bidder_1)
  turn 31: Mimic-Opus PASS (before=2200, leader_after=bidder_1)

painting_9 | status=sold | winner=Mimic-Pro | winning_bid=2300
  turn 1: Mimic-Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Mimic-Opus RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Mimic-Grok RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Mimic-Pro RAISE to 550 (before=450, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 600 (before=550, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 700 (before=600, leader_after=bidder_1)
  turn 12: Mimic-Opus RAISE to 750 (before=700, leader_after=bidder_2)
  turn 13: Mimic-Grok RAISE to 800 (before=750, leader_after=bidder_3)
  turn 14: Mimic-Pro RAISE to 850 (before=800, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 900 (before=850, leader_after=bidder_5)
  turn 16: Mimic-Llama RAISE to 950 (before=900, leader_after=bidder_1)
  turn 17: Mimic-Opus RAISE to 1000 (before=950, leader_after=bidder_2)
  turn 18: Mimic-Grok RAISE to 1100 (before=1000, leader_after=bidder_3)
  turn 19: Mimic-Pro RAISE to 1200 (before=1100, leader_after=bidder_4)
  turn 20: Math-T2 RAISE to 1300 (before=1200, leader_after=bidder_5)
  turn 21: Mimic-Llama RAISE to 1400 (before=1300, leader_after=bidder_1)
  turn 22: Mimic-Opus RAISE to 1500 (before=1400, leader_after=bidder_2)
  turn 23: Mimic-Grok RAISE to 1700 (before=1500, leader_after=bidder_3)
  turn 24: Mimic-Pro RAISE to 1800 (before=1700, leader_after=bidder_4)
  turn 25: Math-T2 RAISE to 1900 (before=1800, leader_after=bidder_5)
  turn 26: Mimic-Llama PASS (before=1900, leader_after=bidder_5)
  turn 27: Mimic-Opus RAISE to 2100 (before=1900, leader_after=bidder_2)
  turn 28: Mimic-Grok PASS (before=2100, leader_after=bidder_2)
  turn 29: Mimic-Pro RAISE to 2300 (before=2100, leader_after=bidder_4)
  turn 30: Math-T2 PASS (before=2300, leader_after=bidder_4)
  turn 31: Mimic-Opus PASS (before=2300, leader_after=bidder_4)

painting_10 | status=sold | winner=Math-T2 | winning_bid=2300
  turn 1: Mimic-Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 400 (before=300, leader_after=bidder_1)
  turn 7: Mimic-Opus RAISE to 450 (before=400, leader_after=bidder_2)
  turn 8: Mimic-Grok RAISE to 500 (before=450, leader_after=bidder_3)
  turn 9: Mimic-Pro RAISE to 600 (before=500, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 650 (before=600, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 700 (before=650, leader_after=bidder_1)
  turn 12: Mimic-Opus RAISE to 750 (before=700, leader_after=bidder_2)
  turn 13: Mimic-Grok RAISE to 800 (before=750, leader_after=bidder_3)
  turn 14: Mimic-Pro RAISE to 850 (before=800, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 900 (before=850, leader_after=bidder_5)
  turn 16: Mimic-Llama RAISE to 950 (before=900, leader_after=bidder_1)
  turn 17: Mimic-Opus RAISE to 1000 (before=950, leader_after=bidder_2)
  turn 18: Mimic-Grok RAISE to 1100 (before=1000, leader_after=bidder_3)
  turn 19: Mimic-Pro RAISE to 1300 (before=1100, leader_after=bidder_4)
  turn 20: Math-T2 RAISE to 1400 (before=1300, leader_after=bidder_5)
  turn 21: Mimic-Llama RAISE to 1600 (before=1400, leader_after=bidder_1)
  turn 22: Mimic-Opus RAISE to 1800 (before=1600, leader_after=bidder_2)
  turn 23: Mimic-Grok RAISE to 1900 (before=1800, leader_after=bidder_3)
  turn 24: Mimic-Pro RAISE to 2000 (before=1900, leader_after=bidder_4)
  turn 25: Math-T2 RAISE to 2100 (before=2000, leader_after=bidder_5)
  turn 26: Mimic-Llama PASS (before=2100, leader_after=bidder_5)
  turn 27: Mimic-Opus RAISE to 2200 (before=2100, leader_after=bidder_2)
  turn 28: Mimic-Grok PASS (before=2200, leader_after=bidder_2)
  turn 29: Mimic-Pro PASS (before=2200, leader_after=bidder_2)
  turn 30: Math-T2 RAISE to 2300 (before=2200, leader_after=bidder_5)
  turn 31: Mimic-Opus PASS (before=2300, leader_after=bidder_5)

painting_11 | status=sold | winner=Mimic-Opus | winning_bid=3750
  turn 1: Mimic-Llama RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Opus RAISE to 250 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Grok RAISE to 300 (before=250, leader_after=bidder_3)
  turn 4: Mimic-Pro RAISE to 400 (before=300, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 450 (before=400, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 500 (before=450, leader_after=bidder_1)
  turn 7: Mimic-Opus RAISE to 550 (before=500, leader_after=bidder_2)
  turn 8: Mimic-Grok RAISE to 600 (before=550, leader_after=bidder_3)
  turn 9: Mimic-Pro RAISE to 700 (before=600, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 750 (before=700, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 800 (before=750, leader_after=bidder_1)
  turn 12: Mimic-Opus RAISE to 900 (before=800, leader_after=bidder_2)
  turn 13: Mimic-Grok RAISE to 950 (before=900, leader_after=bidder_3)
  turn 14: Mimic-Pro RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 16: Mimic-Llama RAISE to 1300 (before=1100, leader_after=bidder_1)
  turn 17: Mimic-Opus RAISE to 1400 (before=1300, leader_after=bidder_2)
  turn 18: Mimic-Grok RAISE to 1500 (before=1400, leader_after=bidder_3)
  turn 19: Mimic-Pro RAISE to 1600 (before=1500, leader_after=bidder_4)
  turn 20: Math-T2 RAISE to 1700 (before=1600, leader_after=bidder_5)
  turn 21: Mimic-Llama RAISE to 1800 (before=1700, leader_after=bidder_1)
  turn 22: Mimic-Opus RAISE to 1900 (before=1800, leader_after=bidder_2)
  turn 23: Mimic-Grok RAISE to 2000 (before=1900, leader_after=bidder_3)
  turn 24: Mimic-Pro RAISE to 2200 (before=2000, leader_after=bidder_4)
  turn 25: Math-T2 RAISE to 2300 (before=2200, leader_after=bidder_5)
  turn 26: Mimic-Llama RAISE to 2400 (before=2300, leader_after=bidder_1)
  turn 27: Mimic-Opus RAISE to 2500 (before=2400, leader_after=bidder_2)
  turn 28: Mimic-Grok RAISE to 2600 (before=2500, leader_after=bidder_3)
  turn 29: Mimic-Pro RAISE to 2700 (before=2600, leader_after=bidder_4)
  turn 30: Math-T2 RAISE to 2800 (before=2700, leader_after=bidder_5)
  turn 31: Mimic-Llama PASS (before=2800, leader_after=bidder_5)
  turn 32: Mimic-Opus RAISE to 2900 (before=2800, leader_after=bidder_2)
  turn 33: Mimic-Grok PASS (before=2900, leader_after=bidder_2)
  turn 34: Mimic-Pro RAISE to 3000 (before=2900, leader_after=bidder_4)
  turn 35: Math-T2 RAISE to 3250 (before=3000, leader_after=bidder_5)
  turn 36: Mimic-Opus RAISE to 3750 (before=3250, leader_after=bidder_2)
  turn 37: Mimic-Pro PASS (before=3750, leader_after=bidder_2)
  turn 38: Math-T2 PASS (before=3750, leader_after=bidder_2)

painting_12 | status=sold | winner=Math-T2 | winning_bid=5850
  turn 1: Mimic-Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Mimic-Opus RAISE to 450 (before=350, leader_after=bidder_2)
  turn 8: Mimic-Grok RAISE to 550 (before=450, leader_after=bidder_3)
  turn 9: Mimic-Pro RAISE to 600 (before=550, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 650 (before=600, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 700 (before=650, leader_after=bidder_1)
  turn 12: Mimic-Opus RAISE to 800 (before=700, leader_after=bidder_2)
  turn 13: Mimic-Grok RAISE to 850 (before=800, leader_after=bidder_3)
  turn 14: Mimic-Pro RAISE to 950 (before=850, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 16: Mimic-Llama RAISE to 1100 (before=1000, leader_after=bidder_1)
  turn 17: Mimic-Opus RAISE to 1200 (before=1100, leader_after=bidder_2)
  turn 18: Mimic-Grok RAISE to 1300 (before=1200, leader_after=bidder_3)
  turn 19: Mimic-Pro RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 20: Math-T2 RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 21: Mimic-Llama RAISE to 1700 (before=1500, leader_after=bidder_1)
  turn 22: Mimic-Opus RAISE to 1800 (before=1700, leader_after=bidder_2)
  turn 23: Mimic-Grok RAISE to 2000 (before=1800, leader_after=bidder_3)
  turn 24: Mimic-Pro RAISE to 2100 (before=2000, leader_after=bidder_4)
  turn 25: Math-T2 RAISE to 2200 (before=2100, leader_after=bidder_5)
  turn 26: Mimic-Llama PASS (before=2200, leader_after=bidder_5)
  turn 27: Mimic-Opus RAISE to 2400 (before=2200, leader_after=bidder_2)
  turn 28: Mimic-Grok PASS (before=2400, leader_after=bidder_2)
  turn 29: Mimic-Pro RAISE to 2600 (before=2400, leader_after=bidder_4)
  turn 30: Math-T2 RAISE to 2700 (before=2600, leader_after=bidder_5)
  turn 31: Mimic-Opus RAISE to 2900 (before=2700, leader_after=bidder_2)
  turn 32: Mimic-Pro RAISE to 3100 (before=2900, leader_after=bidder_4)
  turn 33: Math-T2 RAISE to 3350 (before=3100, leader_after=bidder_5)
  turn 34: Mimic-Opus RAISE to 3850 (before=3350, leader_after=bidder_2)
  turn 35: Mimic-Pro RAISE to 4100 (before=3850, leader_after=bidder_4)
  turn 36: Math-T2 RAISE to 4350 (before=4100, leader_after=bidder_5)
  turn 37: Mimic-Opus PASS (before=4350, leader_after=bidder_5)
  turn 38: Mimic-Pro RAISE to 4600 (before=4350, leader_after=bidder_4)
  turn 39: Math-T2 RAISE to 4850 (before=4600, leader_after=bidder_5)
  turn 40: Mimic-Pro RAISE to 5100 (before=4850, leader_after=bidder_4)
  turn 41: Math-T2 RAISE to 5350 (before=5100, leader_after=bidder_5)
  turn 42: Mimic-Pro RAISE to 5600 (before=5350, leader_after=bidder_4)
  turn 43: Math-T2 RAISE to 5850 (before=5600, leader_after=bidder_5)
  turn 44: Mimic-Pro PASS (before=5850, leader_after=bidder_5)
