Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2225.0

painting_1 | status=sold | winner=Mimic-Llama | winning_bid=1250
  turn 1: Mimic-GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 16: Mimic-GPT-5.4 RAISE to 1350 (before=1250, leader_after=bidder_1)
  turn 17: Mimic-Pro PASS (before=1350, leader_after=bidder_1)
  turn 18: Mimic-Opus RAISE to 1450 (before=1350, leader_after=bidder_4)
  turn 19: Mimic-Grok PASS (before=1450, leader_after=bidder_4)
  turn 20: Mimic-GPT-5.4 PASS (before=1450, leader_after=bidder_4)

painting_3 | status=sold | winner=Mimic-Llama | winning_bid=1300
  turn 1: Mimic-GPT-5.4 RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Pro RAISE to 200 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Llama RAISE to 250 (before=200, leader_after=bidder_3)
  turn 4: Mimic-Opus RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Mimic-Grok RAISE to 400 (before=300, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_1)
  turn 7: Mimic-Pro RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Llama RAISE to 600 (before=500, leader_after=bidder_3)
  turn 9: Mimic-Opus RAISE to 700 (before=600, leader_after=bidder_4)
  turn 10: Mimic-Grok RAISE to 750 (before=700, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_1)
  turn 12: Mimic-Pro RAISE to 850 (before=800, leader_after=bidder_2)
  turn 13: Mimic-Llama RAISE to 900 (before=850, leader_after=bidder_3)
  turn 14: Mimic-Opus RAISE to 950 (before=900, leader_after=bidder_4)
  turn 15: Mimic-Grok RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_1)
  turn 17: Mimic-Pro RAISE to 1200 (before=1100, leader_after=bidder_2)
  turn 18: Mimic-Llama RAISE to 1300 (before=1200, leader_after=bidder_3)
  turn 19: Mimic-Opus PASS (before=1300, leader_after=bidder_3)
  turn 20: Mimic-Grok PASS (before=1300, leader_after=bidder_3)
  turn 21: Mimic-GPT-5.4 PASS (before=1300, leader_after=bidder_3)
  turn 22: Mimic-Pro PASS (before=1300, leader_after=bidder_3)

painting_4 | status=sold | winner=Mimic-GPT-5.4 | winning_bid=1300
  turn 1: Mimic-GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Llama RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Opus RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Mimic-Grok RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Mimic-Pro RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Mimic-Llama RAISE to 500 (before=400, leader_after=bidder_3)
  turn 9: Mimic-Opus RAISE to 550 (before=500, leader_after=bidder_4)
  turn 10: Mimic-Grok RAISE to 650 (before=550, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 800 (before=650, leader_after=bidder_1)
  turn 12: Mimic-Pro RAISE to 850 (before=800, leader_after=bidder_2)
  turn 13: Mimic-Llama PASS (before=850, leader_after=bidder_2)
  turn 14: Mimic-Opus PASS (before=850, leader_after=bidder_2)
  turn 15: Mimic-Grok PASS (before=850, leader_after=bidder_2)
  turn 16: Mimic-GPT-5.4 RAISE to 1000 (before=850, leader_after=bidder_1)
  turn 17: Mimic-Pro RAISE to 1200 (before=1000, leader_after=bidder_2)
  turn 18: Mimic-GPT-5.4 RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 19: Mimic-Pro PASS (before=1300, leader_after=bidder_1)

painting_5 | status=sold | winner=Mimic-Pro | winning_bid=1000
  turn 1: Mimic-GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Llama RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Opus RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Mimic-Grok RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Mimic-Pro RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Mimic-Llama RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Mimic-Opus RAISE to 600 (before=450, leader_after=bidder_4)
  turn 10: Mimic-Grok RAISE to 650 (before=600, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_1)
  turn 12: Mimic-Pro RAISE to 750 (before=700, leader_after=bidder_2)
  turn 13: Mimic-Llama RAISE to 800 (before=750, leader_after=bidder_3)
  turn 14: Mimic-Opus RAISE to 850 (before=800, leader_after=bidder_4)
  turn 15: Mimic-Grok RAISE to 900 (before=850, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 950 (before=900, leader_after=bidder_1)
  turn 17: Mimic-Pro RAISE to 1000 (before=950, leader_after=bidder_2)
  turn 18: Mimic-Llama PASS (before=1000, leader_after=bidder_2)
  turn 19: Mimic-Opus PASS (before=1000, leader_after=bidder_2)
  turn 20: Mimic-Grok PASS (before=1000, leader_after=bidder_2)
  turn 21: Mimic-GPT-5.4 PASS (before=1000, leader_after=bidder_2)

painting_6 | status=sold | winner=Mimic-GPT-5.4 | winning_bid=1600
  turn 1: Mimic-GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Llama RAISE to 300 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Opus RAISE to 350 (before=300, leader_after=bidder_4)
  turn 5: Mimic-Grok RAISE to 400 (before=350, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_1)
  turn 7: Mimic-Pro RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Llama RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Mimic-Opus RAISE to 600 (before=550, leader_after=bidder_4)
  turn 10: Mimic-Grok RAISE to 650 (before=600, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_1)
  turn 12: Mimic-Pro RAISE to 750 (before=700, leader_after=bidder_2)
  turn 13: Mimic-Llama RAISE to 850 (before=750, leader_after=bidder_3)
  turn 14: Mimic-Opus RAISE to 900 (before=850, leader_after=bidder_4)
  turn 15: Mimic-Grok RAISE to 950 (before=900, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_1)
  turn 17: Mimic-Pro RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 18: Mimic-Llama RAISE to 1300 (before=1100, leader_after=bidder_3)
  turn 19: Mimic-Opus RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 20: Mimic-Grok RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 21: Mimic-GPT-5.4 RAISE to 1600 (before=1500, leader_after=bidder_1)
  turn 22: Mimic-Pro PASS (before=1600, leader_after=bidder_1)
  turn 23: Mimic-Llama PASS (before=1600, leader_after=bidder_1)
  turn 24: Mimic-Opus PASS (before=1600, leader_after=bidder_1)
  turn 25: Mimic-Grok PASS (before=1600, leader_after=bidder_1)

painting_7 | status=sold | winner=Mimic-Grok | winning_bid=2000
  turn 1: Mimic-GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Pro RAISE to 200 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Llama RAISE to 250 (before=200, leader_after=bidder_3)
  turn 4: Mimic-Opus RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Mimic-Grok RAISE to 400 (before=300, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_1)
  turn 7: Mimic-Pro RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Llama RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Mimic-Opus RAISE to 650 (before=550, leader_after=bidder_4)
  turn 10: Mimic-Grok RAISE to 750 (before=650, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_1)
  turn 12: Mimic-Pro RAISE to 850 (before=800, leader_after=bidder_2)
  turn 13: Mimic-Llama RAISE to 900 (before=850, leader_after=bidder_3)
  turn 14: Mimic-Opus RAISE to 950 (before=900, leader_after=bidder_4)
  turn 15: Mimic-Grok RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_1)
  turn 17: Mimic-Pro RAISE to 1300 (before=1100, leader_after=bidder_2)
  turn 18: Mimic-Llama RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 19: Mimic-Opus RAISE to 1500 (before=1400, leader_after=bidder_4)
  turn 20: Mimic-Grok RAISE to 1600 (before=1500, leader_after=bidder_5)
  turn 21: Mimic-GPT-5.4 PASS (before=1600, leader_after=bidder_5)
  turn 22: Mimic-Pro PASS (before=1600, leader_after=bidder_5)
  turn 23: Mimic-Llama RAISE to 1900 (before=1600, leader_after=bidder_3)
  turn 24: Mimic-Opus PASS (before=1900, leader_after=bidder_3)
  turn 25: Mimic-Grok RAISE to 2000 (before=1900, leader_after=bidder_5)
  turn 26: Mimic-Llama PASS (before=2000, leader_after=bidder_5)

painting_8 | status=sold | winner=Mimic-Llama | winning_bid=1800
  turn 1: Mimic-GPT-5.4 RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Pro RAISE to 200 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Llama RAISE to 300 (before=200, leader_after=bidder_3)
  turn 4: Mimic-Opus RAISE to 350 (before=300, leader_after=bidder_4)
  turn 5: Mimic-Grok RAISE to 400 (before=350, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_1)
  turn 7: Mimic-Pro RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Llama RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Mimic-Opus RAISE to 600 (before=550, leader_after=bidder_4)
  turn 10: Mimic-Grok RAISE to 700 (before=600, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_1)
  turn 12: Mimic-Pro RAISE to 800 (before=750, leader_after=bidder_2)
  turn 13: Mimic-Llama RAISE to 850 (before=800, leader_after=bidder_3)
  turn 14: Mimic-Opus RAISE to 900 (before=850, leader_after=bidder_4)
  turn 15: Mimic-Grok RAISE to 950 (before=900, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 PASS (before=950, leader_after=bidder_5)
  turn 17: Mimic-Pro RAISE to 1000 (before=950, leader_after=bidder_2)
  turn 18: Mimic-Llama RAISE to 1200 (before=1000, leader_after=bidder_3)
  turn 19: Mimic-Opus RAISE to 1300 (before=1200, leader_after=bidder_4)
  turn 20: Mimic-Grok PASS (before=1300, leader_after=bidder_4)
  turn 21: Mimic-Pro RAISE to 1500 (before=1300, leader_after=bidder_2)
  turn 22: Mimic-Llama RAISE to 1600 (before=1500, leader_after=bidder_3)
  turn 23: Mimic-Opus RAISE to 1700 (before=1600, leader_after=bidder_4)
  turn 24: Mimic-Pro PASS (before=1700, leader_after=bidder_4)
  turn 25: Mimic-Llama RAISE to 1800 (before=1700, leader_after=bidder_3)
  turn 26: Mimic-Opus PASS (before=1800, leader_after=bidder_3)

painting_9 | status=sold | winner=Mimic-Opus | winning_bid=2600
  turn 1: Mimic-GPT-5.4 RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Pro RAISE to 250 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Llama RAISE to 350 (before=250, leader_after=bidder_3)
  turn 4: Mimic-Opus RAISE to 400 (before=350, leader_after=bidder_4)
  turn 5: Mimic-Grok RAISE to 500 (before=400, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_1)
  turn 7: Mimic-Pro RAISE to 650 (before=550, leader_after=bidder_2)
  turn 8: Mimic-Llama RAISE to 700 (before=650, leader_after=bidder_3)
  turn 9: Mimic-Opus RAISE to 750 (before=700, leader_after=bidder_4)
  turn 10: Mimic-Grok PASS (before=750, leader_after=bidder_4)
  turn 11: Mimic-GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_1)
  turn 12: Mimic-Pro RAISE to 850 (before=800, leader_after=bidder_2)
  turn 13: Mimic-Llama RAISE to 950 (before=850, leader_after=bidder_3)
  turn 14: Mimic-Opus RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 15: Mimic-GPT-5.4 RAISE to 1200 (before=1000, leader_after=bidder_1)
  turn 16: Mimic-Pro RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 17: Mimic-Llama RAISE to 1500 (before=1300, leader_after=bidder_3)
  turn 18: Mimic-Opus RAISE to 1600 (before=1500, leader_after=bidder_4)
  turn 19: Mimic-GPT-5.4 RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 20: Mimic-Pro RAISE to 1900 (before=1700, leader_after=bidder_2)
  turn 21: Mimic-Llama PASS (before=1900, leader_after=bidder_2)
  turn 22: Mimic-Opus RAISE to 2000 (before=1900, leader_after=bidder_4)
  turn 23: Mimic-GPT-5.4 PASS (before=2000, leader_after=bidder_4)
  turn 24: Mimic-Pro RAISE to 2200 (before=2000, leader_after=bidder_2)
  turn 25: Mimic-Opus RAISE to 2300 (before=2200, leader_after=bidder_4)
  turn 26: Mimic-Pro RAISE to 2400 (before=2300, leader_after=bidder_2)
  turn 27: Mimic-Opus RAISE to 2600 (before=2400, leader_after=bidder_4)
  turn 28: Mimic-Pro PASS (before=2600, leader_after=bidder_4)

painting_10 | status=sold | winner=Mimic-Llama | winning_bid=2900
  turn 1: Mimic-GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Pro RAISE to 200 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Llama RAISE to 250 (before=200, leader_after=bidder_3)
  turn 4: Mimic-Opus RAISE to 400 (before=250, leader_after=bidder_4)
  turn 5: Mimic-Grok RAISE to 450 (before=400, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 550 (before=450, leader_after=bidder_1)
  turn 7: Mimic-Pro RAISE to 600 (before=550, leader_after=bidder_2)
  turn 8: Mimic-Llama RAISE to 650 (before=600, leader_after=bidder_3)
  turn 9: Mimic-Opus RAISE to 700 (before=650, leader_after=bidder_4)
  turn 10: Mimic-Grok RAISE to 750 (before=700, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_1)
  turn 12: Mimic-Pro RAISE to 850 (before=800, leader_after=bidder_2)
  turn 13: Mimic-Llama RAISE to 900 (before=850, leader_after=bidder_3)
  turn 14: Mimic-Opus RAISE to 950 (before=900, leader_after=bidder_4)
  turn 15: Mimic-Grok RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 1200 (before=1000, leader_after=bidder_1)
  turn 17: Mimic-Pro RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 18: Mimic-Llama RAISE to 1500 (before=1300, leader_after=bidder_3)
  turn 19: Mimic-Opus PASS (before=1500, leader_after=bidder_3)
  turn 20: Mimic-Grok RAISE to 1600 (before=1500, leader_after=bidder_5)
  turn 21: Mimic-GPT-5.4 RAISE to 1800 (before=1600, leader_after=bidder_1)
  turn 22: Mimic-Pro PASS (before=1800, leader_after=bidder_1)
  turn 23: Mimic-Llama RAISE to 2000 (before=1800, leader_after=bidder_3)
  turn 24: Mimic-Grok RAISE to 2100 (before=2000, leader_after=bidder_5)
  turn 25: Mimic-GPT-5.4 RAISE to 2200 (before=2100, leader_after=bidder_1)
  turn 26: Mimic-Llama RAISE to 2300 (before=2200, leader_after=bidder_3)
  turn 27: Mimic-Grok RAISE to 2400 (before=2300, leader_after=bidder_5)
  turn 28: Mimic-GPT-5.4 RAISE to 2600 (before=2400, leader_after=bidder_1)
  turn 29: Mimic-Llama RAISE to 2700 (before=2600, leader_after=bidder_3)
  turn 30: Mimic-Grok PASS (before=2700, leader_after=bidder_3)
  turn 31: Mimic-GPT-5.4 RAISE to 2800 (before=2700, leader_after=bidder_1)
  turn 32: Mimic-Llama RAISE to 2900 (before=2800, leader_after=bidder_3)
  turn 33: Mimic-GPT-5.4 PASS (before=2900, leader_after=bidder_3)

painting_11 | status=sold | winner=Mimic-Grok | winning_bid=3750
  turn 1: Mimic-GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Llama RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Opus RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Mimic-Grok RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Mimic-Pro RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Mimic-Llama RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Mimic-Opus RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Mimic-Grok RAISE to 600 (before=500, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_1)
  turn 12: Mimic-Pro RAISE to 700 (before=650, leader_after=bidder_2)
  turn 13: Mimic-Llama RAISE to 750 (before=700, leader_after=bidder_3)
  turn 14: Mimic-Opus RAISE to 800 (before=750, leader_after=bidder_4)
  turn 15: Mimic-Grok RAISE to 850 (before=800, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_1)
  turn 17: Mimic-Pro PASS (before=900, leader_after=bidder_1)
  turn 18: Mimic-Llama RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Mimic-Opus RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Mimic-Grok RAISE to 1200 (before=1000, leader_after=bidder_5)
  turn 21: Mimic-GPT-5.4 RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 22: Mimic-Llama RAISE to 1500 (before=1300, leader_after=bidder_3)
  turn 23: Mimic-Opus RAISE to 1700 (before=1500, leader_after=bidder_4)
  turn 24: Mimic-Grok RAISE to 1800 (before=1700, leader_after=bidder_5)
  turn 25: Mimic-GPT-5.4 RAISE to 1900 (before=1800, leader_after=bidder_1)
  turn 26: Mimic-Llama RAISE to 2000 (before=1900, leader_after=bidder_3)
  turn 27: Mimic-Opus RAISE to 2200 (before=2000, leader_after=bidder_4)
  turn 28: Mimic-Grok RAISE to 2300 (before=2200, leader_after=bidder_5)
  turn 29: Mimic-GPT-5.4 RAISE to 2500 (before=2300, leader_after=bidder_1)
  turn 30: Mimic-Llama PASS (before=2500, leader_after=bidder_1)
  turn 31: Mimic-Opus PASS (before=2500, leader_after=bidder_1)
  turn 32: Mimic-Grok RAISE to 2700 (before=2500, leader_after=bidder_5)
  turn 33: Mimic-GPT-5.4 RAISE to 2800 (before=2700, leader_after=bidder_1)
  turn 34: Mimic-Grok RAISE to 3000 (before=2800, leader_after=bidder_5)
  turn 35: Mimic-GPT-5.4 RAISE to 3500 (before=3000, leader_after=bidder_1)
  turn 36: Mimic-Grok RAISE to 3750 (before=3500, leader_after=bidder_5)
  turn 37: Mimic-GPT-5.4 PASS (before=3750, leader_after=bidder_5)

painting_12 | status=sold | winner=Mimic-Opus | winning_bid=5750
  turn 1: Mimic-GPT-5.4 RAISE to 300 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Pro RAISE to 350 (before=300, leader_after=bidder_2)
  turn 3: Mimic-Llama RAISE to 400 (before=350, leader_after=bidder_3)
  turn 4: Mimic-Opus RAISE to 450 (before=400, leader_after=bidder_4)
  turn 5: Mimic-Grok PASS (before=450, leader_after=bidder_4)
  turn 6: Mimic-GPT-5.4 RAISE to 550 (before=450, leader_after=bidder_1)
  turn 7: Mimic-Pro RAISE to 600 (before=550, leader_after=bidder_2)
  turn 8: Mimic-Llama RAISE to 650 (before=600, leader_after=bidder_3)
  turn 9: Mimic-Opus RAISE to 800 (before=650, leader_after=bidder_4)
  turn 10: Mimic-GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_1)
  turn 11: Mimic-Pro RAISE to 950 (before=850, leader_after=bidder_2)
  turn 12: Mimic-Llama RAISE to 1000 (before=950, leader_after=bidder_3)
  turn 13: Mimic-Opus RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 14: Mimic-GPT-5.4 RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 15: Mimic-Pro RAISE to 1400 (before=1200, leader_after=bidder_2)
  turn 16: Mimic-Llama RAISE to 1500 (before=1400, leader_after=bidder_3)
  turn 17: Mimic-Opus RAISE to 1700 (before=1500, leader_after=bidder_4)
  turn 18: Mimic-GPT-5.4 RAISE to 1800 (before=1700, leader_after=bidder_1)
  turn 19: Mimic-Pro RAISE to 1900 (before=1800, leader_after=bidder_2)
  turn 20: Mimic-Llama RAISE to 2000 (before=1900, leader_after=bidder_3)
  turn 21: Mimic-Opus RAISE to 2100 (before=2000, leader_after=bidder_4)
  turn 22: Mimic-GPT-5.4 RAISE to 2200 (before=2100, leader_after=bidder_1)
  turn 23: Mimic-Pro RAISE to 2400 (before=2200, leader_after=bidder_2)
  turn 24: Mimic-Llama RAISE to 2500 (before=2400, leader_after=bidder_3)
  turn 25: Mimic-Opus RAISE to 2700 (before=2500, leader_after=bidder_4)
  turn 26: Mimic-GPT-5.4 RAISE to 2800 (before=2700, leader_after=bidder_1)
  turn 27: Mimic-Pro RAISE to 2900 (before=2800, leader_after=bidder_2)
  turn 28: Mimic-Llama PASS (before=2900, leader_after=bidder_2)
  turn 29: Mimic-Opus RAISE to 3000 (before=2900, leader_after=bidder_4)
  turn 30: Mimic-GPT-5.4 RAISE to 3250 (before=3000, leader_after=bidder_1)
  turn 31: Mimic-Pro RAISE to 3500 (before=3250, leader_after=bidder_2)
  turn 32: Mimic-Opus RAISE to 3750 (before=3500, leader_after=bidder_4)
  turn 33: Mimic-GPT-5.4 RAISE to 4000 (before=3750, leader_after=bidder_1)
  turn 34: Mimic-Pro RAISE to 4250 (before=4000, leader_after=bidder_2)
  turn 35: Mimic-Opus RAISE to 4500 (before=4250, leader_after=bidder_4)
  turn 36: Mimic-GPT-5.4 RAISE to 4750 (before=4500, leader_after=bidder_1)
  turn 37: Mimic-Pro RAISE to 5000 (before=4750, leader_after=bidder_2)
  turn 38: Mimic-Opus RAISE to 5250 (before=5000, leader_after=bidder_4)
  turn 39: Mimic-GPT-5.4 RAISE to 5500 (before=5250, leader_after=bidder_1)
  turn 40: Mimic-Pro PASS (before=5500, leader_after=bidder_1)
  turn 41: Mimic-Opus RAISE to 5750 (before=5500, leader_after=bidder_4)
  turn 42: Mimic-GPT-5.4 PASS (before=5750, leader_after=bidder_4)
