Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2279.167

painting_1 | status=sold | winner=Llama | winning_bid=950
  turn 1: Math-T2 RAISE to 100 (before=0, leader_after=bidder_1)
painting_10 | status=sold | winner=Grok | winning_bid=2900
  turn 1: Math-T2 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Math-T2 RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Math-T2 RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Grok RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Pro RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Math-T2 RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Grok RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Pro RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: Math-T2 RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 22: Grok RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 23: Opus PASS (before=1300, leader_after=bidder_2)
  turn 24: Pro RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 25: Llama RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 26: Math-T2 RAISE to 1600 (before=1500, leader_after=bidder_1)
  turn 27: Grok RAISE to 1700 (before=1600, leader_after=bidder_2)
  turn 28: Pro RAISE to 1800 (before=1700, leader_after=bidder_4)
  turn 29: Llama RAISE to 1900 (before=1800, leader_after=bidder_5)
  turn 30: Math-T2 RAISE to 2000 (before=1900, leader_after=bidder_1)
  turn 31: Grok RAISE to 2100 (before=2000, leader_after=bidder_2)
  turn 32: Pro RAISE to 2200 (before=2100, leader_after=bidder_4)
  turn 33: Llama RAISE to 2300 (before=2200, leader_after=bidder_5)
  turn 34: Math-T2 RAISE to 2400 (before=2300, leader_after=bidder_1)
  turn 35: Grok RAISE to 2500 (before=2400, leader_after=bidder_2)
  turn 36: Pro PASS (before=2500, leader_after=bidder_2)
  turn 37: Llama PASS (before=2500, leader_after=bidder_2)
  turn 38: Math-T2 RAISE to 2600 (before=2500, leader_after=bidder_1)
  turn 39: Grok RAISE to 2700 (before=2600, leader_after=bidder_2)
  turn 40: Math-T2 RAISE to 2800 (before=2700, leader_after=bidder_1)
  turn 41: Grok RAISE to 2900 (before=2800, leader_after=bidder_2)
  turn 42: Math-T2 PASS (before=2900, leader_after=bidder_2)

painting_11 | status=sold | winner=Math-T2 | winning_bid=4250
  turn 1: Math-T2 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Math-T2 RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Math-T2 RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Grok RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Pro RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Math-T2 RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Grok RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Pro RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: Math-T2 RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 22: Grok RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 23: Opus RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 24: Pro RAISE to 1500 (before=1400, leader_after=bidder_4)
  turn 25: Llama RAISE to 1600 (before=1500, leader_after=bidder_5)
  turn 26: Math-T2 RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 27: Grok RAISE to 1800 (before=1700, leader_after=bidder_2)
  turn 28: Opus RAISE to 1900 (before=1800, leader_after=bidder_3)
  turn 29: Pro RAISE to 2000 (before=1900, leader_after=bidder_4)
  turn 30: Llama RAISE to 2100 (before=2000, leader_after=bidder_5)
  turn 31: Math-T2 RAISE to 2200 (before=2100, leader_after=bidder_1)
  turn 32: Grok RAISE to 2300 (before=2200, leader_after=bidder_2)
  turn 33: Opus RAISE to 2400 (before=2300, leader_after=bidder_3)
  turn 34: Pro RAISE to 2500 (before=2400, leader_after=bidder_4)
  turn 35: Llama RAISE to 2600 (before=2500, leader_after=bidder_5)
  turn 36: Math-T2 RAISE to 2700 (before=2600, leader_after=bidder_1)
  turn 37: Grok RAISE to 2800 (before=2700, leader_after=bidder_2)
  turn 38: Opus RAISE to 2900 (before=2800, leader_after=bidder_3)
  turn 39: Pro RAISE to 3000 (before=2900, leader_after=bidder_4)
  turn 40: Llama RAISE to 3500 (before=3000, leader_after=bidder_5)
  turn 41: Math-T2 RAISE to 3750 (before=3500, leader_after=bidder_1)
  turn 42: Grok PASS (before=3750, leader_after=bidder_1)
  turn 43: Opus PASS (before=3750, leader_after=bidder_1)
  turn 44: Pro PASS (before=3750, leader_after=bidder_1)
  turn 45: Llama RAISE to 4000 (before=3750, leader_after=bidder_5)
  turn 46: Math-T2 RAISE to 4250 (before=4000, leader_after=bidder_1)
  turn 47: Llama PASS (before=4250, leader_after=bidder_1)

painting_12 | status=sold | winner=Pro | winning_bid=7300
  turn 1: Math-T2 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 6400 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 7300 (before=6400, leader_after=bidder_4)
  turn 5: Llama PASS (before=7300, leader_after=bidder_4)
  turn 6: Math-T2 PASS (before=7300, leader_after=bidder_4)
  turn 7: Grok PASS (before=7300, leader_after=bidder_4)
  turn 8: Opus PASS (before=7300, leader_after=bidder_4)
