Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 3470.833

painting_1 | status=sold | winner=Math-T4 | winning_bid=1300
  turn 1: Mimic-GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 12: Mimic-Llama RAISE to 750 (before=650, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 800 (before=750, leader_after=bidder_3)
  turn 14: Math-T4 RAISE to 850 (before=800, leader_after=bidder_4)
  turn 15: Mimic-GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_1)
  turn 16: Mimic-Llama RAISE to 950 (before=900, leader_after=bidder_2)
  turn 17: Mimic-Opus RAISE to 1000 (before=950, leader_after=bidder_3)
  turn 18: Math-T4 RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 19: Mimic-GPT-5.4 PASS (before=1100, leader_after=bidder_4)
  turn 20: Mimic-Llama RAISE to 1200 (before=1100, leader_after=bidder_2)
  turn 21: Mimic-Opus RAISE to 1300 (before=1200, leader_after=bidder_3)
  turn 22: Math-T4 RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 23: Mimic-Llama RAISE to 1500 (before=1400, leader_after=bidder_2)
  turn 24: Mimic-Opus PASS (before=1500, leader_after=bidder_2)
  turn 25: Math-T4 RAISE to 1600 (before=1500, leader_after=bidder_4)
  turn 26: Mimic-Llama RAISE to 1700 (before=1600, leader_after=bidder_2)
  turn 27: Math-T4 RAISE to 1800 (before=1700, leader_after=bidder_4)
  turn 28: Mimic-Llama RAISE to 1900 (before=1800, leader_after=bidder_2)
  turn 29: Math-T4 RAISE to 2000 (before=1900, leader_after=bidder_4)
  turn 30: Mimic-Llama RAISE to 2200 (before=2000, leader_after=bidder_2)
  turn 31: Math-T4 RAISE to 2300 (before=2200, leader_after=bidder_4)
  turn 32: Mimic-Llama RAISE to 2400 (before=2300, leader_after=bidder_2)
  turn 33: Math-T4 RAISE to 2500 (before=2400, leader_after=bidder_4)
  turn 34: Mimic-Llama RAISE to 2700 (before=2500, leader_after=bidder_2)
  turn 35: Math-T4 RAISE to 2800 (before=2700, leader_after=bidder_4)
  turn 36: Mimic-Llama RAISE to 2900 (before=2800, leader_after=bidder_2)
  turn 37: Math-T4 RAISE to 3000 (before=2900, leader_after=bidder_4)
  turn 38: Mimic-Llama RAISE to 3500 (before=3000, leader_after=bidder_2)
  turn 39: Math-T4 RAISE to 3750 (before=3500, leader_after=bidder_4)
  turn 40: Mimic-Llama RAISE to 4000 (before=3750, leader_after=bidder_2)
  turn 41: Math-T4 RAISE to 4250 (before=4000, leader_after=bidder_4)
  turn 42: Mimic-Llama RAISE to 4500 (before=4250, leader_after=bidder_2)
  turn 43: Math-T4 PASS (before=4500, leader_after=bidder_2)

painting_3 | status=sold | winner=Math-T4 | winning_bid=2100
  turn 1: Mimic-GPT-5.4 RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Llama RAISE to 200 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 250 (before=200, leader_after=bidder_3)
  turn 4: Math-T4 RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_1)
  turn 7: Mimic-Llama RAISE to 450 (before=400, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 500 (before=450, leader_after=bidder_3)
  turn 9: Math-T4 RAISE to 550 (before=500, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 600 (before=550, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_1)
  turn 12: Mimic-Llama RAISE to 700 (before=650, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 750 (before=700, leader_after=bidder_3)
  turn 14: Math-T4 RAISE to 800 (before=750, leader_after=bidder_4)
  turn 15: Mimic-Pro RAISE to 850 (before=800, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_1)
  turn 17: Mimic-Llama PASS (before=900, leader_after=bidder_1)
  turn 18: Mimic-Opus RAISE to 1000 (before=900, leader_after=bidder_3)
  turn 19: Math-T4 RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 20: Mimic-Pro RAISE to 1300 (before=1100, leader_after=bidder_5)
  turn 21: Mimic-GPT-5.4 RAISE to 1400 (before=1300, leader_after=bidder_1)
  turn 22: Mimic-Opus RAISE to 1600 (before=1400, leader_after=bidder_3)
  turn 23: Math-T4 RAISE to 1700 (before=1600, leader_after=bidder_4)
  turn 24: Mimic-Pro PASS (before=1700, leader_after=bidder_4)
  turn 25: Mimic-GPT-5.4 PASS (before=1700, leader_after=bidder_4)
  turn 26: Mimic-Opus RAISE to 1800 (before=1700, leader_after=bidder_3)
  turn 27: Math-T4 RAISE to 1900 (before=1800, leader_after=bidder_4)
  turn 28: Mimic-Opus RAISE to 2000 (before=1900, leader_after=bidder_3)
  turn 29: Math-T4 RAISE to 2100 (before=2000, leader_after=bidder_4)
  turn 30: Mimic-Opus PASS (before=2100, leader_after=bidder_4)

painting_4 | status=sold | winner=Math-T4 | winning_bid=3800
  turn 1: Mimic-GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Llama RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T4 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 400 (before=250, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 500 (before=400, leader_after=bidder_1)
  turn 7: Mimic-Llama RAISE to 550 (before=500, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 600 (before=550, leader_after=bidder_3)
  turn 9: Math-T4 RAISE to 650 (before=600, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 700 (before=650, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 800 (before=700, leader_after=bidder_1)
  turn 12: Mimic-Llama RAISE to 850 (before=800, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 900 (before=850, leader_after=bidder_3)
  turn 14: Math-T4 RAISE to 950 (before=900, leader_after=bidder_4)
  turn 15: Mimic-Pro RAISE to 1050 (before=950, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 1150 (before=1050, leader_after=bidder_1)
  turn 17: Mimic-Llama RAISE to 1250 (before=1150, leader_after=bidder_2)
  turn 18: Mimic-Opus RAISE to 1350 (before=1250, leader_after=bidder_3)
  turn 19: Math-T4 RAISE to 1450 (before=1350, leader_after=bidder_4)
  turn 20: Mimic-Pro RAISE to 1650 (before=1450, leader_after=bidder_5)
  turn 21: Mimic-GPT-5.4 PASS (before=1650, leader_after=bidder_5)
  turn 22: Mimic-Llama RAISE to 1750 (before=1650, leader_after=bidder_2)
  turn 23: Mimic-Opus RAISE to 1850 (before=1750, leader_after=bidder_3)
  turn 24: Math-T4 RAISE to 1950 (before=1850, leader_after=bidder_4)
  turn 25: Mimic-Pro RAISE to 2050 (before=1950, leader_after=bidder_5)
  turn 26: Mimic-Llama RAISE to 2150 (before=2050, leader_after=bidder_2)
  turn 27: Mimic-Opus RAISE to 2350 (before=2150, leader_after=bidder_3)
  turn 28: Math-T4 RAISE to 2450 (before=2350, leader_after=bidder_4)
  turn 29: Mimic-Pro PASS (before=2450, leader_after=bidder_4)
  turn 30: Mimic-Llama RAISE to 2550 (before=2450, leader_after=bidder_2)
  turn 31: Mimic-Opus PASS (before=2550, leader_after=bidder_2)
  turn 32: Math-T4 RAISE to 2650 (before=2550, leader_after=bidder_4)
  turn 33: Mimic-Llama RAISE to 2750 (before=2650, leader_after=bidder_2)
  turn 34: Math-T4 RAISE to 2850 (before=2750, leader_after=bidder_4)
  turn 35: Mimic-Llama RAISE to 2950 (before=2850, leader_after=bidder_2)
  turn 36: Math-T4 RAISE to 3050 (before=2950, leader_after=bidder_4)
  turn 37: Mimic-Llama RAISE to 3550 (before=3050, leader_after=bidder_2)
  turn 38: Math-T4 RAISE to 3800 (before=3550, leader_after=bidder_4)
  turn 39: Mimic-Llama PASS (before=3800, leader_after=bidder_4)

painting_5 | status=sold | winner=Mimic-Llama | winning_bid=3250
  turn 1: Mimic-GPT-5.4 RAISE to 200 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Llama RAISE to 300 (before=200, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 350 (before=300, leader_after=bidder_3)
  turn 4: Math-T4 RAISE to 400 (before=350, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 450 (before=400, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 500 (before=450, leader_after=bidder_1)
  turn 7: Mimic-Llama RAISE to 600 (before=500, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 700 (before=600, leader_after=bidder_3)
  turn 9: Math-T4 RAISE to 750 (before=700, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 800 (before=750, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_1)
  turn 12: Mimic-Llama RAISE to 900 (before=850, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 14: Math-T4 RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 15: Mimic-Pro RAISE to 1200 (before=1000, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 17: Mimic-Llama RAISE to 1400 (before=1300, leader_after=bidder_2)
  turn 18: Mimic-Opus RAISE to 1500 (before=1400, leader_after=bidder_3)
  turn 19: Math-T4 RAISE to 1600 (before=1500, leader_after=bidder_4)
  turn 20: Mimic-Pro RAISE to 1700 (before=1600, leader_after=bidder_5)
  turn 21: Mimic-GPT-5.4 RAISE to 1800 (before=1700, leader_after=bidder_1)
  turn 22: Mimic-Llama RAISE to 1900 (before=1800, leader_after=bidder_2)
  turn 23: Mimic-Opus RAISE to 2100 (before=1900, leader_after=bidder_3)
  turn 24: Math-T4 RAISE to 2200 (before=2100, leader_after=bidder_4)
  turn 25: Mimic-Pro PASS (before=2200, leader_after=bidder_4)
  turn 26: Mimic-GPT-5.4 PASS (before=2200, leader_after=bidder_4)
  turn 27: Mimic-Llama RAISE to 2300 (before=2200, leader_after=bidder_2)
  turn 28: Mimic-Opus RAISE to 2400 (before=2300, leader_after=bidder_3)
  turn 29: Math-T4 RAISE to 2500 (before=2400, leader_after=bidder_4)
  turn 30: Mimic-Llama RAISE to 2600 (before=2500, leader_after=bidder_2)
  turn 31: Mimic-Opus RAISE to 2700 (before=2600, leader_after=bidder_3)
  turn 32: Math-T4 RAISE to 2800 (before=2700, leader_after=bidder_4)
  turn 33: Mimic-Llama RAISE to 2900 (before=2800, leader_after=bidder_2)
  turn 34: Mimic-Opus RAISE to 3000 (before=2900, leader_after=bidder_3)
  turn 35: Math-T4 PASS (before=3000, leader_after=bidder_3)
  turn 36: Mimic-Llama RAISE to 3250 (before=3000, leader_after=bidder_2)
  turn 37: Mimic-Opus PASS (before=3250, leader_after=bidder_2)

painting_6 | status=sold | winner=Mimic-Opus | winning_bid=3750
  turn 1: Mimic-GPT-5.4 RAISE to 200 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Llama RAISE to 300 (before=200, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 350 (before=300, leader_after=bidder_3)
  turn 4: Math-T4 RAISE to 400 (before=350, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 450 (before=400, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 500 (before=450, leader_after=bidder_1)
  turn 7: Mimic-Llama RAISE to 550 (before=500, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 600 (before=550, leader_after=bidder_3)
  turn 9: Math-T4 RAISE to 650 (before=600, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 700 (before=650, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_1)
  turn 12: Mimic-Llama RAISE to 850 (before=750, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 900 (before=850, leader_after=bidder_3)
  turn 14: Math-T4 RAISE to 950 (before=900, leader_after=bidder_4)
  turn 15: Mimic-Pro RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_1)
  turn 17: Mimic-Llama RAISE to 1200 (before=1100, leader_after=bidder_2)
  turn 18: Mimic-Opus RAISE to 1300 (before=1200, leader_after=bidder_3)
  turn 19: Math-T4 RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 20: Mimic-Pro RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 21: Mimic-GPT-5.4 RAISE to 1700 (before=1500, leader_after=bidder_1)
  turn 22: Mimic-Llama RAISE to 1800 (before=1700, leader_after=bidder_2)
  turn 23: Mimic-Opus RAISE to 1900 (before=1800, leader_after=bidder_3)
  turn 24: Math-T4 RAISE to 2000 (before=1900, leader_after=bidder_4)
  turn 25: Mimic-Pro RAISE to 2100 (before=2000, leader_after=bidder_5)
  turn 26: Mimic-GPT-5.4 RAISE to 2200 (before=2100, leader_after=bidder_1)
  turn 27: Mimic-Llama PASS (before=2200, leader_after=bidder_1)
  turn 28: Mimic-Opus RAISE to 2400 (before=2200, leader_after=bidder_3)
  turn 29: Math-T4 RAISE to 2500 (before=2400, leader_after=bidder_4)
  turn 30: Mimic-Pro RAISE to 2600 (before=2500, leader_after=bidder_5)
  turn 31: Mimic-GPT-5.4 RAISE to 2800 (before=2600, leader_after=bidder_1)
  turn 32: Mimic-Opus RAISE to 2900 (before=2800, leader_after=bidder_3)
  turn 33: Math-T4 PASS (before=2900, leader_after=bidder_3)
  turn 34: Mimic-Pro RAISE to 3000 (before=2900, leader_after=bidder_5)
  turn 35: Mimic-GPT-5.4 RAISE to 3250 (before=3000, leader_after=bidder_1)
  turn 36: Mimic-Opus RAISE to 3750 (before=3250, leader_after=bidder_3)
  turn 37: Mimic-Pro PASS (before=3750, leader_after=bidder_3)
  turn 38: Mimic-GPT-5.4 PASS (before=3750, leader_after=bidder_3)

painting_7 | status=sold | winner=Mimic-GPT-5.4 | winning_bid=3650
  turn 1: Mimic-GPT-5.4 RAISE to 300 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Llama RAISE to 400 (before=300, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 500 (before=400, leader_after=bidder_3)
  turn 4: Math-T4 RAISE to 550 (before=500, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 650 (before=550, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 750 (before=650, leader_after=bidder_1)
  turn 7: Mimic-Llama RAISE to 800 (before=750, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 850 (before=800, leader_after=bidder_3)
  turn 9: Math-T4 RAISE to 900 (before=850, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 950 (before=900, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_1)
  turn 12: Mimic-Llama RAISE to 1200 (before=1000, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 1300 (before=1200, leader_after=bidder_3)
  turn 14: Math-T4 RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 15: Mimic-Pro RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 1600 (before=1500, leader_after=bidder_1)
  turn 17: Mimic-Llama RAISE to 1700 (before=1600, leader_after=bidder_2)
  turn 18: Mimic-Opus RAISE to 1800 (before=1700, leader_after=bidder_3)
  turn 19: Math-T4 RAISE to 1900 (before=1800, leader_after=bidder_4)
  turn 20: Mimic-Pro RAISE to 2000 (before=1900, leader_after=bidder_5)
  turn 21: Mimic-GPT-5.4 RAISE to 2100 (before=2000, leader_after=bidder_1)
  turn 22: Mimic-Llama RAISE to 2250 (before=2100, leader_after=bidder_2)
  turn 23: Mimic-Opus PASS (before=2250, leader_after=bidder_2)
  turn 24: Math-T4 RAISE to 2350 (before=2250, leader_after=bidder_4)
  turn 25: Mimic-Pro RAISE to 2550 (before=2350, leader_after=bidder_5)
  turn 26: Mimic-GPT-5.4 RAISE to 2650 (before=2550, leader_after=bidder_1)
  turn 27: Mimic-Llama PASS (before=2650, leader_after=bidder_1)
  turn 28: Math-T4 RAISE to 2750 (before=2650, leader_after=bidder_4)
  turn 29: Mimic-Pro RAISE to 2850 (before=2750, leader_after=bidder_5)
  turn 30: Mimic-GPT-5.4 RAISE to 2950 (before=2850, leader_after=bidder_1)
  turn 31: Math-T4 PASS (before=2950, leader_after=bidder_1)
  turn 32: Mimic-Pro RAISE to 3150 (before=2950, leader_after=bidder_5)
  turn 33: Mimic-GPT-5.4 RAISE to 3650 (before=3150, leader_after=bidder_1)
  turn 34: Mimic-Pro PASS (before=3650, leader_after=bidder_1)

painting_8 | status=sold | winner=Mimic-Pro | winning_bid=4750
  turn 1: Mimic-GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Llama RAISE to 200 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 250 (before=200, leader_after=bidder_3)
  turn 4: Math-T4 RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 400 (before=300, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_1)
  turn 7: Mimic-Llama RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Math-T4 RAISE to 600 (before=550, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 650 (before=600, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_1)
  turn 12: Mimic-Llama RAISE to 750 (before=700, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 800 (before=750, leader_after=bidder_3)
  turn 14: Math-T4 RAISE to 850 (before=800, leader_after=bidder_4)
  turn 15: Mimic-Pro RAISE to 950 (before=850, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_1)
  turn 17: Mimic-Llama RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 18: Mimic-Opus RAISE to 1200 (before=1100, leader_after=bidder_3)
  turn 19: Math-T4 RAISE to 1300 (before=1200, leader_after=bidder_4)
  turn 20: Mimic-Pro RAISE to 1400 (before=1300, leader_after=bidder_5)
  turn 21: Mimic-GPT-5.4 RAISE to 1500 (before=1400, leader_after=bidder_1)
  turn 22: Mimic-Llama RAISE to 1700 (before=1500, leader_after=bidder_2)
  turn 23: Mimic-Opus RAISE to 1800 (before=1700, leader_after=bidder_3)
  turn 24: Math-T4 RAISE to 1900 (before=1800, leader_after=bidder_4)
  turn 25: Mimic-Pro RAISE to 2000 (before=1900, leader_after=bidder_5)
  turn 26: Mimic-GPT-5.4 RAISE to 2200 (before=2000, leader_after=bidder_1)
  turn 27: Mimic-Llama PASS (before=2200, leader_after=bidder_1)
  turn 28: Mimic-Opus RAISE to 2300 (before=2200, leader_after=bidder_3)
  turn 29: Math-T4 RAISE to 2400 (before=2300, leader_after=bidder_4)
  turn 30: Mimic-Pro RAISE to 2500 (before=2400, leader_after=bidder_5)
  turn 31: Mimic-GPT-5.4 RAISE to 2600 (before=2500, leader_after=bidder_1)
  turn 32: Mimic-Opus RAISE to 2700 (before=2600, leader_after=bidder_3)
  turn 33: Math-T4 RAISE to 2800 (before=2700, leader_after=bidder_4)
  turn 34: Mimic-Pro RAISE to 2900 (before=2800, leader_after=bidder_5)
  turn 35: Mimic-GPT-5.4 RAISE to 3000 (before=2900, leader_after=bidder_1)
  turn 36: Mimic-Opus PASS (before=3000, leader_after=bidder_1)
  turn 37: Math-T4 PASS (before=3000, leader_after=bidder_1)
  turn 38: Mimic-Pro RAISE to 3250 (before=3000, leader_after=bidder_5)
  turn 39: Mimic-GPT-5.4 RAISE to 3500 (before=3250, leader_after=bidder_1)
  turn 40: Mimic-Pro RAISE to 3750 (before=3500, leader_after=bidder_5)
  turn 41: Mimic-GPT-5.4 RAISE to 4000 (before=3750, leader_after=bidder_1)
  turn 42: Mimic-Pro RAISE to 4250 (before=4000, leader_after=bidder_5)
  turn 43: Mimic-GPT-5.4 RAISE to 4500 (before=4250, leader_after=bidder_1)
  turn 44: Mimic-Pro RAISE to 4750 (before=4500, leader_after=bidder_5)
  turn 45: Mimic-GPT-5.4 PASS (before=4750, leader_after=bidder_5)

painting_9 | status=sold | winner=Mimic-Opus | winning_bid=4050
  turn 1: Mimic-GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Llama RAISE to 200 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 250 (before=200, leader_after=bidder_3)
  turn 4: Math-T4 RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_1)
  turn 7: Mimic-Llama RAISE to 450 (before=400, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 500 (before=450, leader_after=bidder_3)
  turn 9: Math-T4 RAISE to 550 (before=500, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 650 (before=550, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 750 (before=650, leader_after=bidder_1)
  turn 12: Mimic-Llama RAISE to 800 (before=750, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 850 (before=800, leader_after=bidder_3)
  turn 14: Math-T4 RAISE to 900 (before=850, leader_after=bidder_4)
  turn 15: Mimic-Pro RAISE to 950 (before=900, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 1050 (before=950, leader_after=bidder_1)
  turn 17: Mimic-Llama RAISE to 1150 (before=1050, leader_after=bidder_2)
  turn 18: Mimic-Opus RAISE to 1250 (before=1150, leader_after=bidder_3)
  turn 19: Math-T4 RAISE to 1350 (before=1250, leader_after=bidder_4)
  turn 20: Mimic-Pro RAISE to 1450 (before=1350, leader_after=bidder_5)
  turn 21: Mimic-GPT-5.4 RAISE to 1650 (before=1450, leader_after=bidder_1)
  turn 22: Mimic-Llama RAISE to 1750 (before=1650, leader_after=bidder_2)
  turn 23: Mimic-Opus RAISE to 1850 (before=1750, leader_after=bidder_3)
  turn 24: Math-T4 RAISE to 1950 (before=1850, leader_after=bidder_4)
  turn 25: Mimic-Pro PASS (before=1950, leader_after=bidder_4)
  turn 26: Mimic-GPT-5.4 RAISE to 2150 (before=1950, leader_after=bidder_1)
  turn 27: Mimic-Llama RAISE to 2250 (before=2150, leader_after=bidder_2)
  turn 28: Mimic-Opus RAISE to 2450 (before=2250, leader_after=bidder_3)
  turn 29: Math-T4 RAISE to 2550 (before=2450, leader_after=bidder_4)
  turn 30: Mimic-GPT-5.4 RAISE to 2650 (before=2550, leader_after=bidder_1)
  turn 31: Mimic-Llama PASS (before=2650, leader_after=bidder_1)
  turn 32: Mimic-Opus RAISE to 2750 (before=2650, leader_after=bidder_3)
  turn 33: Math-T4 PASS (before=2750, leader_after=bidder_3)
  turn 34: Mimic-GPT-5.4 RAISE to 2850 (before=2750, leader_after=bidder_1)
  turn 35: Mimic-Opus RAISE to 2950 (before=2850, leader_after=bidder_3)
  turn 36: Mimic-GPT-5.4 RAISE to 3050 (before=2950, leader_after=bidder_1)
  turn 37: Mimic-Opus RAISE to 3550 (before=3050, leader_after=bidder_3)
  turn 38: Mimic-GPT-5.4 RAISE to 3800 (before=3550, leader_after=bidder_1)
  turn 39: Mimic-Opus RAISE to 4050 (before=3800, leader_after=bidder_3)
  turn 40: Mimic-GPT-5.4 PASS (before=4050, leader_after=bidder_3)

painting_10 | status=sold | winner=Mimic-GPT-5.4 | winning_bid=5500
  turn 1: Mimic-GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Llama RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 250 (before=150, leader_after=bidder_3)
  turn 4: Math-T4 RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 450 (before=350, leader_after=bidder_1)
