Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2429.25

painting_1 | status=sold | winner=Llama | winning_bid=1000
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 7: Llama RAISE to 250 (before=200, leader_after=bidder_3)
  turn 8: Opus RAISE to 300 (before=250, leader_after=bidder_1)
  turn 9: Llama PASS (before=300, leader_after=bidder_1)

painting_6 | status=sold | winner=Opus | winning_bid=1600
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: Llama RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Grok RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Opus RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: Llama RAISE to 500 (before=300, leader_after=bidder_3)
  turn 8: GPT-5.4 PASS (before=500, leader_after=bidder_3)
  turn 9: Grok PASS (before=500, leader_after=bidder_3)
  turn 10: Opus RAISE to 550 (before=500, leader_after=bidder_1)
  turn 11: Llama RAISE to 1500 (before=550, leader_after=bidder_3)
  turn 12: Opus RAISE to 1600 (before=1500, leader_after=bidder_1)
  turn 13: Llama RAISE to 1700 (before=1600, leader_after=bidder_1)

painting_7 | status=sold | winner=Grok | winning_bid=400
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: Llama RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Grok RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Opus RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: Llama PASS (before=300, leader_after=bidder_1)
  turn 8: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_4)
  turn 9: Grok RAISE to 400 (before=350, leader_after=bidder_5)
  turn 10: Opus PASS (before=400, leader_after=bidder_5)
  turn 11: GPT-5.4 PASS (before=400, leader_after=bidder_5)

painting_8 | status=sold | winner=Opus | winning_bid=800
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: Llama RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Grok RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Opus RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: Llama PASS (before=300, leader_after=bidder_1)
  turn 8: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_4)
  turn 9: Grok PASS (before=350, leader_after=bidder_4)
  turn 10: Opus RAISE to 400 (before=350, leader_after=bidder_1)
  turn 11: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_4)
  turn 12: Opus RAISE to 500 (before=450, leader_after=bidder_1)
  turn 13: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_4)
  turn 14: Opus RAISE to 600 (before=550, leader_after=bidder_1)
  turn 15: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_4)
  turn 16: Opus RAISE to 700 (before=650, leader_after=bidder_1)
  turn 17: GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_4)
  turn 18: Opus RAISE to 800 (before=750, leader_after=bidder_1)
  turn 19: GPT-5.4 PASS (before=800, leader_after=bidder_1)

painting_9 | status=sold | winner=GPT-5.4 | winning_bid=850
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: Llama RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Grok RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Opus RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: Llama PASS (before=300, leader_after=bidder_1)
  turn 8: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_4)
  turn 9: Grok PASS (before=350, leader_after=bidder_4)
  turn 10: Opus RAISE to 400 (before=350, leader_after=bidder_1)
  turn 11: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_4)
  turn 12: Opus RAISE to 500 (before=450, leader_after=bidder_1)
  turn 13: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_4)
  turn 14: Opus RAISE to 600 (before=550, leader_after=bidder_1)
  turn 15: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_4)
  turn 16: Opus RAISE to 700 (before=650, leader_after=bidder_1)
  turn 17: GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_4)
  turn 18: Opus RAISE to 800 (before=750, leader_after=bidder_1)
  turn 19: GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_4)
  turn 20: Opus PASS (before=850, leader_after=bidder_4)

painting_10 | status=sold | winner=Grok | winning_bid=500
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: Llama RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Grok RAISE to 500 (before=200, leader_after=bidder_5)
  turn 6: Opus PASS (before=500, leader_after=bidder_5)
  turn 7: Llama PASS (before=500, leader_after=bidder_5)
  turn 8: GPT-5.4 PASS (before=500, leader_after=bidder_5)

painting_11 | status=sold | winner=GPT-5.4 | winning_bid=7300
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: Llama RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: GPT-5.4 RAISE to 1510 (before=150, leader_after=bidder_4)
  turn 5: Grok PASS (before=1510, leader_after=bidder_4)
  turn 6: Opus RAISE to 1610 (before=1510, leader_after=bidder_1)
  turn 7: Llama PASS (before=1610, leader_after=bidder_1)
  turn 8: GPT-5.4 RAISE to 7300 (before=1610, leader_after=bidder_4)
  turn 9: Opus PASS (before=7300, leader_after=bidder_4)

painting_12 | status=sold | winner=Grok | winning_bid=7301
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: Llama RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: GPT-5.4 RAISE to 250 (before=150, leader_after=bidder_4)
  turn 5: Grok RAISE to 7301 (before=250, leader_after=bidder_5)
  turn 6: Opus PASS (before=7301, leader_after=bidder_5)
  turn 7: Llama RAISE to 7551 (before=7301, leader_after=bidder_5)
  turn 8: GPT-5.4 PASS (before=7301, leader_after=bidder_5)
