Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2320.833

painting_1 | status=sold | winner=Mimic-GPT-5.4 | winning_bid=900
  turn 1: Mimic-Llama RAISE to 150 (before=0, leader_after=bidder_1)
  turn 16: Mimic-Llama RAISE to 950 (before=850, leader_after=bidder_1)
  turn 17: Mimic-Grok PASS (before=950, leader_after=bidder_1)
  turn 18: Mimic-Opus RAISE to 1000 (before=950, leader_after=bidder_3)
  turn 19: Mimic-GPT-5.4 RAISE to 1200 (before=1000, leader_after=bidder_4)
  turn 20: Math-T2 RAISE to 1300 (before=1200, leader_after=bidder_5)
  turn 21: Mimic-Llama PASS (before=1300, leader_after=bidder_5)
  turn 22: Mimic-Opus RAISE to 1500 (before=1300, leader_after=bidder_3)
  turn 23: Mimic-GPT-5.4 PASS (before=1500, leader_after=bidder_3)
  turn 24: Math-T2 PASS (before=1500, leader_after=bidder_3)

painting_6 | status=sold | winner=Mimic-Llama | winning_bid=1700
  turn 1: Mimic-Llama RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 250 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 300 (before=250, leader_after=bidder_3)
  turn 4: Mimic-GPT-5.4 RAISE to 400 (before=300, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 450 (before=400, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 550 (before=450, leader_after=bidder_1)
  turn 7: Mimic-Grok PASS (before=550, leader_after=bidder_1)
  turn 8: Mimic-Opus RAISE to 600 (before=550, leader_after=bidder_3)
  turn 9: Mimic-GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 700 (before=650, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 800 (before=700, leader_after=bidder_1)
  turn 12: Mimic-Opus RAISE to 850 (before=800, leader_after=bidder_3)
  turn 13: Mimic-GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_4)
  turn 14: Math-T2 RAISE to 950 (before=900, leader_after=bidder_5)
  turn 15: Mimic-Llama RAISE to 1000 (before=950, leader_after=bidder_1)
  turn 16: Mimic-Opus PASS (before=1000, leader_after=bidder_1)
  turn 17: Mimic-GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 18: Math-T2 RAISE to 1200 (before=1100, leader_after=bidder_5)
  turn 19: Mimic-Llama RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 20: Mimic-GPT-5.4 RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 21: Math-T2 RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 22: Mimic-Llama RAISE to 1700 (before=1500, leader_after=bidder_1)
  turn 23: Mimic-GPT-5.4 PASS (before=1700, leader_after=bidder_1)
  turn 24: Math-T2 PASS (before=1700, leader_after=bidder_1)

painting_7 | status=sold | winner=Mimic-Llama | winning_bid=1900
  turn 1: Mimic-Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-GPT-5.4 RAISE to 300 (before=200, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 400 (before=350, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 450 (before=400, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 500 (before=450, leader_after=bidder_3)
  turn 9: Mimic-GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 600 (before=550, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 650 (before=600, leader_after=bidder_1)
  turn 12: Mimic-Grok RAISE to 700 (before=650, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 750 (before=700, leader_after=bidder_3)
  turn 14: Mimic-GPT-5.4 RAISE to 850 (before=750, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 900 (before=850, leader_after=bidder_5)
  turn 16: Mimic-Llama RAISE to 950 (before=900, leader_after=bidder_1)
  turn 17: Mimic-Grok PASS (before=950, leader_after=bidder_1)
  turn 18: Mimic-Opus PASS (before=950, leader_after=bidder_1)
  turn 19: Mimic-GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Math-T2 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: Mimic-Llama RAISE to 1300 (before=1100, leader_after=bidder_1)
  turn 22: Mimic-GPT-5.4 RAISE to 1500 (before=1300, leader_after=bidder_4)
  turn 23: Math-T2 RAISE to 1600 (before=1500, leader_after=bidder_5)
  turn 24: Mimic-Llama RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 25: Mimic-GPT-5.4 RAISE to 1800 (before=1700, leader_after=bidder_4)
  turn 26: Math-T2 PASS (before=1800, leader_after=bidder_4)
  turn 27: Mimic-Llama RAISE to 1900 (before=1800, leader_after=bidder_1)
  turn 28: Mimic-GPT-5.4 PASS (before=1900, leader_after=bidder_1)

painting_8 | status=sold | winner=Math-T2 | winning_bid=1800
  turn 1: Mimic-Llama RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 200 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 300 (before=200, leader_after=bidder_3)
  turn 4: Mimic-GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 400 (before=350, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 450 (before=400, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 550 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 600 (before=550, leader_after=bidder_3)
  turn 9: Mimic-GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 700 (before=650, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 750 (before=700, leader_after=bidder_1)
  turn 12: Mimic-Grok RAISE to 800 (before=750, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 850 (before=800, leader_after=bidder_3)
  turn 14: Mimic-GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 950 (before=900, leader_after=bidder_5)
  turn 16: Mimic-Llama RAISE to 1000 (before=950, leader_after=bidder_1)
  turn 17: Mimic-Grok RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 18: Mimic-Opus RAISE to 1200 (before=1100, leader_after=bidder_3)
  turn 19: Mimic-GPT-5.4 RAISE to 1300 (before=1200, leader_after=bidder_4)
  turn 20: Math-T2 RAISE to 1400 (before=1300, leader_after=bidder_5)
  turn 21: Mimic-Llama PASS (before=1400, leader_after=bidder_5)
  turn 22: Mimic-Grok PASS (before=1400, leader_after=bidder_5)
  turn 23: Mimic-Opus RAISE to 1500 (before=1400, leader_after=bidder_3)
  turn 24: Mimic-GPT-5.4 RAISE to 1700 (before=1500, leader_after=bidder_4)
  turn 25: Math-T2 RAISE to 1800 (before=1700, leader_after=bidder_5)
  turn 26: Mimic-Opus PASS (before=1800, leader_after=bidder_5)
  turn 27: Mimic-GPT-5.4 PASS (before=1800, leader_after=bidder_5)

painting_9 | status=sold | winner=Mimic-GPT-5.4 | winning_bid=2200
  turn 1: Mimic-Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-GPT-5.4 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Mimic-GPT-5.4 RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Mimic-Grok PASS (before=600, leader_after=bidder_1)
  turn 13: Mimic-Opus RAISE to 650 (before=600, leader_after=bidder_3)
  turn 14: Mimic-GPT-5.4 RAISE to 800 (before=650, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 850 (before=800, leader_after=bidder_5)
  turn 16: Mimic-Llama RAISE to 900 (before=850, leader_after=bidder_1)
  turn 17: Mimic-Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 18: Mimic-GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 19: Math-T2 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 20: Mimic-Llama PASS (before=1100, leader_after=bidder_5)
  turn 21: Mimic-Opus RAISE to 1200 (before=1100, leader_after=bidder_3)
  turn 22: Mimic-GPT-5.4 RAISE to 1300 (before=1200, leader_after=bidder_4)
  turn 23: Math-T2 RAISE to 1400 (before=1300, leader_after=bidder_5)
  turn 24: Mimic-Opus RAISE to 1700 (before=1400, leader_after=bidder_3)
  turn 25: Mimic-GPT-5.4 RAISE to 1800 (before=1700, leader_after=bidder_4)
  turn 26: Math-T2 RAISE to 1900 (before=1800, leader_after=bidder_5)
  turn 27: Mimic-Opus RAISE to 2100 (before=1900, leader_after=bidder_3)
  turn 28: Mimic-GPT-5.4 RAISE to 2200 (before=2100, leader_after=bidder_4)
  turn 29: Math-T2 PASS (before=2200, leader_after=bidder_4)
  turn 30: Mimic-Opus PASS (before=2200, leader_after=bidder_4)

painting_10 | status=sold | winner=Mimic-Opus | winning_bid=2800
  turn 1: Mimic-Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-GPT-5.4 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 500 (before=400, leader_after=bidder_3)
  turn 9: Mimic-GPT-5.4 RAISE to 600 (before=500, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 650 (before=600, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 750 (before=650, leader_after=bidder_1)
  turn 12: Mimic-Grok RAISE to 800 (before=750, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 850 (before=800, leader_after=bidder_3)
  turn 14: Mimic-GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 950 (before=900, leader_after=bidder_5)
  turn 16: Mimic-Llama RAISE to 1000 (before=950, leader_after=bidder_1)
  turn 17: Mimic-Grok RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 18: Mimic-Opus RAISE to 1300 (before=1100, leader_after=bidder_3)
  turn 19: Mimic-GPT-5.4 RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 20: Math-T2 RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 21: Mimic-Llama RAISE to 1700 (before=1500, leader_after=bidder_1)
  turn 22: Mimic-Grok RAISE to 1800 (before=1700, leader_after=bidder_2)
  turn 23: Mimic-Opus RAISE to 1900 (before=1800, leader_after=bidder_3)
  turn 24: Mimic-GPT-5.4 RAISE to 2000 (before=1900, leader_after=bidder_4)
  turn 25: Math-T2 RAISE to 2100 (before=2000, leader_after=bidder_5)
  turn 26: Mimic-Llama PASS (before=2100, leader_after=bidder_5)
  turn 27: Mimic-Grok RAISE to 2200 (before=2100, leader_after=bidder_2)
  turn 28: Mimic-Opus RAISE to 2400 (before=2200, leader_after=bidder_3)
  turn 29: Mimic-GPT-5.4 RAISE to 2600 (before=2400, leader_after=bidder_4)
  turn 30: Math-T2 RAISE to 2700 (before=2600, leader_after=bidder_5)
  turn 31: Mimic-Grok PASS (before=2700, leader_after=bidder_5)
  turn 32: Mimic-Opus RAISE to 2800 (before=2700, leader_after=bidder_3)
  turn 33: Mimic-GPT-5.4 PASS (before=2800, leader_after=bidder_3)
  turn 34: Math-T2 PASS (before=2800, leader_after=bidder_3)

painting_11 | status=sold | winner=Mimic-Grok | winning_bid=4750
  turn 1: Mimic-Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 200 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 300 (before=200, leader_after=bidder_3)
  turn 4: Mimic-GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 400 (before=350, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 450 (before=400, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Mimic-GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 650 (before=600, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 750 (before=650, leader_after=bidder_1)
  turn 12: Mimic-Grok RAISE to 800 (before=750, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 900 (before=800, leader_after=bidder_3)
  turn 14: Mimic-GPT-5.4 RAISE to 1000 (before=900, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 16: Mimic-Llama RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 17: Mimic-Grok RAISE to 1500 (before=1200, leader_after=bidder_2)
  turn 18: Mimic-Opus RAISE to 1600 (before=1500, leader_after=bidder_3)
  turn 19: Mimic-GPT-5.4 RAISE to 1800 (before=1600, leader_after=bidder_4)
  turn 20: Math-T2 RAISE to 1900 (before=1800, leader_after=bidder_5)
  turn 21: Mimic-Llama RAISE to 2000 (before=1900, leader_after=bidder_1)
  turn 22: Mimic-Grok RAISE to 2100 (before=2000, leader_after=bidder_2)
  turn 23: Mimic-Opus RAISE to 2200 (before=2100, leader_after=bidder_3)
  turn 24: Mimic-GPT-5.4 RAISE to 2300 (before=2200, leader_after=bidder_4)
  turn 25: Math-T2 RAISE to 2400 (before=2300, leader_after=bidder_5)
  turn 26: Mimic-Llama RAISE to 2500 (before=2400, leader_after=bidder_1)
  turn 27: Mimic-Grok RAISE to 2600 (before=2500, leader_after=bidder_2)
  turn 28: Mimic-Opus PASS (before=2600, leader_after=bidder_2)
  turn 29: Mimic-GPT-5.4 RAISE to 2800 (before=2600, leader_after=bidder_4)
  turn 30: Math-T2 RAISE to 2900 (before=2800, leader_after=bidder_5)
  turn 31: Mimic-Llama PASS (before=2900, leader_after=bidder_5)
  turn 32: Mimic-Grok RAISE to 3000 (before=2900, leader_after=bidder_2)
  turn 33: Mimic-GPT-5.4 RAISE to 3250 (before=3000, leader_after=bidder_4)
  turn 34: Math-T2 RAISE to 3500 (before=3250, leader_after=bidder_5)
  turn 35: Mimic-Grok RAISE to 3750 (before=3500, leader_after=bidder_2)
  turn 36: Mimic-GPT-5.4 RAISE to 4000 (before=3750, leader_after=bidder_4)
  turn 37: Math-T2 RAISE to 4250 (before=4000, leader_after=bidder_5)
  turn 38: Mimic-Grok RAISE to 4750 (before=4250, leader_after=bidder_2)
  turn 39: Mimic-GPT-5.4 PASS (before=4750, leader_after=bidder_2)
  turn 40: Math-T2 PASS (before=4750, leader_after=bidder_2)

painting_12 | status=sold | winner=Math-T2 | winning_bid=5750
  turn 1: Mimic-Llama RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 200 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 250 (before=200, leader_after=bidder_3)
  turn 4: Mimic-GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 400 (before=350, leader_after=bidder_1)
  turn 7: Mimic-Grok PASS (before=400, leader_after=bidder_1)
  turn 8: Mimic-Opus PASS (before=400, leader_after=bidder_1)
  turn 9: Mimic-GPT-5.4 RAISE to 500 (before=400, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 650 (before=550, leader_after=bidder_1)
  turn 12: Mimic-GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_4)
  turn 13: Math-T2 RAISE to 750 (before=700, leader_after=bidder_5)
  turn 14: Mimic-Llama RAISE to 800 (before=750, leader_after=bidder_1)
  turn 15: Mimic-GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_4)
  turn 16: Math-T2 RAISE to 900 (before=850, leader_after=bidder_5)
  turn 17: Mimic-Llama RAISE to 1000 (before=900, leader_after=bidder_1)
  turn 18: Mimic-GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 19: Math-T2 RAISE to 1200 (before=1100, leader_after=bidder_5)
  turn 20: Mimic-Llama RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 21: Mimic-GPT-5.4 RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 22: Math-T2 RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 23: Mimic-Llama RAISE to 1600 (before=1500, leader_after=bidder_1)
  turn 24: Mimic-GPT-5.4 RAISE to 1800 (before=1600, leader_after=bidder_4)
  turn 25: Math-T2 RAISE to 1900 (before=1800, leader_after=bidder_5)
  turn 26: Mimic-Llama RAISE to 2000 (before=1900, leader_after=bidder_1)
  turn 27: Mimic-GPT-5.4 RAISE to 2200 (before=2000, leader_after=bidder_4)
  turn 28: Math-T2 RAISE to 2300 (before=2200, leader_after=bidder_5)
  turn 29: Mimic-Llama RAISE to 2400 (before=2300, leader_after=bidder_1)
  turn 30: Mimic-GPT-5.4 RAISE to 2500 (before=2400, leader_after=bidder_4)
  turn 31: Math-T2 RAISE to 2600 (before=2500, leader_after=bidder_5)
  turn 32: Mimic-Llama RAISE to 2700 (before=2600, leader_after=bidder_1)
  turn 33: Mimic-GPT-5.4 RAISE to 2800 (before=2700, leader_after=bidder_4)
  turn 34: Math-T2 RAISE to 2900 (before=2800, leader_after=bidder_5)
  turn 35: Mimic-Llama RAISE to 3000 (before=2900, leader_after=bidder_1)
  turn 36: Mimic-GPT-5.4 RAISE to 3250 (before=3000, leader_after=bidder_4)
  turn 37: Math-T2 RAISE to 3500 (before=3250, leader_after=bidder_5)
  turn 38: Mimic-Llama PASS (before=3500, leader_after=bidder_5)
  turn 39: Mimic-GPT-5.4 RAISE to 3750 (before=3500, leader_after=bidder_4)
  turn 40: Math-T2 RAISE to 4000 (before=3750, leader_after=bidder_5)
  turn 41: Mimic-GPT-5.4 RAISE to 4250 (before=4000, leader_after=bidder_4)
  turn 42: Math-T2 RAISE to 4500 (before=4250, leader_after=bidder_5)
  turn 43: Mimic-GPT-5.4 RAISE to 4750 (before=4500, leader_after=bidder_4)
  turn 44: Math-T2 RAISE to 5000 (before=4750, leader_after=bidder_5)
  turn 45: Mimic-GPT-5.4 RAISE to 5500 (before=5000, leader_after=bidder_4)
