Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2208.333

painting_1 | status=sold | winner=Mimic-Pro | winning_bid=1200
  turn 1: Mimic-Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 7: Math-T2 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Mimic-Pro PASS (before=500, leader_after=bidder_4)
  turn 11: Mimic-Grok PASS (before=500, leader_after=bidder_4)
  turn 12: Math-T2 RAISE to 550 (before=500, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 600 (before=550, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 650 (before=600, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 700 (before=650, leader_after=bidder_2)
  turn 16: Mimic-Opus RAISE to 750 (before=700, leader_after=bidder_3)
  turn 17: Mimic-Llama RAISE to 850 (before=750, leader_after=bidder_4)
  turn 18: Math-T2 RAISE to 900 (before=850, leader_after=bidder_2)
  turn 19: Mimic-Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 20: Mimic-Llama RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 21: Math-T2 PASS (before=1000, leader_after=bidder_4)
  turn 22: Mimic-Opus PASS (before=1000, leader_after=bidder_4)

painting_3 | status=sold | winner=Mimic-Llama | winning_bid=1500
  turn 1: Mimic-Grok RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Math-T2 RAISE to 200 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 250 (before=200, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-Grok RAISE to 450 (before=350, leader_after=bidder_1)
  turn 7: Math-T2 RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 650 (before=550, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 700 (before=650, leader_after=bidder_5)
  turn 11: Mimic-Grok RAISE to 750 (before=700, leader_after=bidder_1)
  turn 12: Math-T2 RAISE to 800 (before=750, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 900 (before=800, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 950 (before=900, leader_after=bidder_4)
  turn 15: Mimic-Pro RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 16: Mimic-Grok RAISE to 1100 (before=1000, leader_after=bidder_1)
  turn 17: Math-T2 PASS (before=1100, leader_after=bidder_1)
  turn 18: Mimic-Opus PASS (before=1100, leader_after=bidder_1)
  turn 19: Mimic-Llama RAISE to 1200 (before=1100, leader_after=bidder_4)
  turn 20: Mimic-Pro RAISE to 1300 (before=1200, leader_after=bidder_5)
  turn 21: Mimic-Grok RAISE to 1400 (before=1300, leader_after=bidder_1)
  turn 22: Mimic-Llama RAISE to 1500 (before=1400, leader_after=bidder_4)
  turn 23: Mimic-Pro PASS (before=1500, leader_after=bidder_4)
  turn 24: Mimic-Grok PASS (before=1500, leader_after=bidder_4)

painting_4 | status=sold | winner=Mimic-Opus | winning_bid=1400
  turn 1: Mimic-Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Math-T2 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 250 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-Grok RAISE to 450 (before=350, leader_after=bidder_1)
  turn 7: Math-T2 RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 600 (before=500, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 650 (before=600, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 800 (before=650, leader_after=bidder_5)
  turn 11: Mimic-Grok RAISE to 850 (before=800, leader_after=bidder_1)
  turn 12: Math-T2 RAISE to 900 (before=850, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 15: Mimic-Pro RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 16: Mimic-Grok RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 17: Math-T2 PASS (before=1200, leader_after=bidder_1)
  turn 18: Mimic-Opus RAISE to 1400 (before=1200, leader_after=bidder_3)
  turn 19: Mimic-Llama PASS (before=1400, leader_after=bidder_3)
  turn 20: Mimic-Pro PASS (before=1400, leader_after=bidder_3)
  turn 21: Mimic-Grok PASS (before=1400, leader_after=bidder_3)

painting_5 | status=sold | winner=Math-T2 | winning_bid=1100
  turn 1: Mimic-Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Math-T2 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Grok RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Math-T2 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Mimic-Grok RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Math-T2 RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 800 (before=700, leader_after=bidder_4)
  turn 15: Mimic-Pro RAISE to 850 (before=800, leader_after=bidder_5)
  turn 16: Mimic-Grok RAISE to 900 (before=850, leader_after=bidder_1)
  turn 17: Math-T2 RAISE to 950 (before=900, leader_after=bidder_2)
  turn 18: Mimic-Opus RAISE to 1000 (before=950, leader_after=bidder_3)
  turn 19: Mimic-Llama PASS (before=1000, leader_after=bidder_3)
  turn 20: Mimic-Pro PASS (before=1000, leader_after=bidder_3)
  turn 21: Mimic-Grok PASS (before=1000, leader_after=bidder_3)
  turn 22: Math-T2 RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 23: Mimic-Opus PASS (before=1100, leader_after=bidder_2)

painting_6 | status=sold | winner=Mimic-Llama | winning_bid=1500
  turn 1: Mimic-Grok RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Math-T2 RAISE to 200 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 300 (before=200, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 350 (before=300, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 400 (before=350, leader_after=bidder_5)
  turn 6: Mimic-Grok RAISE to 450 (before=400, leader_after=bidder_1)
  turn 7: Math-T2 RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 600 (before=500, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 650 (before=600, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 700 (before=650, leader_after=bidder_5)
  turn 11: Mimic-Grok RAISE to 800 (before=700, leader_after=bidder_1)
  turn 12: Math-T2 RAISE to 850 (before=800, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 900 (before=850, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 1000 (before=900, leader_after=bidder_4)
  turn 15: Mimic-Pro PASS (before=1000, leader_after=bidder_4)
  turn 16: Mimic-Grok PASS (before=1000, leader_after=bidder_4)
  turn 17: Math-T2 RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 18: Mimic-Opus PASS (before=1100, leader_after=bidder_2)
  turn 19: Mimic-Llama RAISE to 1200 (before=1100, leader_after=bidder_4)
  turn 20: Math-T2 RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 21: Mimic-Llama RAISE to 1500 (before=1300, leader_after=bidder_4)
  turn 22: Math-T2 PASS (before=1500, leader_after=bidder_4)

painting_7 | status=sold | winner=Mimic-Opus | winning_bid=1650
  turn 1: Mimic-Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Math-T2 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 250 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 350 (before=250, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 400 (before=350, leader_after=bidder_5)
  turn 6: Mimic-Grok RAISE to 450 (before=400, leader_after=bidder_1)
  turn 7: Math-T2 RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 600 (before=500, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 650 (before=600, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 700 (before=650, leader_after=bidder_5)
  turn 11: Mimic-Grok RAISE to 750 (before=700, leader_after=bidder_1)
  turn 12: Math-T2 RAISE to 800 (before=750, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 850 (before=800, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 900 (before=850, leader_after=bidder_4)
  turn 15: Mimic-Pro RAISE to 950 (before=900, leader_after=bidder_5)
  turn 16: Mimic-Grok RAISE to 1050 (before=950, leader_after=bidder_1)
  turn 17: Math-T2 RAISE to 1150 (before=1050, leader_after=bidder_2)
  turn 18: Mimic-Opus RAISE to 1350 (before=1150, leader_after=bidder_3)
  turn 19: Mimic-Llama PASS (before=1350, leader_after=bidder_3)
  turn 20: Mimic-Pro RAISE to 1450 (before=1350, leader_after=bidder_5)
  turn 21: Mimic-Grok RAISE to 1550 (before=1450, leader_after=bidder_1)
  turn 22: Math-T2 PASS (before=1550, leader_after=bidder_1)
  turn 23: Mimic-Opus RAISE to 1650 (before=1550, leader_after=bidder_3)
  turn 24: Mimic-Pro PASS (before=1650, leader_after=bidder_3)
  turn 25: Mimic-Grok PASS (before=1650, leader_after=bidder_3)

painting_8 | status=sold | winner=Mimic-Grok | winning_bid=2450
  turn 1: Mimic-Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Math-T2 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 250 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-Grok RAISE to 400 (before=350, leader_after=bidder_1)
  turn 7: Math-T2 RAISE to 450 (before=400, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 500 (before=450, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 550 (before=500, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 650 (before=550, leader_after=bidder_5)
  turn 11: Mimic-Grok RAISE to 700 (before=650, leader_after=bidder_1)
  turn 12: Math-T2 RAISE to 750 (before=700, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 800 (before=750, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 850 (before=800, leader_after=bidder_4)
  turn 15: Mimic-Pro RAISE to 950 (before=850, leader_after=bidder_5)
  turn 16: Mimic-Grok RAISE to 1050 (before=950, leader_after=bidder_1)
  turn 17: Math-T2 RAISE to 1150 (before=1050, leader_after=bidder_2)
  turn 18: Mimic-Opus PASS (before=1150, leader_after=bidder_2)
  turn 19: Mimic-Llama RAISE to 1250 (before=1150, leader_after=bidder_4)
  turn 20: Mimic-Pro RAISE to 1350 (before=1250, leader_after=bidder_5)
  turn 21: Mimic-Grok RAISE to 1450 (before=1350, leader_after=bidder_1)
  turn 22: Math-T2 RAISE to 1550 (before=1450, leader_after=bidder_2)
  turn 23: Mimic-Llama RAISE to 1650 (before=1550, leader_after=bidder_4)
  turn 24: Mimic-Pro RAISE to 1750 (before=1650, leader_after=bidder_5)
  turn 25: Mimic-Grok RAISE to 1850 (before=1750, leader_after=bidder_1)
  turn 26: Math-T2 PASS (before=1850, leader_after=bidder_1)
  turn 27: Mimic-Llama RAISE to 2050 (before=1850, leader_after=bidder_4)
  turn 28: Mimic-Pro RAISE to 2250 (before=2050, leader_after=bidder_5)
  turn 29: Mimic-Grok RAISE to 2450 (before=2250, leader_after=bidder_1)
  turn 30: Mimic-Llama PASS (before=2450, leader_after=bidder_1)
  turn 31: Mimic-Pro PASS (before=2450, leader_after=bidder_1)

painting_9 | status=sold | winner=Mimic-Pro | winning_bid=2450
  turn 1: Mimic-Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Math-T2 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Grok RAISE to 450 (before=300, leader_after=bidder_1)
  turn 7: Math-T2 RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 600 (before=550, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 650 (before=600, leader_after=bidder_5)
  turn 11: Mimic-Grok RAISE to 750 (before=650, leader_after=bidder_1)
  turn 12: Math-T2 RAISE to 800 (before=750, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 850 (before=800, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 900 (before=850, leader_after=bidder_4)
  turn 15: Mimic-Pro RAISE to 950 (before=900, leader_after=bidder_5)
  turn 16: Mimic-Grok RAISE to 1050 (before=950, leader_after=bidder_1)
  turn 17: Math-T2 RAISE to 1150 (before=1050, leader_after=bidder_2)
  turn 18: Mimic-Opus RAISE to 1250 (before=1150, leader_after=bidder_3)
  turn 19: Mimic-Llama RAISE to 1350 (before=1250, leader_after=bidder_4)
  turn 20: Mimic-Pro RAISE to 1450 (before=1350, leader_after=bidder_5)
  turn 21: Mimic-Grok RAISE to 1550 (before=1450, leader_after=bidder_1)
  turn 22: Math-T2 RAISE to 1650 (before=1550, leader_after=bidder_2)
  turn 23: Mimic-Opus RAISE to 1750 (before=1650, leader_after=bidder_3)
  turn 24: Mimic-Llama PASS (before=1750, leader_after=bidder_3)
  turn 25: Mimic-Pro RAISE to 1950 (before=1750, leader_after=bidder_5)
  turn 26: Mimic-Grok RAISE to 2150 (before=1950, leader_after=bidder_1)
  turn 27: Math-T2 RAISE to 2250 (before=2150, leader_after=bidder_2)
  turn 28: Mimic-Opus PASS (before=2250, leader_after=bidder_2)
  turn 29: Mimic-Pro RAISE to 2450 (before=2250, leader_after=bidder_5)
  turn 30: Mimic-Grok PASS (before=2450, leader_after=bidder_5)
  turn 31: Math-T2 PASS (before=2450, leader_after=bidder_5)

painting_10 | status=sold | winner=Mimic-Pro | winning_bid=3000
  turn 1: Mimic-Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Math-T2 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 300 (before=200, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-Grok RAISE to 400 (before=350, leader_after=bidder_1)
  turn 7: Math-T2 RAISE to 450 (before=400, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 500 (before=450, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 600 (before=500, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 650 (before=600, leader_after=bidder_5)
  turn 11: Mimic-Grok RAISE to 700 (before=650, leader_after=bidder_1)
  turn 12: Math-T2 RAISE to 750 (before=700, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 800 (before=750, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 900 (before=800, leader_after=bidder_4)
  turn 15: Mimic-Pro RAISE to 1000 (before=900, leader_after=bidder_5)
  turn 16: Mimic-Grok RAISE to 1100 (before=1000, leader_after=bidder_1)
  turn 17: Math-T2 RAISE to 1200 (before=1100, leader_after=bidder_2)
  turn 18: Mimic-Opus RAISE to 1300 (before=1200, leader_after=bidder_3)
  turn 19: Mimic-Llama RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 20: Mimic-Pro RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 21: Mimic-Grok RAISE to 1600 (before=1500, leader_after=bidder_1)
  turn 22: Math-T2 RAISE to 1700 (before=1600, leader_after=bidder_2)
  turn 23: Mimic-Opus RAISE to 1800 (before=1700, leader_after=bidder_3)
  turn 24: Mimic-Llama RAISE to 1900 (before=1800, leader_after=bidder_4)
  turn 25: Mimic-Pro RAISE to 2000 (before=1900, leader_after=bidder_5)
  turn 26: Mimic-Grok RAISE to 2200 (before=2000, leader_after=bidder_1)
  turn 27: Math-T2 RAISE to 2300 (before=2200, leader_after=bidder_2)
  turn 28: Mimic-Opus PASS (before=2300, leader_after=bidder_2)
  turn 29: Mimic-Llama RAISE to 2400 (before=2300, leader_after=bidder_4)
  turn 30: Mimic-Pro RAISE to 2600 (before=2400, leader_after=bidder_5)
  turn 31: Mimic-Grok RAISE to 2700 (before=2600, leader_after=bidder_1)
  turn 32: Math-T2 RAISE to 2800 (before=2700, leader_after=bidder_2)
  turn 33: Mimic-Llama RAISE to 2900 (before=2800, leader_after=bidder_4)
  turn 34: Mimic-Pro RAISE to 3000 (before=2900, leader_after=bidder_5)
  turn 35: Mimic-Grok PASS (before=3000, leader_after=bidder_5)
  turn 36: Math-T2 PASS (before=3000, leader_after=bidder_5)
  turn 37: Mimic-Llama PASS (before=3000, leader_after=bidder_5)

painting_11 | status=sold | winner=Math-T2 | winning_bid=4000
  turn 1: Mimic-Grok RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Math-T2 RAISE to 200 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 250 (before=200, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-Grok RAISE to 400 (before=350, leader_after=bidder_1)
  turn 7: Math-T2 RAISE to 450 (before=400, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 500 (before=450, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 550 (before=500, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 600 (before=550, leader_after=bidder_5)
  turn 11: Mimic-Grok RAISE to 650 (before=600, leader_after=bidder_1)
  turn 12: Math-T2 RAISE to 700 (before=650, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 800 (before=700, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 850 (before=800, leader_after=bidder_4)
  turn 15: Mimic-Pro RAISE to 900 (before=850, leader_after=bidder_5)
  turn 16: Mimic-Grok RAISE to 950 (before=900, leader_after=bidder_1)
  turn 17: Math-T2 RAISE to 1000 (before=950, leader_after=bidder_2)
  turn 18: Mimic-Opus RAISE to 1100 (before=1000, leader_after=bidder_3)
  turn 19: Mimic-Llama RAISE to 1300 (before=1100, leader_after=bidder_4)
  turn 20: Mimic-Pro RAISE to 1400 (before=1300, leader_after=bidder_5)
  turn 21: Mimic-Grok RAISE to 1500 (before=1400, leader_after=bidder_1)
  turn 22: Math-T2 RAISE to 1600 (before=1500, leader_after=bidder_2)
  turn 23: Mimic-Opus RAISE to 1700 (before=1600, leader_after=bidder_3)
  turn 24: Mimic-Llama RAISE to 1900 (before=1700, leader_after=bidder_4)
  turn 25: Mimic-Pro RAISE to 2000 (before=1900, leader_after=bidder_5)
  turn 26: Mimic-Grok RAISE to 2200 (before=2000, leader_after=bidder_1)
  turn 27: Math-T2 RAISE to 2300 (before=2200, leader_after=bidder_2)
  turn 28: Mimic-Opus RAISE to 2400 (before=2300, leader_after=bidder_3)
  turn 29: Mimic-Llama RAISE to 2600 (before=2400, leader_after=bidder_4)
  turn 30: Mimic-Pro RAISE to 2700 (before=2600, leader_after=bidder_5)
  turn 31: Mimic-Grok RAISE to 2800 (before=2700, leader_after=bidder_1)
  turn 32: Math-T2 RAISE to 2900 (before=2800, leader_after=bidder_2)
  turn 33: Mimic-Opus PASS (before=2900, leader_after=bidder_2)
  turn 34: Mimic-Llama RAISE to 3000 (before=2900, leader_after=bidder_4)
  turn 35: Mimic-Pro PASS (before=3000, leader_after=bidder_4)
  turn 36: Mimic-Grok PASS (before=3000, leader_after=bidder_4)
  turn 37: Math-T2 RAISE to 3250 (before=3000, leader_after=bidder_2)
  turn 38: Mimic-Llama RAISE to 3750 (before=3250, leader_after=bidder_4)
  turn 39: Math-T2 RAISE to 4000 (before=3750, leader_after=bidder_2)
  turn 40: Mimic-Llama PASS (before=4000, leader_after=bidder_2)

painting_12 | status=sold | winner=Mimic-Opus | winning_bid=5250
  turn 1: Mimic-Grok RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Math-T2 RAISE to 200 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 300 (before=200, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 400 (before=300, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 500 (before=400, leader_after=bidder_5)
  turn 6: Mimic-Grok RAISE to 550 (before=500, leader_after=bidder_1)
  turn 7: Math-T2 RAISE to 600 (before=550, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 700 (before=600, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 750 (before=700, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 800 (before=750, leader_after=bidder_5)
  turn 11: Mimic-Grok RAISE to 850 (before=800, leader_after=bidder_1)
  turn 12: Math-T2 RAISE to 900 (before=850, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 15: Mimic-Pro RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 16: Mimic-Grok RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 17: Math-T2 RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 18: Mimic-Opus RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 19: Mimic-Llama RAISE to 1500 (before=1400, leader_after=bidder_4)
  turn 20: Mimic-Pro PASS (before=1500, leader_after=bidder_4)
  turn 21: Mimic-Grok RAISE to 1600 (before=1500, leader_after=bidder_1)
  turn 22: Math-T2 RAISE to 1700 (before=1600, leader_after=bidder_2)
  turn 23: Mimic-Opus RAISE to 1800 (before=1700, leader_after=bidder_3)
  turn 24: Mimic-Llama RAISE to 2000 (before=1800, leader_after=bidder_4)
  turn 25: Mimic-Grok RAISE to 2100 (before=2000, leader_after=bidder_1)
  turn 26: Math-T2 RAISE to 2200 (before=2100, leader_after=bidder_2)
  turn 27: Mimic-Opus RAISE to 2300 (before=2200, leader_after=bidder_3)
  turn 28: Mimic-Llama RAISE to 2500 (before=2300, leader_after=bidder_4)
  turn 29: Mimic-Grok RAISE to 2700 (before=2500, leader_after=bidder_1)
  turn 30: Math-T2 RAISE to 2800 (before=2700, leader_after=bidder_2)
  turn 31: Mimic-Opus RAISE to 2900 (before=2800, leader_after=bidder_3)
  turn 32: Mimic-Llama RAISE to 3000 (before=2900, leader_after=bidder_4)
  turn 33: Mimic-Grok RAISE to 3250 (before=3000, leader_after=bidder_1)
  turn 34: Math-T2 RAISE to 3500 (before=3250, leader_after=bidder_2)
  turn 35: Mimic-Opus RAISE to 3750 (before=3500, leader_after=bidder_3)
  turn 36: Mimic-Llama RAISE to 4250 (before=3750, leader_after=bidder_4)
  turn 37: Mimic-Grok PASS (before=4250, leader_after=bidder_4)
  turn 38: Math-T2 RAISE to 4500 (before=4250, leader_after=bidder_2)
  turn 39: Mimic-Opus RAISE to 4750 (before=4500, leader_after=bidder_3)
  turn 40: Mimic-Llama RAISE to 5000 (before=4750, leader_after=bidder_4)
  turn 41: Math-T2 PASS (before=5000, leader_after=bidder_4)
  turn 42: Mimic-Opus RAISE to 5250 (before=5000, leader_after=bidder_3)
  turn 43: Mimic-Llama PASS (before=5250, leader_after=bidder_3)
