Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2629.25

painting_1 | status=sold | winner=Pro | winning_bid=1000
  turn 1: Pro RAISE to 100 (before=0, leader_after=bidder_1)
  turn 26: Pro RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 27: Opus RAISE to 1800 (before=1700, leader_after=bidder_2)
  turn 28: GPT-5.4 RAISE to 1900 (before=1800, leader_after=bidder_3)
  turn 29: Grok RAISE to 2000 (before=1900, leader_after=bidder_4)
  turn 30: Pro RAISE to 2100 (before=2000, leader_after=bidder_1)
  turn 31: Opus RAISE to 2200 (before=2100, leader_after=bidder_2)
  turn 32: GPT-5.4 RAISE to 2300 (before=2200, leader_after=bidder_3)
  turn 33: Grok RAISE to 2400 (before=2300, leader_after=bidder_4)
  turn 34: Pro PASS (before=2400, leader_after=bidder_4)
  turn 35: Opus PASS (before=2400, leader_after=bidder_4)
  turn 36: GPT-5.4 RAISE to 2500 (before=2400, leader_after=bidder_3)
  turn 37: Grok RAISE to 2600 (before=2500, leader_after=bidder_4)
  turn 38: GPT-5.4 RAISE to 2700 (before=2600, leader_after=bidder_3)
  turn 39: Grok RAISE to 2800 (before=2700, leader_after=bidder_4)
  turn 40: GPT-5.4 RAISE to 2900 (before=2800, leader_after=bidder_3)
  turn 41: Grok RAISE to 3000 (before=2900, leader_after=bidder_4)
  turn 42: GPT-5.4 RAISE to 3250 (before=3000, leader_after=bidder_3)
  turn 43: Grok RAISE to 3500 (before=3250, leader_after=bidder_4)
  turn 44: GPT-5.4 PASS (before=3500, leader_after=bidder_4)

painting_11 | status=sold | winner=GPT-5.4 | winning_bid=7151
  turn 1: Pro RAISE to 6901 (before=0, leader_after=bidder_1)
  turn 2: Opus PASS (before=6901, leader_after=bidder_1)
  turn 3: GPT-5.4 RAISE to 7151 (before=6901, leader_after=bidder_3)
  turn 4: Grok PASS (before=7151, leader_after=bidder_3)
  turn 5: Llama RAISE to 7401 (before=7151, leader_after=bidder_3)
  turn 6: Pro PASS (before=7151, leader_after=bidder_3)

painting_12 | status=sold | winner=Pro | winning_bid=7300
  turn 1: Pro RAISE to 7300 (before=0, leader_after=bidder_1)
  turn 2: Opus PASS (before=7300, leader_after=bidder_1)
  turn 3: GPT-5.4 PASS (before=7300, leader_after=bidder_1)
  turn 4: Grok PASS (before=7300, leader_after=bidder_1)
  turn 5: Llama PASS (before=7300, leader_after=bidder_1)
