Pairings per batch: 25 (5 LLMs × incl self)
Folder 'Negotiation Real LLM v1' = folder_97
  [81/200] ok batch=4    GrokvsGPT-5.4 seed=231 attempts=1 34.8s save_slot_5271 
  [82/200] ok batch=4    GrokvsGrok    seed=232 attempts=1 42.8s save_slot_5272 
  [83/200] ok batch=4    GrokvsOpus    seed=233 attempts=1 43.0s save_slot_5273 
  [84/200] ok batch=4    GrokvsPro     seed=234 attempts=1 34.8s save_slot_5274 
  [85/200] ok batch=4    GrokvsLlama   seed=235 attempts=1 34.6s save_slot_5275 
  [86/200] ok batch=4    OpusvsGPT-5.4 seed=236 attempts=1 34.7s save_slot_5276 
  [87/200] ok batch=4    OpusvsGrok    seed=237 attempts=1 30.7s save_slot_5277 
  [88/200] ok batch=4    OpusvsOpus    seed=238 attempts=1 46.8s save_slot_5278 
  [89/200] ok batch=4     ProvsGPT-5.4 seed=241 attempts=1 22.4s save_slot_5281 
  [90/200] ok batch=4    OpusvsPro     seed=239 attempts=1 46.8s save_slot_5279 
  [91/200] ok batch=4    OpusvsLlama   seed=240 attempts=1 42.8s save_slot_5280 
  [92/200] ok batch=4     ProvsOpus    seed=243 attempts=1 18.5s save_slot_5283 
  [93/200] ok batch=4     ProvsPro     seed=244 attempts=1 22.5s save_slot_5284 
  [94/200] ok batch=4     ProvsGrok    seed=242 attempts=1 30.6s save_slot_5282 
  [95/200] ok batch=4     ProvsLlama   seed=245 attempts=1 30.5s save_slot_5285 
  [96/200] ok batch=4   LlamavsGPT-5.4 seed=246 attempts=1 26.4s save_slot_5286 
  [97/200] ok batch=4   LlamavsGrok    seed=247 attempts=1 26.5s save_slot_5287 
  [98/200] ok batch=4   LlamavsOpus    seed=248 attempts=1 30.6s save_slot_5288 
  [99/200] ok batch=4   LlamavsLlama   seed=250 attempts=1 18.4s save_slot_5290 
  [100/200] ok batch=5 GPT-5.4vsGPT-5.4 seed=251 attempts=1 18.5s save_slot_5291 
  [101/200] ok batch=4   LlamavsPro     seed=249 attempts=1 26.7s save_slot_5289 
  [102/200] ok batch=5 GPT-5.4vsGrok    seed=252 attempts=1 26.5s save_slot_5292 
  [103/200] ok batch=5 GPT-5.4vsPro     seed=254 attempts=1 18.4s save_slot_5294 
  [104/200] ok batch=5 GPT-5.4vsLlama   seed=255 attempts=1 22.5s save_slot_5295 
  [105/200] ok batch=5 GPT-5.4vsOpus    seed=253 attempts=1 34.6s save_slot_5293 
  [106/200] ok batch=5    GrokvsGPT-5.4 seed=256 attempts=1 30.7s save_slot_5296 
  [107/200] ok batch=5    GrokvsPro     seed=259 attempts=1 18.4s save_slot_5299 
  [108/200] ok batch=5    GrokvsGrok    seed=257 attempts=1 38.8s save_slot_5297 
  [109/200] ok batch=5    GrokvsOpus    seed=258 attempts=1 51.1s save_slot_5298 
  [110/200] ok batch=5    GrokvsLlama   seed=260 attempts=1 34.7s save_slot_5300 
  [111/200] ok batch=5    OpusvsGPT-5.4 seed=261 attempts=1 34.7s save_slot_5301 
  [112/200] ok batch=5    OpusvsGrok    seed=262 attempts=1 34.7s save_slot_5302 
  [113/200] ok batch=5    OpusvsLlama   seed=265 attempts=1 30.6s save_slot_5305 
  [114/200] ok batch=5    OpusvsOpus    seed=263 attempts=1 42.8s save_slot_5303 
  [115/200] ok batch=5     ProvsGPT-5.4 seed=266 attempts=1 26.6s save_slot_5306 
  [116/200] ok batch=5    OpusvsPro     seed=264 attempts=1 46.9s save_slot_5304 
  [117/200] ok batch=5     ProvsOpus    seed=268 attempts=1 18.4s save_slot_5308 
  [118/200] ok batch=5     ProvsLlama   seed=270 attempts=1 22.5s save_slot_5310 
  [119/200] ok batch=5   LlamavsGPT-5.4 seed=271 attempts=1 18.4s save_slot_5311 
  [120/200] ok batch=5     ProvsGrok    seed=267 attempts=1 42.7s save_slot_5307 
  [121/200] ok batch=5     ProvsPro     seed=269 attempts=1 38.7s save_slot_5309 
  [122/200] ok batch=5   LlamavsGrok    seed=272 attempts=1 26.6s save_slot_5312 
  [123/200] ok batch=5   LlamavsLlama   seed=275 attempts=1 22.5s save_slot_5315 
  [124/200] ok batch=5   LlamavsPro     seed=274 attempts=1 30.6s save_slot_5314 
  [125/200] ok batch=5   LlamavsOpus    seed=273 attempts=1 38.7s save_slot_5313 
  [126/200] ok batch=6 GPT-5.4vsGPT-5.4 seed=276 attempts=1 26.5s save_slot_5316 
  [127/200] ok batch=6 GPT-5.4vsOpus    seed=278 attempts=1 18.4s save_slot_5318 
  [128/200] ok batch=6 GPT-5.4vsPro     seed=279 attempts=1 14.4s save_slot_5319 
  [129/200] ok batch=6 GPT-5.4vsGrok    seed=277 attempts=1 38.7s save_slot_5317 
  [130/200] ok batch=6    GrokvsGPT-5.4 seed=281 attempts=1 18.5s save_slot_5321 
  [131/200] ok batch=6 GPT-5.4vsLlama   seed=280 attempts=1 22.5s save_slot_5320 
  [132/200] ok batch=6    GrokvsPro     seed=284 attempts=1 22.6s save_slot_5324 
  [133/200] ok batch=6    GrokvsGrok    seed=282 attempts=1 42.8s save_slot_5322 
  [134/200] ok batch=6    GrokvsOpus    seed=283 attempts=1 46.8s save_slot_5323 
  [135/200] ok batch=6    GrokvsLlama   seed=285 attempts=1 38.7s save_slot_5325 
  [136/200] ok batch=6    OpusvsGPT-5.4 seed=286 attempts=1 38.8s save_slot_5326 
  [137/200] ok batch=6    OpusvsOpus    seed=288 attempts=1 30.6s save_slot_5328 
  [138/200] ok batch=6    OpusvsGrok    seed=287 attempts=1 46.9s save_slot_5327 
  [139/200] ok batch=6    OpusvsLlama   seed=290 attempts=1 26.6s save_slot_5330 
  [140/200] ok batch=6    OpusvsPro     seed=289 attempts=1 47.0s save_slot_5329 
  [141/200] ok batch=6     ProvsGrok    seed=292 attempts=1 22.6s save_slot_5332 
  [142/200] ok batch=6     ProvsOpus    seed=293 attempts=1 18.4s save_slot_5333 
  [143/200] ok batch=6     ProvsLlama   seed=295 attempts=1 18.5s save_slot_5335 
  [144/200] ok batch=6     ProvsGPT-5.4 seed=291 attempts=1 42.9s save_slot_5331 
  [145/200] ok batch=6   LlamavsGPT-5.4 seed=296 attempts=1 18.5s save_slot_5336 
  [146/200] ok batch=6     ProvsPro     seed=294 attempts=1 38.8s save_slot_5334 
  [147/200] ok batch=6   LlamavsOpus    seed=298 attempts=1 30.7s save_slot_5338 
  [148/200] ok batch=6   LlamavsGrok    seed=297 attempts=1 38.9s save_slot_5337 
  [149/200] ok batch=6   LlamavsLlama   seed=300 attempts=1 26.6s save_slot_5340 
  [150/200] ok batch=6   LlamavsPro     seed=299 attempts=1 34.8s save_slot_5339 
  [151/200] ok batch=7 GPT-5.4vsGPT-5.4 seed=301 attempts=1 18.5s save_slot_5341 
  [152/200] ok batch=7 GPT-5.4vsGrok    seed=302 attempts=1 18.5s save_slot_5342 
  [153/200] ok batch=7 GPT-5.4vsPro     seed=304 attempts=1 29.4s save_slot_5344 
  [154/200] ok batch=7 GPT-5.4vsLlama   seed=305 attempts=1 25.2s save_slot_5345 
  [155/200] ok batch=7    GrokvsGPT-5.4 seed=306 attempts=1 40.7s save_slot_5346 
  [156/200] ok batch=7 GPT-5.4vsOpus    seed=303 attempts=1 58.5s save_slot_5343 
  [157/200] ok batch=7    GrokvsGrok    seed=307 attempts=1 53.9s save_slot_5348 
  [158/200] ok batch=7    GrokvsLlama   seed=310 attempts=1 30.8s save_slot_5350 
  [159/200] ok batch=7    GrokvsPro     seed=309 attempts=1 34.9s save_slot_5349 
  [160/200] ok batch=7    GrokvsOpus    seed=308 attempts=1 62.0s save_slot_5347 
  [161/200] ok batch=7    OpusvsGPT-5.4 seed=311 attempts=1 34.7s save_slot_5351 
  [162/200] ok batch=7    OpusvsGrok    seed=312 attempts=1 46.9s save_slot_5352 
  [163/200] ok batch=7    OpusvsPro     seed=314 attempts=1 50.9s save_slot_5354 
  [164/200] ok batch=7    OpusvsOpus    seed=313 attempts=1 59.0s save_slot_5353 
  [165/200] ok batch=7    OpusvsLlama   seed=315 attempts=1 38.8s save_slot_5355 
  [166/200] ok batch=7     ProvsGPT-5.4 seed=316 attempts=1 32.2s save_slot_5356 
  [167/200] ok batch=7     ProvsOpus    seed=318 attempts=1 24.1s save_slot_5358 
  [168/200] ok batch=7     ProvsGrok    seed=317 attempts=1 39.7s save_slot_5357 
  [169/200] ok batch=7     ProvsLlama   seed=320 attempts=1 21.2s save_slot_5360 
  [170/200] ok batch=7   LlamavsGPT-5.4 seed=321 attempts=1 21.4s save_slot_5361 
  [171/200] ok batch=7     ProvsPro     seed=319 attempts=1 40.5s save_slot_5359 
  [172/200] ok batch=7   LlamavsOpus    seed=323 attempts=1 33.7s save_slot_5363 
  [173/200] ok batch=7   LlamavsGrok    seed=322 attempts=1 35.7s save_slot_5362 
  [174/200] ok batch=7   LlamavsLlama   seed=325 attempts=1 22.4s save_slot_5365 
  [175/200] ok batch=7   LlamavsPro     seed=324 attempts=1 33.7s save_slot_5364 
  [176/200] ok batch=8 GPT-5.4vsGPT-5.4 seed=326 attempts=1 14.4s save_slot_5366 
  [177/200] ok batch=8 GPT-5.4vsGrok    seed=327 attempts=1 26.6s save_slot_5367 
  [178/200] ok batch=8 GPT-5.4vsPro     seed=329 attempts=1 18.4s save_slot_5369 
  [179/200] ok batch=8 GPT-5.4vsOpus    seed=328 attempts=1 26.5s save_slot_5368 
  [180/200] ok batch=8 GPT-5.4vsLlama   seed=330 attempts=1 22.5s save_slot_5370 
  [181/200] ok batch=8    GrokvsOpus    seed=333 attempts=1 22.5s save_slot_5373 
  [182/200] ok batch=8    GrokvsPro     seed=334 attempts=1 18.5s save_slot_5374 
  [183/200] ok batch=8    GrokvsGPT-5.4 seed=331 attempts=1 30.6s save_slot_5371 
  [184/200] ok batch=8    GrokvsGrok    seed=332 attempts=1 42.8s save_slot_5372 
  [185/200] ok batch=8    OpusvsGPT-5.4 seed=336 attempts=1 26.5s save_slot_5376 
  [186/200] ok batch=8    GrokvsLlama   seed=335 attempts=1 34.7s save_slot_5375 
  [187/200] ok batch=8    OpusvsGrok    seed=337 attempts=1 38.8s save_slot_5377 
  [188/200] ok batch=8    OpusvsOpus    seed=338 attempts=1 38.9s save_slot_5378 
  [189/200] ok batch=8     ProvsGPT-5.4 seed=341 attempts=1 26.5s save_slot_5381 
  [190/200] ok batch=8    OpusvsLlama   seed=340 attempts=1 38.8s save_slot_5380 
  [191/200] ok batch=8    OpusvsPro     seed=339 attempts=1 42.9s save_slot_5379 
  [192/200] ok batch=8     ProvsGrok    seed=342 attempts=1 30.7s save_slot_5382 
  [193/200] ok batch=8     ProvsOpus    seed=343 attempts=1 18.5s save_slot_5383 
  [194/200] ok batch=8     ProvsPro     seed=344 attempts=1 18.4s save_slot_5384 
  [195/200] ok batch=8     ProvsLlama   seed=345 attempts=1 30.6s save_slot_5385 
  [196/200] ok batch=8   LlamavsGPT-5.4 seed=346 attempts=1 26.6s save_slot_5386 
  [197/200] ok batch=8   LlamavsOpus    seed=348 attempts=1 26.6s save_slot_5388 
  [198/200] ok batch=8   LlamavsGrok    seed=347 attempts=1 34.7s save_slot_5387 
  [199/200] ok batch=8   LlamavsPro     seed=349 attempts=1 30.7s save_slot_5389 
  [200/200] ok batch=8   LlamavsLlama   seed=350 attempts=1 22.6s save_slot_5390 

Done in 1515s. Successful: 200/200
