Pairings per batch: 25 (5 LLMs × incl self)
Folder 'Negotiation Real LLM v1' = folder_97
  [30/125] ok batch=2 GPT-5.4vsLlama   seed=55 attempts=1 34.9s save_slot_4995 
  [31/125] ok batch=2    GrokvsGPT-5.4 seed=56 attempts=1 47.0s save_slot_4996 
  [32/125] ok batch=2    GrokvsGrok    seed=57 attempts=1 47.3s save_slot_4997 
  [33/125] ok batch=2    GrokvsOpus    seed=58 attempts=1 51.4s save_slot_4998 
  [34/125] ok batch=2    GrokvsLlama   seed=60 attempts=1 43.3s save_slot_5000 
  [35/125] ok batch=2    GrokvsPro     seed=59 attempts=1 51.4s save_slot_4999 
  [36/125] ok batch=2    OpusvsGPT-5.4 seed=61 attempts=1 51.3s save_slot_5001 
  [37/125] ok batch=2    OpusvsOpus    seed=63 attempts=1 47.4s save_slot_5003 
  [38/125] ok batch=2    OpusvsGrok    seed=62 attempts=1 55.5s save_slot_5002 
  [39/125] ok batch=2    OpusvsLlama   seed=65 attempts=1 34.9s save_slot_5005 
  [40/125] ok batch=2    OpusvsPro     seed=64 attempts=1 47.2s save_slot_5004 
  [41/125] ok batch=2     ProvsGPT-5.4 seed=66 attempts=1 34.9s save_slot_5006 
  [42/125] ok batch=2     ProvsOpus    seed=68 attempts=1 26.7s save_slot_5008 
  [43/125] ok batch=2     ProvsGrok    seed=67 attempts=1 51.4s save_slot_5007 
  [44/125] ok batch=2     ProvsPro     seed=69 attempts=1 55.5s save_slot_5009 
  [45/125] ok batch=2     ProvsLlama   seed=70 attempts=1 35.0s save_slot_5010 
  [46/125] ok batch=2   LlamavsGPT-5.4 seed=71 attempts=1 30.9s save_slot_5011 
  [47/125] ok batch=2   LlamavsGrok    seed=72 attempts=1 43.1s save_slot_5012 
  [48/125] ok batch=2   LlamavsOpus    seed=73 attempts=1 43.2s save_slot_5013 
  [49/125] ok batch=2   LlamavsPro     seed=74 attempts=1 43.2s save_slot_5014 
  [50/125] ok batch=3 GPT-5.4vsGPT-5.4 seed=76 attempts=1 22.7s save_slot_5016 
  [51/125] ok batch=2   LlamavsLlama   seed=75 attempts=1 31.0s save_slot_5015 
  [52/125] ok batch=3 GPT-5.4vsGrok    seed=77 attempts=1 22.7s save_slot_5017 
  [53/125] ok batch=3 GPT-5.4vsPro     seed=79 attempts=1 22.6s save_slot_5019 
  [54/125] ok batch=3 GPT-5.4vsOpus    seed=78 attempts=1 47.1s save_slot_5018 
  [55/125] ok batch=3 GPT-5.4vsLlama   seed=80 attempts=1 30.8s save_slot_5020 
  [56/125] ok batch=3    GrokvsGPT-5.4 seed=81 attempts=1 38.9s save_slot_5021 
  [57/125] ok batch=3    GrokvsGrok    seed=82 attempts=1 39.1s save_slot_5022 
  [58/125] ok batch=3    GrokvsOpus    seed=83 attempts=1 59.5s save_slot_5023 
  [59/125] ok batch=3    GrokvsPro     seed=84 attempts=1 51.5s save_slot_5024 
  [60/125] ok batch=3    GrokvsLlama   seed=85 attempts=1 43.2s save_slot_5025 
  [61/125] ok batch=3    OpusvsGPT-5.4 seed=86 attempts=1 43.2s save_slot_5026 
  [62/125] ok batch=3    OpusvsGrok    seed=87 attempts=1 63.3s save_slot_5027 
  [63/125] ok batch=3    OpusvsOpus    seed=88 attempts=1 59.5s save_slot_5028 
  [64/125] ok batch=3    OpusvsPro     seed=89 attempts=1 55.4s save_slot_5029 
  [65/125] ok batch=3    OpusvsLlama   seed=90 attempts=1 47.3s save_slot_5030 
  [66/125] ok batch=3     ProvsGPT-5.4 seed=91 attempts=1 43.2s save_slot_5031 
  [67/125] ok batch=3     ProvsGrok    seed=92 attempts=1 26.8s save_slot_5032 
  [68/125] ok batch=3     ProvsOpus    seed=93 attempts=1 26.8s save_slot_5033 
  [69/125] ok batch=3     ProvsLlama   seed=95 attempts=1 30.9s save_slot_5035 
  [70/125] ok batch=3     ProvsPro     seed=94 attempts=1 47.3s save_slot_5034 
  [71/125] ok batch=3   LlamavsGPT-5.4 seed=96 attempts=1 30.8s save_slot_5036 
  [72/125] ok batch=3   LlamavsGrok    seed=97 attempts=1 39.2s save_slot_5037 
  [73/125] ok batch=3   LlamavsPro     seed=99 attempts=1 35.0s save_slot_5039 
  [74/125] ok batch=3   LlamavsOpus    seed=98 attempts=1 55.5s save_slot_5038 
  [75/125] ok batch=3   LlamavsLlama   seed=100 attempts=1 30.8s save_slot_5040 
  [76/125] ok batch=4 GPT-5.4vsGPT-5.4 seed=101 attempts=1 22.7s save_slot_5041 
  [77/125] ok batch=4 GPT-5.4vsGrok    seed=102 attempts=1 26.7s save_slot_5042 
  [78/125] ok batch=4 GPT-5.4vsPro     seed=104 attempts=1 34.9s save_slot_5044 
  [79/125] ok batch=4 GPT-5.4vsOpus    seed=103 attempts=1 43.2s save_slot_5043 
  [80/125] ok batch=4 GPT-5.4vsLlama   seed=105 attempts=1 34.9s save_slot_5045 
  [81/125] ok batch=4    GrokvsGPT-5.4 seed=106 attempts=1 47.2s save_slot_5046 
  [82/125] ok batch=4    GrokvsGrok    seed=107 attempts=1 51.4s save_slot_5047 
  [83/125] ok batch=4    GrokvsPro     seed=109 attempts=1 26.7s save_slot_5049 
  [84/125] ok batch=4    GrokvsOpus    seed=108 attempts=1 55.4s save_slot_5048 
  [85/125] ok batch=4    GrokvsLlama   seed=110 attempts=1 47.3s save_slot_5050 
  [86/125] ok batch=4    OpusvsGPT-5.4 seed=111 attempts=1 35.0s save_slot_5051 
  [87/125] ok batch=4    OpusvsGrok    seed=112 attempts=1 51.4s save_slot_5052 
  [88/125] ok batch=4    OpusvsOpus    seed=113 attempts=1 51.3s save_slot_5053 
  [89/125] ok batch=4    OpusvsPro     seed=114 attempts=1 55.5s save_slot_5054 
  [90/125] ok batch=4    OpusvsLlama   seed=115 attempts=1 43.2s save_slot_5055 
  [91/125] ok batch=4     ProvsGPT-5.4 seed=116 attempts=1 35.0s save_slot_5056 
  [92/125] ok batch=4     ProvsGrok    seed=117 attempts=1 34.9s save_slot_5057 
  [93/125] ok batch=4     ProvsOpus    seed=118 attempts=1 51.4s save_slot_5058 
  [94/125] ok batch=4     ProvsLlama   seed=120 attempts=1 39.1s save_slot_5060 
  [95/125] ok batch=4     ProvsPro     seed=119 attempts=1 55.4s save_slot_5059 
  [96/125] ok batch=4   LlamavsGPT-5.4 seed=121 attempts=1 35.0s save_slot_5061 
  [97/125] ok batch=4   LlamavsGrok    seed=122 attempts=1 43.2s save_slot_5062 
  [98/125] ok batch=4   LlamavsPro     seed=124 attempts=1 35.0s save_slot_5064 
  [99/125] ok batch=4   LlamavsOpus    seed=123 attempts=1 51.3s save_slot_5063 
  [100/125] ok batch=4   LlamavsLlama   seed=125 attempts=1 39.2s save_slot_5065 
  [101/125] ok batch=5 GPT-5.4vsGrok    seed=127 attempts=1 30.8s save_slot_5067 
  [102/125] ok batch=5 GPT-5.4vsGPT-5.4 seed=126 attempts=1 43.2s save_slot_5066 
  [103/125] ok batch=5 GPT-5.4vsOpus    seed=128 attempts=1 26.9s save_slot_5068 
  [104/125] ok batch=5 GPT-5.4vsPro     seed=129 attempts=1 26.7s save_slot_5069 
  [105/125] ok batch=5 GPT-5.4vsLlama   seed=130 attempts=1 22.8s save_slot_5070 
  [106/125] ok batch=5    GrokvsGPT-5.4 seed=131 attempts=1 31.0s save_slot_5071 
  [107/125] ok batch=5    GrokvsGrok    seed=132 attempts=1 43.2s save_slot_5072 
  [108/125] ok batch=5    GrokvsOpus    seed=133 attempts=1 39.1s save_slot_5073 
  [109/125] ok batch=5    GrokvsPro     seed=134 attempts=1 39.0s save_slot_5074 
  [110/125] ok batch=5    GrokvsLlama   seed=135 attempts=1 34.9s save_slot_5075 
  [111/125] ok batch=5    OpusvsGPT-5.4 seed=136 attempts=1 43.1s save_slot_5076 
  [112/125] ok batch=5    OpusvsGrok    seed=137 attempts=1 51.4s save_slot_5077 
  [113/125] ok batch=5    OpusvsPro     seed=139 attempts=1 35.0s save_slot_5079 
  [114/125] ok batch=5    OpusvsOpus    seed=138 attempts=1 47.2s save_slot_5078 
  [115/125] ok batch=5     ProvsGPT-5.4 seed=141 attempts=1 43.2s save_slot_5081 
  [116/125] ok batch=5     ProvsGrok    seed=142 attempts=1 43.2s save_slot_5082 
  [117/125] ok batch=5    OpusvsLlama   seed=140 attempts=1 59.7s save_slot_5080 
  [118/125] ok batch=5     ProvsLlama   seed=145 attempts=1 26.7s save_slot_5085 
  [119/125] ok batch=5     ProvsPro     seed=144 attempts=1 55.4s save_slot_5084 
  [120/125] ok batch=5     ProvsOpus    seed=143 attempts=1 59.5s save_slot_5083 
  [121/125] ok batch=5   LlamavsGPT-5.4 seed=146 attempts=1 35.1s save_slot_5086 
  [122/125] ok batch=5   LlamavsGrok    seed=147 attempts=1 39.0s save_slot_5087 
  [123/125] ok batch=5   LlamavsOpus    seed=148 attempts=1 47.3s save_slot_5088 
  [124/125] ok batch=5   LlamavsPro     seed=149 attempts=1 35.0s save_slot_5089 
  [125/125] ok batch=5   LlamavsLlama   seed=150 attempts=1 30.8s save_slot_5090 

Done in 1711s. Successful: 125/125
