Pairings per batch: 25 (5 LLMs × incl self)
Folder 'Negotiation v4 Symmetric' = folder_101
Total episodes: 475 (19 batches × 25 pairings)
  [94/475] ok batch=4   LlamavsGPT-5.4 seed=51095 attempts=1 18.4s save_slot_5531 
  [95/475] ok batch=4     ProvsPro     seed=51093 attempts=1 30.5s save_slot_5529 
  [96/475] ok batch=4     ProvsOpus    seed=51092 attempts=1 32.4s save_slot_5528 
  [97/475] ok batch=5 GPT-5.4vsGrok    seed=51101 attempts=1 6.2s save_slot_5537 
  [98/475] ok batch=4   LlamavsPro     seed=51098 attempts=1 24.6s save_slot_5534 
  [99/475] ok batch=4   LlamavsLlama   seed=51099 attempts=1 20.4s save_slot_5535 
  [100/475] ok batch=5 GPT-5.4vsGPT-5.4 seed=51100 attempts=1 22.5s save_slot_5536 
  [101/475] ok batch=4   LlamavsGrok    seed=51096 attempts=1 42.5s save_slot_5532 
  [102/475] ok batch=5 GPT-5.4vsPro     seed=51103 attempts=1 12.2s save_slot_5539 
  [103/475] ok batch=4   LlamavsOpus    seed=51097 attempts=1 38.5s save_slot_5533 
  [104/475] ok batch=5 GPT-5.4vsOpus    seed=51102 attempts=1 22.6s save_slot_5538 
  [105/475] ok batch=5 GPT-5.4vsLlama   seed=51104 attempts=1 18.4s save_slot_5540 
  [106/475] ok batch=5    GrokvsPro     seed=51108 attempts=1 8.3s save_slot_5544 
  [107/475] ok batch=5    GrokvsGrok    seed=51106 attempts=1 18.3s save_slot_5542 
  [108/475] ok batch=5    OpusvsGrok    seed=51111 attempts=1 6.2s save_slot_5547 
  [109/475] ok batch=5    GrokvsLlama   seed=51109 attempts=1 14.5s save_slot_5545 
  [110/475] ok batch=5    GrokvsGPT-5.4 seed=51105 attempts=1 34.6s save_slot_5541 
  [111/475] ok batch=5    OpusvsGPT-5.4 seed=51110 attempts=1 22.4s save_slot_5546 
  [112/475] ok batch=5    GrokvsOpus    seed=51107 attempts=1 42.6s save_slot_5543 
  [113/475] ok batch=5     ProvsGPT-5.4 seed=51115 attempts=1 22.5s save_slot_5551 
  [114/475] ok batch=5     ProvsOpus    seed=51117 attempts=1 10.1s save_slot_5553 
  [115/475] ok batch=5    OpusvsLlama   seed=51114 attempts=1 38.6s save_slot_5550 
  [116/475] ok batch=5    OpusvsPro     seed=51113 attempts=1 42.4s save_slot_5549 
  [117/475] ok batch=5    OpusvsOpus    seed=51112 attempts=1 44.6s save_slot_5548 
  [118/475] ok batch=5     ProvsGrok    seed=51116 attempts=1 32.5s save_slot_5552 
  [119/475] ok batch=5   LlamavsGPT-5.4 seed=51120 attempts=1 10.3s save_slot_5556 
  [120/475] ok batch=5     ProvsLlama   seed=51119 attempts=1 16.3s save_slot_5555 
  [121/475] ok batch=5     ProvsPro     seed=51118 attempts=1 22.4s save_slot_5554 
  [122/475] ok batch=5   LlamavsLlama   seed=51124 attempts=1 18.4s save_slot_5560 
  [123/475] ok batch=5   LlamavsOpus    seed=51122 attempts=1 26.4s save_slot_5558 
  [124/475] ok batch=5   LlamavsPro     seed=51123 attempts=1 24.4s save_slot_5559 
  [125/475] ok batch=6 GPT-5.4vsGPT-5.4 seed=51125 attempts=1 20.4s save_slot_5561 
  [126/475] ok batch=5   LlamavsGrok    seed=51121 attempts=1 32.6s save_slot_5557 
  [127/475] ok batch=6 GPT-5.4vsGrok    seed=51126 attempts=1 30.6s save_slot_5562 
  [128/475] ok batch=6 GPT-5.4vsLlama   seed=51129 attempts=1 18.4s save_slot_5565 
  [129/475] ok batch=6 GPT-5.4vsOpus    seed=51127 attempts=1 22.4s save_slot_5563 
  [130/475] ok batch=6 GPT-5.4vsPro     seed=51128 attempts=1 26.5s save_slot_5564 
  [131/475] ok batch=6    GrokvsOpus    seed=51132 attempts=1 18.4s save_slot_5568 
  [132/475] ok batch=6    OpusvsGrok    seed=51136 attempts=1 6.2s save_slot_5572 
  [133/475] ok batch=6    GrokvsGrok    seed=51131 attempts=1 38.6s save_slot_5567 
  [134/475] ok batch=6    OpusvsGPT-5.4 seed=51135 attempts=1 18.3s save_slot_5571 
  [135/475] ok batch=6    GrokvsLlama   seed=51134 attempts=1 30.4s save_slot_5570 
  [136/475] ok batch=6    GrokvsPro     seed=51133 attempts=1 34.6s save_slot_5569 
  [137/475] ok batch=6    OpusvsPro     seed=51138 attempts=1 18.3s save_slot_5574 
  [138/475] ok batch=6     ProvsGPT-5.4 seed=51140 attempts=1 18.4s save_slot_5576 
  [139/475] ok batch=6    OpusvsLlama   seed=51139 attempts=1 28.4s save_slot_5575 
  [140/475] ok batch=6     ProvsPro     seed=51143 attempts=1 10.3s save_slot_5579 
  [141/475] ok batch=6    GrokvsGPT-5.4 seed=51130 attempts=1 78.9s save_slot_5566 
  [142/475] ok batch=6     ProvsGrok    seed=51141 attempts=1 38.6s save_slot_5577 
  [143/475] ok batch=6    OpusvsOpus    seed=51137 attempts=1 50.7s save_slot_5573 
  [144/475] ok batch=6   LlamavsGPT-5.4 seed=51145 attempts=1 18.4s save_slot_5581 
  [145/475] ok batch=6     ProvsLlama   seed=51144 attempts=1 24.4s save_slot_5580 
  [146/475] ok batch=6     ProvsOpus    seed=51142 attempts=1 36.6s save_slot_5578 
  [147/475] ok batch=6   LlamavsGrok    seed=51146 attempts=1 26.4s save_slot_5582 
  [148/475] ok batch=7 GPT-5.4vsGPT-5.4 seed=51150 attempts=1 18.4s save_slot_5586 
  [149/475] ok batch=7 GPT-5.4vsGrok    seed=51151 attempts=1 20.3s save_slot_5587 
  [150/475] ok batch=6   LlamavsPro     seed=51148 attempts=1 30.5s save_slot_5584 
  [151/475] ok batch=6   LlamavsLlama   seed=51149 attempts=1 26.4s save_slot_5585 
  [152/475] ok batch=6   LlamavsOpus    seed=51147 attempts=1 36.5s save_slot_5583 
  [153/475] ok batch=7 GPT-5.4vsLlama   seed=51154 attempts=1 18.4s save_slot_5590 
  [154/475] ok batch=7 GPT-5.4vsPro     seed=51153 attempts=1 22.5s save_slot_5589 
  [155/475] ok batch=7 GPT-5.4vsOpus    seed=51152 attempts=1 32.6s save_slot_5588 
  [156/475] ok batch=7    GrokvsGrok    seed=51156 attempts=1 26.4s save_slot_5592 
  [157/475] ok batch=7    GrokvsPro     seed=51158 attempts=1 14.2s save_slot_5594 
  [158/475] ok batch=7    GrokvsGPT-5.4 seed=51155 attempts=1 30.4s save_slot_5591 
  [159/475] ok batch=7    GrokvsOpus    seed=51157 attempts=1 30.5s save_slot_5593 
  [160/475] ok batch=7    GrokvsLlama   seed=51159 attempts=1 32.6s save_slot_5595 
  [161/475] ok batch=7    OpusvsGPT-5.4 seed=51160 attempts=1 36.5s save_slot_5596 
  [162/475] ok batch=7    OpusvsPro     seed=51163 attempts=1 30.4s save_slot_5599 
  [163/475] ok batch=7    OpusvsGrok    seed=51161 attempts=1 36.5s save_slot_5597 
  [164/475] ok batch=7     ProvsGPT-5.4 seed=51165 attempts=1 20.4s save_slot_5601 
  [165/475] ok batch=7    OpusvsOpus    seed=51162 attempts=1 46.7s save_slot_5598 
  [166/475] ok batch=7    OpusvsLlama   seed=51164 attempts=1 38.5s save_slot_5600 
  [167/475] ok batch=7     ProvsGrok    seed=51166 attempts=1 24.3s save_slot_5602 
  [168/475] ok batch=7     ProvsPro     seed=51168 attempts=1 26.4s save_slot_5604 
  [169/475] ok batch=7     ProvsOpus    seed=51167 attempts=1 30.3s save_slot_5603 
  [170/475] ok batch=7   LlamavsGrok    seed=51171 attempts=1 20.4s save_slot_5607 
  [171/475] ok batch=7   LlamavsGPT-5.4 seed=51170 attempts=1 22.4s save_slot_5606 
  [172/475] ok batch=7     ProvsLlama   seed=51169 attempts=1 28.5s save_slot_5605 
  [173/475] ok batch=7   LlamavsOpus    seed=51172 attempts=1 30.5s save_slot_5608 
  [174/475] ok batch=8 GPT-5.4vsGPT-5.4 seed=51175 attempts=1 16.4s save_slot_5611 
  [175/475] ok batch=7   LlamavsLlama   seed=51174 attempts=1 24.4s save_slot_5610 
  [176/475] ok batch=7   LlamavsPro     seed=51173 attempts=1 26.5s save_slot_5609 
  [177/475] ok batch=8 GPT-5.4vsGrok    seed=51176 attempts=1 22.6s save_slot_5612 
  [178/475] ok batch=8    GrokvsGrok    seed=51181 attempts=1 6.2s save_slot_5617 
  [179/475] ok batch=8 GPT-5.4vsOpus    seed=51177 attempts=1 26.5s save_slot_5613 
  [180/475] ok batch=8    GrokvsPro     seed=51183 attempts=1 12.3s save_slot_5619 
  [181/475] ok batch=8 GPT-5.4vsLlama   seed=51179 attempts=1 24.5s save_slot_5615 
  [182/475] ok batch=8 GPT-5.4vsPro     seed=51178 attempts=1 32.5s save_slot_5614 
  [183/475] ok batch=8    GrokvsGPT-5.4 seed=51180 attempts=1 28.5s save_slot_5616 
  [184/475] ok batch=8    GrokvsOpus    seed=51182 attempts=1 30.5s save_slot_5618 
  [185/475] ok batch=8    OpusvsGrok    seed=51186 attempts=1 20.4s save_slot_5622 
  [186/475] ok batch=8    OpusvsGPT-5.4 seed=51185 attempts=1 28.5s save_slot_5621 
  [187/475] ok batch=8     ProvsGrok    seed=51191 attempts=1 6.2s save_slot_5627 
  [188/475] ok batch=8    OpusvsPro     seed=51188 attempts=1 36.6s save_slot_5624 
  [189/475] ok batch=8    OpusvsOpus    seed=51187 attempts=1 40.6s save_slot_5623 
  [190/475] ok batch=8     ProvsGPT-5.4 seed=51190 attempts=1 28.7s save_slot_5626 
  [191/475] ok batch=8    OpusvsLlama   seed=51189 attempts=1 38.6s save_slot_5625 
  [192/475] ok batch=8     ProvsLlama   seed=51194 attempts=1 18.4s save_slot_5630 
  [193/475] ok batch=8     ProvsOpus    seed=51192 attempts=1 32.5s save_slot_5628 
  [194/475] ok batch=8   LlamavsGPT-5.4 seed=51195 attempts=1 20.4s save_slot_5631 
  [195/475] ok batch=8     ProvsPro     seed=51193 attempts=1 36.6s save_slot_5629 
  [196/475] ok batch=8   LlamavsGrok    seed=51196 attempts=1 30.5s save_slot_5632 
  [197/475] ok batch=8   LlamavsLlama   seed=51199 attempts=1 20.4s save_slot_5635 
  [198/475] ok batch=8   LlamavsPro     seed=51198 attempts=1 24.4s save_slot_5634 
  [199/475] ok batch=9 GPT-5.4vsGrok    seed=51201 attempts=1 10.3s save_slot_5637 
  [200/475] ok batch=9 GPT-5.4vsGPT-5.4 seed=51200 attempts=1 16.4s save_slot_5636 
  [201/475] ok batch=9 GPT-5.4vsLlama   seed=51204 attempts=1 12.3s save_slot_5640 
  [202/475] ok batch=8   LlamavsOpus    seed=51197 attempts=1 42.7s save_slot_5633 
  [203/475] ok batch=9 GPT-5.4vsPro     seed=51203 attempts=1 24.5s save_slot_5639 
  [204/475] ok batch=9 GPT-5.4vsOpus    seed=51202 attempts=1 36.6s save_slot_5638 
  [205/475] ok batch=9    GrokvsGPT-5.4 seed=51205 attempts=1 28.6s save_slot_5641 
  [206/475] ok batch=9    GrokvsOpus    seed=51207 attempts=1 18.4s save_slot_5643 
  [207/475] ok batch=9    GrokvsPro     seed=51208 attempts=1 12.3s save_slot_5644 
  [208/475] ok batch=9    GrokvsGrok    seed=51206 attempts=1 28.4s save_slot_5642 
  [209/475] ok batch=8    GrokvsLlama   seed=51184 attempts=1 153.5s save_slot_5620 
  [210/475] ok batch=9    OpusvsPro     seed=51213 attempts=1 12.2s save_slot_5649 
  [211/475] ok batch=9    OpusvsGPT-5.4 seed=51210 attempts=1 24.5s save_slot_5646 
  [212/475] ok batch=9     ProvsGrok    seed=51216 attempts=1 6.2s save_slot_5652 
  [213/475] ok batch=9    GrokvsLlama   seed=51209 attempts=1 32.6s save_slot_5645 
  [214/475] ok batch=9     ProvsGPT-5.4 seed=51215 attempts=1 22.5s save_slot_5651 
  [215/475] ok batch=9    OpusvsGrok    seed=51211 attempts=1 44.8s save_slot_5647 
  [216/475] ok batch=9    OpusvsLlama   seed=51214 attempts=1 34.7s save_slot_5650 
  [217/475] ok batch=9    OpusvsOpus    seed=51212 attempts=1 50.7s save_slot_5648 
  [218/475] ok batch=9   LlamavsGPT-5.4 seed=51220 attempts=1 16.4s save_slot_5656 
  [219/475] ok batch=9     ProvsPro     seed=51218 attempts=1 30.5s save_slot_5654 
  [220/475] ok batch=9     ProvsLlama   seed=51219 attempts=1 24.4s save_slot_5655 
  [221/475] ok batch=9     ProvsOpus    seed=51217 attempts=1 38.6s save_slot_5653 
  [222/475] ok batch=9   LlamavsGrok    seed=51221 attempts=1 24.4s save_slot_5657 
  [223/475] ok batch=9   LlamavsLlama   seed=51224 attempts=1 22.4s save_slot_5660 
  [224/475] ok batch=9   LlamavsPro     seed=51223 attempts=1 24.5s save_slot_5659 
  [225/475] ok batch=10 GPT-5.4vsGPT-5.4 seed=51225 attempts=1 20.4s save_slot_5661 
  [226/475] ok batch=9   LlamavsOpus    seed=51222 attempts=1 40.6s save_slot_5658 
  [227/475] ok batch=10 GPT-5.4vsPro     seed=51228 attempts=1 10.3s save_slot_5664 
  [228/475] ok batch=10 GPT-5.4vsGrok    seed=51226 attempts=1 28.4s save_slot_5662 
  [229/475] ok batch=10 GPT-5.4vsOpus    seed=51227 attempts=1 34.7s save_slot_5663 
  [230/475] ok batch=10 GPT-5.4vsLlama   seed=51229 attempts=1 22.4s save_slot_5665 
  [231/475] ok batch=10    GrokvsPro     seed=51233 attempts=1 14.3s save_slot_5669 
  [232/475] ok batch=10    GrokvsGPT-5.4 seed=51230 attempts=1 34.5s save_slot_5666 
  [233/475] ok batch=10    GrokvsGrok    seed=51231 attempts=1 42.6s save_slot_5667 
  [234/475] ok batch=10    OpusvsGPT-5.4 seed=51235 attempts=1 28.5s save_slot_5671 
  [235/475] ok batch=10    GrokvsLlama   seed=51234 attempts=1 32.6s save_slot_5670 
  [236/475] ok batch=10    GrokvsOpus    seed=51232 attempts=1 52.7s save_slot_5668 
  [237/475] ok batch=10    OpusvsGrok    seed=51236 attempts=1 42.5s save_slot_5672 
  [238/475] ok batch=10    OpusvsOpus    seed=51237 attempts=1 34.5s save_slot_5673 
  [239/475] ok batch=10     ProvsGPT-5.4 seed=51240 attempts=1 20.5s save_slot_5676 
  [240/475] ok batch=10     ProvsPro     seed=51243 attempts=1 10.2s save_slot_5679 
  [241/475] ok batch=10    OpusvsLlama   seed=51239 attempts=1 36.6s save_slot_5675 
  [242/475] ok batch=10    OpusvsPro     seed=51238 attempts=1 44.6s save_slot_5674 
  [243/475] ok batch=10   LlamavsGPT-5.4 seed=51245 attempts=1 14.4s save_slot_5681 
  [244/475] ok batch=10     ProvsGrok    seed=51241 attempts=1 32.5s save_slot_5677 
  [245/475] ok batch=10     ProvsLlama   seed=51244 attempts=1 28.4s save_slot_5680 
  [246/475] ok batch=10     ProvsOpus    seed=51242 attempts=1 36.7s save_slot_5678 
  [247/475] ok batch=11 GPT-5.4vsGPT-5.4 seed=51250 attempts=1 8.3s save_slot_5686 
  [248/475] ok batch=10   LlamavsPro     seed=51248 attempts=1 22.4s save_slot_5684 
  [249/475] ok batch=10   LlamavsGrok    seed=51246 attempts=1 34.5s save_slot_5682 
  [250/475] ok batch=10   LlamavsOpus    seed=51247 attempts=1 32.6s save_slot_5683 
  [251/475] ok batch=10   LlamavsLlama   seed=51249 attempts=1 32.6s save_slot_5685 
  [252/475] ok batch=11 GPT-5.4vsGrok    seed=51251 attempts=1 30.5s save_slot_5687 
  [253/475] ok batch=11 GPT-5.4vsOpus    seed=51252 attempts=1 26.5s save_slot_5688 
  [254/475] ok batch=11 GPT-5.4vsLlama   seed=51254 attempts=1 18.5s save_slot_5690 
  [255/475] ok batch=11 GPT-5.4vsPro     seed=51253 attempts=1 26.4s save_slot_5689 
  [256/475] ok batch=11    GrokvsGPT-5.4 seed=51255 attempts=1 32.6s save_slot_5691 
  [257/475] ok batch=11    GrokvsGrok    seed=51256 attempts=1 42.7s save_slot_5692 
  [258/475] ok batch=11    GrokvsLlama   seed=51259 attempts=1 34.6s save_slot_5695 
  [259/475] ok batch=11    OpusvsGPT-5.4 seed=51260 attempts=1 36.8s save_slot_5696 
  [260/475] ok batch=11    GrokvsPro     seed=51258 attempts=1 42.6s save_slot_5694 
  [261/475] ok batch=11    GrokvsOpus    seed=51257 attempts=1 50.8s save_slot_5693 
  [262/475] ok batch=11     ProvsGPT-5.4 seed=51265 attempts=1 24.5s save_slot_5701 
  [263/475] ok batch=11    OpusvsOpus    seed=51262 attempts=1 38.7s save_slot_5698 
  [264/475] ok batch=11    OpusvsPro     seed=51263 attempts=1 34.5s save_slot_5699 
  [265/475] ok batch=11    OpusvsGrok    seed=51261 attempts=1 52.8s save_slot_5697 
  [266/475] ok batch=11    OpusvsLlama   seed=51264 attempts=1 38.5s save_slot_5700 
  [267/475] ok batch=11     ProvsGrok    seed=51266 attempts=1 32.6s save_slot_5702 
  [268/475] ok batch=11     ProvsLlama   seed=51269 attempts=1 22.5s save_slot_5705 
  [269/475] ok batch=11   LlamavsGPT-5.4 seed=51270 attempts=1 22.5s save_slot_5706 
  [270/475] ok batch=11     ProvsPro     seed=51268 attempts=1 28.5s save_slot_5704 
  [271/475] ok batch=11     ProvsOpus    seed=51267 attempts=1 32.5s save_slot_5703 
  [272/475] ok batch=11   LlamavsOpus    seed=51272 attempts=1 26.6s save_slot_5708 
  [273/475] ok batch=11   LlamavsGrok    seed=51271 attempts=1 32.5s save_slot_5707 
  [274/475] ok batch=11   LlamavsLlama   seed=51274 attempts=1 18.4s save_slot_5710 
  [275/475] ok batch=11   LlamavsPro     seed=51273 attempts=1 20.4s save_slot_5709 
  [276/475] ok batch=12 GPT-5.4vsGPT-5.4 seed=51275 attempts=1 16.4s save_slot_5711 
  [277/475] ok batch=12 GPT-5.4vsOpus    seed=51277 attempts=1 16.4s save_slot_5713 
  [278/475] ok batch=12 GPT-5.4vsLlama   seed=51279 attempts=1 20.5s save_slot_5715 
  [279/475] ok batch=12 GPT-5.4vsGrok    seed=51276 attempts=1 36.4s save_slot_5712 
  [280/475] ok batch=12 GPT-5.4vsPro     seed=51278 attempts=1 24.5s save_slot_5714 
  [281/475] ok batch=12    GrokvsGPT-5.4 seed=51280 attempts=1 38.6s save_slot_5716 
  [282/475] ok batch=12    GrokvsPro     seed=51283 attempts=1 24.4s save_slot_5719 
  [283/475] ok batch=12    GrokvsLlama   seed=51284 attempts=1 24.4s save_slot_5720 
  [284/475] ok batch=12    OpusvsGPT-5.4 seed=51285 attempts=1 28.4s save_slot_5721 
  [285/475] ok batch=12    GrokvsGrok    seed=51281 attempts=1 52.7s save_slot_5717 
  [286/475] ok batch=12    OpusvsPro     seed=51288 attempts=1 18.4s save_slot_5724 
  [287/475] ok batch=12    GrokvsOpus    seed=51282 attempts=1 57.0s save_slot_5718 
