Pairings per batch: 25 (5 LLMs × incl self)
Folder 'Negotiation v5 RandomOpener' = folder_106
Total episodes: 475 (19 batches × 25 pairings)
  [82/475] ok batch=4    GrokvsGrok    seed=81081 attempts=1 44.6s save_slot_6112 
  [83/475] ok batch=4    GrokvsLlama   seed=81084 attempts=1 34.5s save_slot_6115 
  [84/475] ok batch=4    GrokvsPro     seed=81083 attempts=1 36.6s save_slot_6114 
  [85/475] ok batch=4    OpusvsGPT-5.4 seed=81085 attempts=1 32.5s save_slot_6116 
  [86/475] ok batch=4    GrokvsOpus    seed=81082 attempts=1 46.6s save_slot_6113 
  [87/475] ok batch=4    OpusvsGrok    seed=81086 attempts=1 44.7s save_slot_6117 
  [88/475] ok batch=4     ProvsGPT-5.4 seed=81090 attempts=1 22.5s save_slot_6121 
  [89/475] ok batch=4    OpusvsPro     seed=81088 attempts=1 32.6s save_slot_6119 
  [90/475] ok batch=4    OpusvsLlama   seed=81089 attempts=1 32.5s save_slot_6120 
  [91/475] ok batch=4    OpusvsOpus    seed=81087 attempts=1 46.8s save_slot_6118 
  [92/475] ok batch=4     ProvsGrok    seed=81091 attempts=1 32.6s save_slot_6122 
  [93/475] ok batch=4     ProvsLlama   seed=81094 attempts=1 20.4s save_slot_6125 
  [94/475] ok batch=4   LlamavsGPT-5.4 seed=81095 attempts=1 20.4s save_slot_6126 
  [95/475] ok batch=4     ProvsPro     seed=81093 attempts=1 30.5s save_slot_6124 
  [96/475] ok batch=4     ProvsOpus    seed=81092 attempts=1 38.7s save_slot_6123 
  [97/475] ok batch=5 GPT-5.4vsGPT-5.4 seed=81100 attempts=1 10.3s save_slot_6131 
  [98/475] ok batch=4   LlamavsGrok    seed=81096 attempts=1 32.6s save_slot_6127 
  [99/475] ok batch=4   LlamavsOpus    seed=81097 attempts=1 34.6s save_slot_6128 
  [100/475] ok batch=4   LlamavsLlama   seed=81099 attempts=1 22.4s save_slot_6130 
  [101/475] ok batch=4   LlamavsPro     seed=81098 attempts=1 26.6s save_slot_6129 
  [102/475] ok batch=5 GPT-5.4vsPro     seed=81103 attempts=1 12.3s save_slot_6134 
  [103/475] ok batch=5 GPT-5.4vsGrok    seed=81101 attempts=1 24.5s save_slot_6132 
  [104/475] ok batch=5 GPT-5.4vsLlama   seed=81104 attempts=1 18.5s save_slot_6135 
  [105/475] ok batch=5    GrokvsPro     seed=81108 attempts=1 16.3s save_slot_6139 
  [106/475] ok batch=5 GPT-5.4vsOpus    seed=81102 attempts=1 34.6s save_slot_6133 
  [107/475] ok batch=5    GrokvsGPT-5.4 seed=81105 attempts=1 30.5s save_slot_6136 
  [108/475] ok batch=5    GrokvsLlama   seed=81109 attempts=1 24.5s save_slot_6140 
  [109/475] ok batch=5    GrokvsGrok    seed=81106 attempts=1 38.7s save_slot_6137 
  [110/475] ok batch=5    GrokvsOpus    seed=81107 attempts=1 40.6s save_slot_6138 
  [111/475] ok batch=5    OpusvsGPT-5.4 seed=81110 attempts=1 26.5s save_slot_6141 
  [112/475] ok batch=5    OpusvsGrok    seed=81111 attempts=1 34.6s save_slot_6142 
  [113/475] ok batch=5     ProvsGPT-5.4 seed=81115 attempts=1 20.4s save_slot_6146 
  [114/475] ok batch=5    OpusvsLlama   seed=81114 attempts=1 28.4s save_slot_6145 
  [115/475] ok batch=5    OpusvsPro     seed=81113 attempts=1 34.6s save_slot_6144 
  [116/475] ok batch=5    OpusvsOpus    seed=81112 attempts=1 44.7s save_slot_6143 
  [117/475] ok batch=5     ProvsGrok    seed=81116 attempts=1 34.6s save_slot_6147 
  [118/475] ok batch=5     ProvsLlama   seed=81119 attempts=1 18.3s save_slot_6150 
  [119/475] ok batch=5     ProvsOpus    seed=81117 attempts=1 30.4s save_slot_6148 
  [120/475] ok batch=5   LlamavsGPT-5.4 seed=81120 attempts=1 18.5s save_slot_6151 
  [121/475] ok batch=5     ProvsPro     seed=81118 attempts=1 32.6s save_slot_6149 
  [122/475] ok batch=5   LlamavsGrok    seed=81121 attempts=1 30.6s save_slot_6152 
  [123/475] ok batch=5   LlamavsLlama   seed=81124 attempts=1 20.4s save_slot_6155 
  [124/475] ok batch=6 GPT-5.4vsGPT-5.4 seed=81125 attempts=1 20.4s save_slot_6156 
  [125/475] ok batch=5   LlamavsOpus    seed=81122 attempts=1 30.5s save_slot_6153 
  [126/475] ok batch=5   LlamavsPro     seed=81123 attempts=1 24.5s save_slot_6154 
  [127/475] ok batch=6 GPT-5.4vsGrok    seed=81126 attempts=1 26.5s save_slot_6157 
  [128/475] ok batch=6    GrokvsGPT-5.4 seed=81130 attempts=1 12.3s save_slot_6161 
  [129/475] ok batch=6 GPT-5.4vsPro     seed=81128 attempts=1 16.3s save_slot_6159 
  [130/475] ok batch=6 GPT-5.4vsLlama   seed=81129 attempts=1 16.4s save_slot_6160 
  [131/475] ok batch=6 GPT-5.4vsOpus    seed=81127 attempts=1 28.6s save_slot_6158 
  [132/475] ok batch=6    GrokvsOpus    seed=81132 attempts=1 14.4s save_slot_6163 
  [133/475] ok batch=6    GrokvsGrok    seed=81131 attempts=1 36.5s save_slot_6162 
  [134/475] ok batch=6    GrokvsLlama   seed=81134 attempts=1 26.5s save_slot_6165 
  [135/475] ok batch=6    OpusvsGPT-5.4 seed=81135 attempts=1 28.4s save_slot_6166 
  [136/475] ok batch=6    GrokvsPro     seed=81133 attempts=1 34.6s save_slot_6164 
  [137/475] ok batch=6    OpusvsGrok    seed=81136 attempts=1 38.6s save_slot_6167 
  [138/475] ok batch=6     ProvsGPT-5.4 seed=81140 attempts=1 18.3s save_slot_6171 
  [139/475] ok batch=6    OpusvsOpus    seed=81137 attempts=1 44.9s save_slot_6168 
  [140/475] ok batch=6    OpusvsPro     seed=81138 attempts=1 36.6s save_slot_6169 
  [141/475] ok batch=6    OpusvsLlama   seed=81139 attempts=1 36.5s save_slot_6170 
  [142/475] ok batch=6     ProvsPro     seed=81143 attempts=1 28.6s save_slot_6174 
  [143/475] ok batch=6   LlamavsGPT-5.4 seed=81145 attempts=1 18.5s save_slot_6176 
  [144/475] ok batch=6     ProvsLlama   seed=81144 attempts=1 22.4s save_slot_6175 
  [145/475] ok batch=6     ProvsGrok    seed=81141 attempts=1 46.7s save_slot_6172 
  [146/475] ok batch=6     ProvsOpus    seed=81142 attempts=1 34.7s save_slot_6173 
  [147/475] ok batch=6   LlamavsGrok    seed=81146 attempts=1 24.4s save_slot_6177 
  [148/475] ok batch=7 GPT-5.4vsGPT-5.4 seed=81150 attempts=1 14.3s save_slot_6181 
  [149/475] ok batch=6   LlamavsLlama   seed=81149 attempts=1 20.5s save_slot_6180 
  [150/475] ok batch=6   LlamavsPro     seed=81148 attempts=1 22.5s save_slot_6179 
  [151/475] ok batch=6   LlamavsOpus    seed=81147 attempts=1 26.5s save_slot_6178 
  [152/475] ok batch=7 GPT-5.4vsGrok    seed=81151 attempts=1 26.5s save_slot_6182 
  [153/475] ok batch=7 GPT-5.4vsOpus    seed=81152 attempts=1 24.6s save_slot_6183 
  [154/475] ok batch=7 GPT-5.4vsLlama   seed=81154 attempts=1 16.4s save_slot_6185 
  [155/475] ok batch=7 GPT-5.4vsPro     seed=81153 attempts=1 22.5s save_slot_6184 
  [156/475] ok batch=7    GrokvsGPT-5.4 seed=81155 attempts=1 38.6s save_slot_6186 
  [157/475] ok batch=7    GrokvsPro     seed=81158 attempts=1 30.6s save_slot_6189 
  [158/475] ok batch=7    GrokvsGrok    seed=81156 attempts=1 40.7s save_slot_6187 
  [159/475] ok batch=7    GrokvsLlama   seed=81159 attempts=1 28.6s save_slot_6190 
  [160/475] ok batch=7    GrokvsOpus    seed=81157 attempts=1 40.6s save_slot_6188 
  [161/475] ok batch=7    OpusvsGPT-5.4 seed=81160 attempts=1 32.7s save_slot_6191 
  [162/475] ok batch=7    OpusvsPro     seed=81163 attempts=1 16.3s save_slot_6194 
  [163/475] ok batch=7     ProvsGPT-5.4 seed=81165 attempts=1 24.5s save_slot_6196 
  [164/475] ok batch=7    OpusvsLlama   seed=81164 attempts=1 30.5s save_slot_6195 
  [165/475] ok batch=7    OpusvsGrok    seed=81161 attempts=1 38.6s save_slot_6192 
  [166/475] ok batch=7     ProvsGrok    seed=81166 attempts=1 32.5s save_slot_6197 
  [167/475] ok batch=7    OpusvsOpus    seed=81162 attempts=1 46.8s save_slot_6193 
  [168/475] ok batch=7   LlamavsGPT-5.4 seed=81170 attempts=1 14.3s save_slot_6201 
  [169/475] ok batch=7     ProvsLlama   seed=81169 attempts=1 20.4s save_slot_6200 
  [170/475] ok batch=7     ProvsOpus    seed=81167 attempts=1 36.6s save_slot_6198 
  [171/475] ok batch=7     ProvsPro     seed=81168 attempts=1 28.6s save_slot_6199 
  [172/475] ok batch=7   LlamavsPro     seed=81173 attempts=1 14.3s save_slot_6204 
  [173/475] ok batch=7   LlamavsGrok    seed=81171 attempts=1 28.4s save_slot_6202 
  [174/475] ok batch=7   LlamavsLlama   seed=81174 attempts=1 18.4s save_slot_6205 
  [175/475] ok batch=8 GPT-5.4vsGPT-5.4 seed=81175 attempts=1 20.5s save_slot_6206 
  [176/475] ok batch=7   LlamavsOpus    seed=81172 attempts=1 32.6s save_slot_6203 
  [177/475] ok batch=8 GPT-5.4vsGrok    seed=81176 attempts=1 22.4s save_slot_6207 
  [178/475] ok batch=8 GPT-5.4vsLlama   seed=81179 attempts=1 10.3s save_slot_6210 
  [179/475] ok batch=8 GPT-5.4vsPro     seed=81178 attempts=1 22.6s save_slot_6209 
  [180/475] ok batch=8 GPT-5.4vsOpus    seed=81177 attempts=1 30.5s save_slot_6208 
  [181/475] ok batch=8    GrokvsGPT-5.4 seed=81180 attempts=1 24.4s save_slot_6211 
  [182/475] ok batch=8    GrokvsOpus    seed=81182 attempts=1 24.4s save_slot_6213 
  [183/475] ok batch=8    GrokvsLlama   seed=81184 attempts=1 16.2s save_slot_6215 
  [184/475] ok batch=8    GrokvsPro     seed=81183 attempts=1 26.5s save_slot_6214 
  [185/475] ok batch=8    GrokvsGrok    seed=81181 attempts=1 36.7s save_slot_6212 
  [186/475] ok batch=8    OpusvsPro     seed=81188 attempts=1 14.5s save_slot_6219 
  [187/475] ok batch=8     ProvsGPT-5.4 seed=81190 attempts=1 16.4s save_slot_6221 
  [188/475] ok batch=8    OpusvsGPT-5.4 seed=81185 attempts=1 40.6s save_slot_6216 
  [189/475] ok batch=8    OpusvsLlama   seed=81189 attempts=1 28.5s save_slot_6220 
  [190/475] ok batch=8    OpusvsGrok    seed=81186 attempts=1 38.6s save_slot_6217 
  [191/475] ok batch=8    OpusvsOpus    seed=81187 attempts=1 40.7s save_slot_6218 
  [192/475] ok batch=8     ProvsGrok    seed=81191 attempts=1 28.4s save_slot_6222 
  [193/475] ok batch=8     ProvsPro     seed=81193 attempts=1 14.4s save_slot_6224 
  [194/475] ok batch=8     ProvsOpus    seed=81192 attempts=1 18.4s save_slot_6223 
  [195/475] ok batch=8   LlamavsGPT-5.4 seed=81195 attempts=1 16.4s save_slot_6226 
  [196/475] ok batch=8     ProvsLlama   seed=81194 attempts=1 22.5s save_slot_6225 
  [197/475] ok batch=8   LlamavsPro     seed=81198 attempts=1 18.3s save_slot_6229 
  [198/475] ok batch=8   LlamavsLlama   seed=81199 attempts=1 20.5s save_slot_6230 
  [199/475] ok batch=9 GPT-5.4vsGPT-5.4 seed=81200 attempts=1 18.5s save_slot_6231 
  [200/475] ok batch=8   LlamavsOpus    seed=81197 attempts=1 24.5s save_slot_6228 
  [201/475] ok batch=8   LlamavsGrok    seed=81196 attempts=1 32.5s save_slot_6227 
  [202/475] ok batch=9 GPT-5.4vsGrok    seed=81201 attempts=1 20.5s save_slot_6232 
  [203/475] ok batch=9 GPT-5.4vsLlama   seed=81204 attempts=1 14.4s save_slot_6235 
  [204/475] ok batch=9 GPT-5.4vsPro     seed=81203 attempts=1 20.4s save_slot_6234 
  [205/475] ok batch=9 GPT-5.4vsOpus    seed=81202 attempts=1 32.6s save_slot_6233 
  [206/475] ok batch=9    GrokvsGPT-5.4 seed=81205 attempts=1 28.6s save_slot_6236 
  [207/475] ok batch=9    GrokvsPro     seed=81208 attempts=1 16.4s save_slot_6239 
  [208/475] ok batch=9    GrokvsGrok    seed=81206 attempts=1 28.4s save_slot_6237 
  [209/475] ok batch=9    GrokvsLlama   seed=81209 attempts=1 34.6s save_slot_6240 
  [210/475] ok batch=9    OpusvsGPT-5.4 seed=81210 attempts=1 26.6s save_slot_6241 
  [211/475] ok batch=9    GrokvsOpus    seed=81207 attempts=1 48.8s save_slot_6238 
  [212/475] ok batch=9    OpusvsPro     seed=81213 attempts=1 34.7s save_slot_6244 
  [213/475] ok batch=9    OpusvsGrok    seed=81211 attempts=1 40.7s save_slot_6242 
  [214/475] ok batch=9     ProvsGPT-5.4 seed=81215 attempts=1 18.5s save_slot_6246 
  [215/475] ok batch=9    OpusvsOpus    seed=81212 attempts=1 48.8s save_slot_6243 
  [216/475] ok batch=9    OpusvsLlama   seed=81214 attempts=1 28.6s save_slot_6245 
  [217/475] ok batch=9     ProvsOpus    seed=81217 attempts=1 14.4s save_slot_6248 
  [218/475] ok batch=9     ProvsGrok    seed=81216 attempts=1 32.6s save_slot_6247 
  [219/475] ok batch=9   LlamavsGPT-5.4 seed=81220 attempts=1 12.4s save_slot_6251 
  [220/475] ok batch=9     ProvsLlama   seed=81219 attempts=1 18.4s save_slot_6250 
  [221/475] ok batch=9   LlamavsGrok    seed=81221 attempts=1 18.3s save_slot_6252 
  [222/475] ok batch=9     ProvsPro     seed=81218 attempts=1 32.5s save_slot_6249 
  [223/475] ok batch=9   LlamavsPro     seed=81223 attempts=1 18.4s save_slot_6254 
  [224/475] ok batch=9   LlamavsLlama   seed=81224 attempts=1 20.4s save_slot_6255 
  [225/475] ok batch=9   LlamavsOpus    seed=81222 attempts=1 30.6s save_slot_6253 
  [226/475] ok batch=10 GPT-5.4vsGPT-5.4 seed=81225 attempts=1 24.4s save_slot_6256 
  [227/475] ok batch=10 GPT-5.4vsLlama   seed=81229 attempts=1 12.4s save_slot_6260 
  [228/475] ok batch=10    GrokvsGPT-5.4 seed=81230 attempts=1 10.3s save_slot_6261 
  [229/475] ok batch=10 GPT-5.4vsGrok    seed=81226 attempts=1 26.6s save_slot_6257 
  [230/475] ok batch=10 GPT-5.4vsOpus    seed=81227 attempts=1 28.6s save_slot_6258 
  [231/475] ok batch=10 GPT-5.4vsPro     seed=81228 attempts=1 28.6s save_slot_6259 
  [232/475] ok batch=10    GrokvsPro     seed=81233 attempts=1 20.3s save_slot_6264 
  [233/475] ok batch=10    GrokvsLlama   seed=81234 attempts=1 40.7s save_slot_6265 
  [234/475] ok batch=10    OpusvsGPT-5.4 seed=81235 attempts=1 36.7s save_slot_6266 
  [235/475] ok batch=10    GrokvsGrok    seed=81231 attempts=1 54.8s save_slot_6262 
  [236/475] ok batch=10    GrokvsOpus    seed=81232 attempts=1 50.8s save_slot_6263 
  [237/475] ok batch=10    OpusvsOpus    seed=81237 attempts=1 36.6s save_slot_6268 
  [238/475] ok batch=10    OpusvsGrok    seed=81236 attempts=1 48.8s save_slot_6267 
  [239/475] ok batch=10    OpusvsPro     seed=81238 attempts=1 18.4s save_slot_6269 
  [240/475] ok batch=10     ProvsGPT-5.4 seed=81240 attempts=1 18.4s save_slot_6271 
  [241/475] ok batch=10    OpusvsLlama   seed=81239 attempts=1 34.6s save_slot_6270 
  [242/475] ok batch=10   LlamavsGPT-5.4 seed=81245 attempts=1 16.5s save_slot_6276 
  [243/475] ok batch=10     ProvsLlama   seed=81244 attempts=1 26.6s save_slot_6275 
  [244/475] ok batch=10     ProvsPro     seed=81243 attempts=1 30.5s save_slot_6274 
  [245/475] ok batch=10     ProvsOpus    seed=81242 attempts=1 40.6s save_slot_6273 
  [246/475] ok batch=10     ProvsGrok    seed=81241 attempts=1 48.7s save_slot_6272 
  [247/475] ok batch=10   LlamavsLlama   seed=81249 attempts=1 12.4s save_slot_6280 
  [248/475] ok batch=10   LlamavsGrok    seed=81246 attempts=1 32.6s save_slot_6277 
  [249/475] ok batch=11 GPT-5.4vsGPT-5.4 seed=81250 attempts=1 14.3s save_slot_6281 
  [250/475] ok batch=10   LlamavsPro     seed=81248 attempts=1 26.5s save_slot_6279 
  [251/475] ok batch=10   LlamavsOpus    seed=81247 attempts=1 38.8s save_slot_6278 
  [252/475] ok batch=11 GPT-5.4vsLlama   seed=81254 attempts=1 14.4s save_slot_6285 
  [253/475] ok batch=11 GPT-5.4vsOpus    seed=81252 attempts=1 26.5s save_slot_6283 
  [254/475] ok batch=11 GPT-5.4vsPro     seed=81253 attempts=1 22.5s save_slot_6284 
  [255/475] ok batch=11 GPT-5.4vsGrok    seed=81251 attempts=1 34.4s save_slot_6282 
  [256/475] ok batch=11    GrokvsGPT-5.4 seed=81255 attempts=1 42.7s save_slot_6286 
  [257/475] ok batch=11    OpusvsGPT-5.4 seed=81260 attempts=1 28.6s save_slot_6291 
  [258/475] ok batch=11    GrokvsLlama   seed=81259 attempts=1 36.6s save_slot_6290 
  [259/475] ok batch=11    GrokvsOpus    seed=81257 attempts=1 46.9s save_slot_6288 
  [260/475] ok batch=11    GrokvsGrok    seed=81256 attempts=1 54.9s save_slot_6287 
  [261/475] ok batch=11    GrokvsPro     seed=81258 attempts=1 56.8s save_slot_6289 
  [262/475] ok batch=11    OpusvsOpus    seed=81262 attempts=1 34.6s save_slot_6293 
  [263/475] ok batch=11    OpusvsPro     seed=81263 attempts=1 28.5s save_slot_6294 
  [264/475] ok batch=11    OpusvsGrok    seed=81261 attempts=1 44.7s save_slot_6292 
  [265/475] ok batch=11     ProvsGPT-5.4 seed=81265 attempts=1 28.4s save_slot_6296 
  [266/475] ok batch=11    OpusvsLlama   seed=81264 attempts=1 30.6s save_slot_6295 
  [267/475] ok batch=11     ProvsGrok    seed=81266 attempts=1 26.4s save_slot_6297 
  [268/475] ok batch=11   LlamavsGPT-5.4 seed=81270 attempts=1 16.4s save_slot_6301 
  [269/475] ok batch=11     ProvsLlama   seed=81269 attempts=1 22.5s save_slot_6300 
  [270/475] ok batch=11     ProvsPro     seed=81268 attempts=1 30.6s save_slot_6299 
  [271/475] ok batch=11     ProvsOpus    seed=81267 attempts=1 38.5s save_slot_6298 
  [272/475] ok batch=11   LlamavsPro     seed=81273 attempts=1 16.2s save_slot_6304 
  [273/475] ok batch=11   LlamavsGrok    seed=81271 attempts=1 34.6s save_slot_6302 
  [274/475] ok batch=11   LlamavsOpus    seed=81272 attempts=1 30.6s save_slot_6303 
  [275/475] ok batch=12 GPT-5.4vsGPT-5.4 seed=81275 attempts=1 18.5s save_slot_6306 
  [276/475] ok batch=11   LlamavsLlama   seed=81274 attempts=1 22.6s save_slot_6305 
  [277/475] ok batch=12 GPT-5.4vsPro     seed=81278 attempts=1 14.3s save_slot_6309 
  [278/475] ok batch=12 GPT-5.4vsLlama   seed=81279 attempts=1 16.4s save_slot_6310 
  [279/475] ok batch=12 GPT-5.4vsOpus    seed=81277 attempts=1 26.4s save_slot_6308 
  [280/475] ok batch=12 GPT-5.4vsGrok    seed=81276 attempts=1 36.6s save_slot_6307 
  [281/475] ok batch=12    GrokvsGPT-5.4 seed=81280 attempts=1 36.7s save_slot_6311 
  [282/475] ok batch=12    GrokvsGrok    seed=81281 attempts=1 42.8s save_slot_6312 
  [283/475] ok batch=12    GrokvsLlama   seed=81284 attempts=1 30.6s save_slot_6315 
  [284/475] ok batch=12    GrokvsPro     seed=81283 attempts=1 34.6s save_slot_6314 
  [285/475] ok batch=12    GrokvsOpus    seed=81282 attempts=1 46.7s save_slot_6313 
  [286/475] ok batch=12    OpusvsGPT-5.4 seed=81285 attempts=1 32.6s save_slot_6316 
  [287/475] ok batch=12    OpusvsGrok    seed=81286 attempts=1 32.5s save_slot_6317 
