Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 1254.167

painting_1 | status=sold | winner=Opus | winning_bid=300
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 12: Opus PASS (before=500, leader_after=bidder_5)

painting_6 | status=sold | winner=Opus | winning_bid=350
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 PASS (before=150, leader_after=bidder_2)
  turn 4: Opus RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Grok RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Llama PASS (before=250, leader_after=bidder_5)
  turn 7: Pro RAISE to 300 (before=250, leader_after=bidder_2)
  turn 8: Opus RAISE to 350 (before=300, leader_after=bidder_4)
  turn 9: Grok PASS (before=350, leader_after=bidder_4)
  turn 10: Pro PASS (before=350, leader_after=bidder_4)

painting_7 | status=sold | winner=GPT-5.4 | winning_bid=400
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Opus RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Grok RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Llama PASS (before=300, leader_after=bidder_5)
  turn 7: Pro RAISE to 350 (before=300, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_3)
  turn 9: Opus PASS (before=400, leader_after=bidder_3)
  turn 10: Grok PASS (before=400, leader_after=bidder_3)
  turn 11: Pro PASS (before=400, leader_after=bidder_3)

painting_8 | status=sold | winner=Opus | winning_bid=800
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Opus RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Grok RAISE to 300 (before=200, leader_after=bidder_5)
  turn 6: Llama PASS (before=300, leader_after=bidder_5)
  turn 7: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_3)
  turn 8: Opus RAISE to 400 (before=350, leader_after=bidder_4)
  turn 9: Grok PASS (before=400, leader_after=bidder_4)
  turn 10: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 11: Opus RAISE to 500 (before=450, leader_after=bidder_4)
  turn 12: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_3)
  turn 13: Opus RAISE to 600 (before=550, leader_after=bidder_4)
  turn 14: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_3)
  turn 15: Opus RAISE to 700 (before=650, leader_after=bidder_4)
  turn 16: GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_3)
  turn 17: Opus RAISE to 800 (before=750, leader_after=bidder_4)
  turn 18: GPT-5.4 PASS (before=800, leader_after=bidder_4)

painting_9 | status=sold | winner=Grok | winning_bid=300
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: GPT-5.4 PASS (before=100, leader_after=bidder_1)
  turn 4: Opus RAISE to 150 (before=100, leader_after=bidder_4)
  turn 5: Grok RAISE to 200 (before=150, leader_after=bidder_5)
  turn 6: Llama RAISE to 250 (before=200, leader_after=bidder_1)
  turn 7: Opus PASS (before=250, leader_after=bidder_1)
  turn 8: Grok RAISE to 300 (before=250, leader_after=bidder_5)
  turn 9: Llama PASS (before=300, leader_after=bidder_5)

painting_10 | status=sold | winner=Opus | winning_bid=950
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Opus RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Grok RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Llama PASS (before=250, leader_after=bidder_5)
  turn 7: GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_3)
  turn 8: Opus RAISE to 350 (before=300, leader_after=bidder_4)
  turn 9: Grok PASS (before=350, leader_after=bidder_4)
  turn 10: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_3)
  turn 11: Opus RAISE to 450 (before=400, leader_after=bidder_4)
  turn 12: GPT-5.4 RAISE to 500 (before=450, leader_after=bidder_3)
  turn 13: Opus RAISE to 550 (before=500, leader_after=bidder_4)
  turn 14: GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_3)
  turn 15: Opus RAISE to 650 (before=600, leader_after=bidder_4)
  turn 16: GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 17: Opus RAISE to 750 (before=700, leader_after=bidder_4)
  turn 18: GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_3)
  turn 19: Opus RAISE to 850 (before=800, leader_after=bidder_4)
  turn 20: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_3)
  turn 21: Opus RAISE to 950 (before=900, leader_after=bidder_4)
  turn 22: GPT-5.4 PASS (before=950, leader_after=bidder_4)

painting_11 | status=sold | winner=Opus | winning_bid=1300
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: GPT-5.4 PASS (before=100, leader_after=bidder_1)
  turn 4: Opus RAISE to 150 (before=100, leader_after=bidder_4)
  turn 5: Grok RAISE to 300 (before=150, leader_after=bidder_5)
  turn 6: Llama PASS (before=300, leader_after=bidder_5)
  turn 7: Opus RAISE to 350 (before=300, leader_after=bidder_4)
  turn 8: Grok RAISE to 1000 (before=350, leader_after=bidder_5)
  turn 9: Opus RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 10: Grok RAISE to 1200 (before=1100, leader_after=bidder_5)
  turn 11: Opus RAISE to 1300 (before=1200, leader_after=bidder_4)
  turn 12: Grok PASS (before=1300, leader_after=bidder_4)

painting_12 | status=sold | winner=Llama | winning_bid=8900
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: GPT-5.4 RAISE to 8650 (before=100, leader_after=bidder_3)
  turn 4: Opus PASS (before=8650, leader_after=bidder_3)
  turn 5: Grok PASS (before=8650, leader_after=bidder_3)
  turn 6: Llama RAISE to 8900 (before=8650, leader_after=bidder_1)
  turn 7: GPT-5.4 PASS (before=8900, leader_after=bidder_1)
