Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2966.667

painting_1 | status=sold | winner=Llama | winning_bid=2000
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T5 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Grok RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Math-T5 RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Opus RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Grok RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Math-T5 RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Opus RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Grok PASS (before=900, leader_after=bidder_2)
  turn 19: Math-T5 RAISE to 950 (before=900, leader_after=bidder_4)
  turn 20: Llama RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 21: Opus RAISE to 1100 (before=1000, leader_after=bidder_1)
  turn 22: GPT-5.4 PASS (before=1100, leader_after=bidder_1)
  turn 23: Math-T5 RAISE to 1200 (before=1100, leader_after=bidder_4)
  turn 24: Llama PASS (before=1200, leader_after=bidder_4)
  turn 25: Opus RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 26: Math-T5 RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 27: Opus RAISE to 1500 (before=1400, leader_after=bidder_1)
  turn 28: Math-T5 RAISE to 1600 (before=1500, leader_after=bidder_4)
  turn 29: Opus PASS (before=1600, leader_after=bidder_4)

painting_4 | status=sold | winner=Math-T5 | winning_bid=1200
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T5 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Grok RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Math-T5 RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Opus RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Grok RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Math-T5 RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Opus RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Grok RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Math-T5 RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama PASS (before=1000, leader_after=bidder_4)
  turn 21: Opus RAISE to 1100 (before=1000, leader_after=bidder_1)
  turn 22: GPT-5.4 PASS (before=1100, leader_after=bidder_1)
  turn 23: Grok PASS (before=1100, leader_after=bidder_1)
  turn 24: Math-T5 RAISE to 1200 (before=1100, leader_after=bidder_4)
  turn 25: Opus PASS (before=1200, leader_after=bidder_4)

painting_5 | status=sold | winner=Llama | winning_bid=2600
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T5 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Grok RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Math-T5 RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Opus RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Grok RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Math-T5 RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Opus RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Grok RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Math-T5 RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1200 (before=1000, leader_after=bidder_5)
  turn 21: Opus RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 22: GPT-5.4 PASS (before=1300, leader_after=bidder_1)
  turn 23: Grok PASS (before=1300, leader_after=bidder_1)
  turn 24: Math-T5 RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 25: Llama RAISE to 1600 (before=1400, leader_after=bidder_5)
  turn 26: Opus RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 27: Math-T5 RAISE to 1800 (before=1700, leader_after=bidder_4)
  turn 28: Llama RAISE to 1900 (before=1800, leader_after=bidder_5)
  turn 29: Opus RAISE to 2000 (before=1900, leader_after=bidder_1)
  turn 30: Math-T5 RAISE to 2100 (before=2000, leader_after=bidder_4)
  turn 31: Llama RAISE to 2300 (before=2100, leader_after=bidder_5)
  turn 32: Opus PASS (before=2300, leader_after=bidder_5)
  turn 33: Math-T5 RAISE to 2400 (before=2300, leader_after=bidder_4)
  turn 34: Llama RAISE to 2600 (before=2400, leader_after=bidder_5)
  turn 35: Math-T5 PASS (before=2600, leader_after=bidder_5)

painting_6 | status=sold | winner=Llama | winning_bid=3600
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T5 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Grok RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Math-T5 RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Opus RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Grok PASS (before=650, leader_after=bidder_2)
  turn 14: Math-T5 RAISE to 700 (before=650, leader_after=bidder_4)
  turn 15: Llama RAISE to 750 (before=700, leader_after=bidder_5)
  turn 16: Opus RAISE to 800 (before=750, leader_after=bidder_1)
  turn 17: GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_2)
  turn 18: Math-T5 RAISE to 900 (before=850, leader_after=bidder_4)
  turn 19: Llama RAISE to 950 (before=900, leader_after=bidder_5)
  turn 20: Opus RAISE to 1000 (before=950, leader_after=bidder_1)
  turn 21: GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 22: Math-T5 RAISE to 1200 (before=1100, leader_after=bidder_4)
  turn 23: Llama RAISE to 1300 (before=1200, leader_after=bidder_5)
  turn 24: Opus RAISE to 1400 (before=1300, leader_after=bidder_1)
  turn 25: GPT-5.4 RAISE to 1500 (before=1400, leader_after=bidder_2)
  turn 26: Math-T5 RAISE to 1600 (before=1500, leader_after=bidder_4)
  turn 27: Llama RAISE to 1700 (before=1600, leader_after=bidder_5)
  turn 28: Opus RAISE to 1800 (before=1700, leader_after=bidder_1)
  turn 29: GPT-5.4 PASS (before=1800, leader_after=bidder_1)
  turn 30: Math-T5 RAISE to 1900 (before=1800, leader_after=bidder_4)
  turn 31: Llama RAISE to 2500 (before=1900, leader_after=bidder_5)
  turn 32: Opus PASS (before=2500, leader_after=bidder_5)
  turn 33: Math-T5 RAISE to 2600 (before=2500, leader_after=bidder_4)
  turn 34: Llama RAISE to 2700 (before=2600, leader_after=bidder_5)
  turn 35: Math-T5 RAISE to 2800 (before=2700, leader_after=bidder_4)
  turn 36: Llama RAISE to 3100 (before=2800, leader_after=bidder_5)
  turn 37: Math-T5 RAISE to 3350 (before=3100, leader_after=bidder_4)
  turn 38: Llama RAISE to 3600 (before=3350, leader_after=bidder_5)
  turn 39: Math-T5 PASS (before=3600, leader_after=bidder_5)

painting_7 | status=sold | winner=Math-T5 | winning_bid=2600
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T5 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Grok RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Math-T5 RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama PASS (before=500, leader_after=bidder_4)
  turn 11: Opus RAISE to 550 (before=500, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_2)
  turn 13: Grok RAISE to 650 (before=600, leader_after=bidder_3)
  turn 14: Math-T5 RAISE to 700 (before=650, leader_after=bidder_4)
  turn 15: Opus RAISE to 750 (before=700, leader_after=bidder_1)
  turn 16: GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_2)
  turn 17: Grok RAISE to 850 (before=800, leader_after=bidder_3)
  turn 18: Math-T5 RAISE to 900 (before=850, leader_after=bidder_4)
  turn 19: Opus RAISE to 950 (before=900, leader_after=bidder_1)
  turn 20: GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_2)
  turn 21: Grok RAISE to 1100 (before=1000, leader_after=bidder_3)
  turn 22: Math-T5 RAISE to 1200 (before=1100, leader_after=bidder_4)
  turn 23: Opus RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 24: GPT-5.4 RAISE to 1400 (before=1300, leader_after=bidder_2)
  turn 25: Grok RAISE to 1500 (before=1400, leader_after=bidder_3)
  turn 26: Math-T5 RAISE to 1600 (before=1500, leader_after=bidder_4)
  turn 27: Opus RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 28: GPT-5.4 PASS (before=1700, leader_after=bidder_1)
  turn 29: Grok PASS (before=1700, leader_after=bidder_1)
  turn 30: Math-T5 RAISE to 1800 (before=1700, leader_after=bidder_4)
  turn 31: Opus RAISE to 1900 (before=1800, leader_after=bidder_1)
  turn 32: Math-T5 RAISE to 2000 (before=1900, leader_after=bidder_4)
  turn 33: Opus RAISE to 2100 (before=2000, leader_after=bidder_1)
  turn 34: Math-T5 RAISE to 2200 (before=2100, leader_after=bidder_4)
  turn 35: Opus RAISE to 2300 (before=2200, leader_after=bidder_1)
  turn 36: Math-T5 RAISE to 2400 (before=2300, leader_after=bidder_4)
  turn 37: Opus RAISE to 2500 (before=2400, leader_after=bidder_1)
  turn 38: Math-T5 RAISE to 2600 (before=2500, leader_after=bidder_4)
  turn 39: Opus PASS (before=2600, leader_after=bidder_4)

painting_8 | status=sold | winner=Math-T5 | winning_bid=2900
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T5 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Grok RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Math-T5 RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Opus RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Grok RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Math-T5 RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Opus RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Grok RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Math-T5 RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1200 (before=1000, leader_after=bidder_5)
  turn 21: Opus RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 22: GPT-5.4 RAISE to 1400 (before=1300, leader_after=bidder_2)
  turn 23: Grok RAISE to 1500 (before=1400, leader_after=bidder_3)
  turn 24: Math-T5 RAISE to 1600 (before=1500, leader_after=bidder_4)
  turn 25: Llama RAISE to 1700 (before=1600, leader_after=bidder_5)
  turn 26: Opus RAISE to 1800 (before=1700, leader_after=bidder_1)
  turn 27: GPT-5.4 RAISE to 1900 (before=1800, leader_after=bidder_2)
  turn 28: Grok RAISE to 2000 (before=1900, leader_after=bidder_3)
  turn 29: Math-T5 RAISE to 2100 (before=2000, leader_after=bidder_4)
  turn 30: Llama PASS (before=2100, leader_after=bidder_4)
  turn 31: Opus PASS (before=2100, leader_after=bidder_4)
  turn 32: GPT-5.4 RAISE to 2200 (before=2100, leader_after=bidder_2)
  turn 33: Grok PASS (before=2200, leader_after=bidder_2)
  turn 34: Math-T5 RAISE to 2300 (before=2200, leader_after=bidder_4)
  turn 35: GPT-5.4 RAISE to 2400 (before=2300, leader_after=bidder_2)
  turn 36: Math-T5 RAISE to 2500 (before=2400, leader_after=bidder_4)
  turn 37: GPT-5.4 RAISE to 2600 (before=2500, leader_after=bidder_2)
  turn 38: Math-T5 RAISE to 2700 (before=2600, leader_after=bidder_4)
  turn 39: GPT-5.4 RAISE to 2800 (before=2700, leader_after=bidder_2)
  turn 40: Math-T5 RAISE to 2900 (before=2800, leader_after=bidder_4)
  turn 41: GPT-5.4 PASS (before=2900, leader_after=bidder_4)

painting_9 | status=sold | winner=GPT-5.4 | winning_bid=2500
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T5 PASS (before=200, leader_after=bidder_3)
  turn 5: Llama RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Opus RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_2)
  turn 8: Grok RAISE to 400 (before=350, leader_after=bidder_3)
  turn 9: Llama RAISE to 450 (before=400, leader_after=bidder_5)
  turn 10: Opus RAISE to 500 (before=450, leader_after=bidder_1)
  turn 11: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_2)
  turn 12: Grok RAISE to 600 (before=550, leader_after=bidder_3)
  turn 13: Llama RAISE to 650 (before=600, leader_after=bidder_5)
  turn 14: Opus RAISE to 700 (before=650, leader_after=bidder_1)
  turn 15: GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_2)
  turn 16: Grok RAISE to 800 (before=750, leader_after=bidder_3)
  turn 17: Llama RAISE to 950 (before=800, leader_after=bidder_5)
  turn 18: Opus RAISE to 1000 (before=950, leader_after=bidder_1)
  turn 19: GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 20: Grok RAISE to 1200 (before=1100, leader_after=bidder_3)
  turn 21: Llama RAISE to 1300 (before=1200, leader_after=bidder_5)
  turn 22: Opus RAISE to 1400 (before=1300, leader_after=bidder_1)
  turn 23: GPT-5.4 RAISE to 1500 (before=1400, leader_after=bidder_2)
  turn 24: Grok RAISE to 1600 (before=1500, leader_after=bidder_3)
  turn 25: Llama RAISE to 1700 (before=1600, leader_after=bidder_5)
  turn 26: Opus RAISE to 1800 (before=1700, leader_after=bidder_1)
  turn 27: GPT-5.4 RAISE to 1900 (before=1800, leader_after=bidder_2)
  turn 28: Grok RAISE to 2000 (before=1900, leader_after=bidder_3)
  turn 29: Llama PASS (before=2000, leader_after=bidder_3)
  turn 30: Opus RAISE to 2100 (before=2000, leader_after=bidder_1)
  turn 31: GPT-5.4 RAISE to 2200 (before=2100, leader_after=bidder_2)
  turn 32: Grok RAISE to 2300 (before=2200, leader_after=bidder_3)
  turn 33: Opus RAISE to 2400 (before=2300, leader_after=bidder_1)
  turn 34: GPT-5.4 RAISE to 2500 (before=2400, leader_after=bidder_2)
  turn 35: Grok PASS (before=2500, leader_after=bidder_2)
  turn 36: Opus PASS (before=2500, leader_after=bidder_2)

painting_10 | status=sold | winner=Grok | winning_bid=2700
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T5 PASS (before=200, leader_after=bidder_3)
  turn 5: Llama RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Opus RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_2)
  turn 8: Grok RAISE to 400 (before=350, leader_after=bidder_3)
  turn 9: Llama RAISE to 450 (before=400, leader_after=bidder_5)
  turn 10: Opus RAISE to 500 (before=450, leader_after=bidder_1)
  turn 11: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_2)
  turn 12: Grok RAISE to 600 (before=550, leader_after=bidder_3)
  turn 13: Llama RAISE to 650 (before=600, leader_after=bidder_5)
  turn 14: Opus RAISE to 700 (before=650, leader_after=bidder_1)
  turn 15: GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_2)
  turn 16: Grok RAISE to 800 (before=750, leader_after=bidder_3)
  turn 17: Llama RAISE to 850 (before=800, leader_after=bidder_5)
  turn 18: Opus RAISE to 900 (before=850, leader_after=bidder_1)
  turn 19: GPT-5.4 RAISE to 950 (before=900, leader_after=bidder_2)
  turn 20: Grok RAISE to 1000 (before=950, leader_after=bidder_3)
  turn 21: Llama RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 22: Opus PASS (before=1100, leader_after=bidder_5)
  turn 23: GPT-5.4 RAISE to 1200 (before=1100, leader_after=bidder_2)
  turn 24: Grok RAISE to 1300 (before=1200, leader_after=bidder_3)
  turn 25: Llama RAISE to 1500 (before=1300, leader_after=bidder_5)
  turn 26: GPT-5.4 RAISE to 1600 (before=1500, leader_after=bidder_2)
  turn 27: Grok RAISE to 1700 (before=1600, leader_after=bidder_3)
  turn 28: Llama PASS (before=1700, leader_after=bidder_3)
  turn 29: GPT-5.4 RAISE to 1800 (before=1700, leader_after=bidder_2)
  turn 30: Grok RAISE to 1900 (before=1800, leader_after=bidder_3)
  turn 31: GPT-5.4 RAISE to 2000 (before=1900, leader_after=bidder_2)
  turn 32: Grok RAISE to 2100 (before=2000, leader_after=bidder_3)
  turn 33: GPT-5.4 RAISE to 2200 (before=2100, leader_after=bidder_2)
  turn 34: Grok RAISE to 2300 (before=2200, leader_after=bidder_3)
  turn 35: GPT-5.4 RAISE to 2400 (before=2300, leader_after=bidder_2)
  turn 36: Grok RAISE to 2500 (before=2400, leader_after=bidder_3)
  turn 37: GPT-5.4 RAISE to 2600 (before=2500, leader_after=bidder_2)
  turn 38: Grok RAISE to 2700 (before=2600, leader_after=bidder_3)
  turn 39: GPT-5.4 PASS (before=2700, leader_after=bidder_3)

painting_11 | status=sold | winner=Opus | winning_bid=5500
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T5 PASS (before=200, leader_after=bidder_3)
  turn 5: Llama RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Opus RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_2)
  turn 8: Grok RAISE to 400 (before=350, leader_after=bidder_3)
  turn 9: Llama RAISE to 450 (before=400, leader_after=bidder_5)
  turn 10: Opus RAISE to 500 (before=450, leader_after=bidder_1)
  turn 11: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_2)
  turn 12: Grok RAISE to 600 (before=550, leader_after=bidder_3)
  turn 13: Llama RAISE to 700 (before=600, leader_after=bidder_5)
  turn 14: Opus RAISE to 750 (before=700, leader_after=bidder_1)
  turn 15: GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_2)
  turn 16: Grok RAISE to 850 (before=800, leader_after=bidder_3)
  turn 17: Llama RAISE to 900 (before=850, leader_after=bidder_5)
  turn 18: Opus RAISE to 950 (before=900, leader_after=bidder_1)
  turn 19: GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_2)
  turn 20: Grok RAISE to 1100 (before=1000, leader_after=bidder_3)
  turn 21: Llama RAISE to 1200 (before=1100, leader_after=bidder_5)
  turn 22: Opus RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 23: GPT-5.4 RAISE to 1400 (before=1300, leader_after=bidder_2)
  turn 24: Grok RAISE to 1500 (before=1400, leader_after=bidder_3)
  turn 25: Llama RAISE to 1600 (before=1500, leader_after=bidder_5)
  turn 26: Opus RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 27: GPT-5.4 RAISE to 1800 (before=1700, leader_after=bidder_2)
  turn 28: Grok RAISE to 1900 (before=1800, leader_after=bidder_3)
  turn 29: Llama PASS (before=1900, leader_after=bidder_3)
  turn 30: Opus RAISE to 2000 (before=1900, leader_after=bidder_1)
  turn 31: GPT-5.4 RAISE to 2100 (before=2000, leader_after=bidder_2)
  turn 32: Grok RAISE to 2200 (before=2100, leader_after=bidder_3)
  turn 33: Opus RAISE to 5000 (before=2200, leader_after=bidder_1)
  turn 34: GPT-5.4 PASS (before=5000, leader_after=bidder_1)
  turn 35: Grok RAISE to 5250 (before=5000, leader_after=bidder_3)
  turn 36: Opus RAISE to 5500 (before=5250, leader_after=bidder_1)
  turn 37: Grok PASS (before=5500, leader_after=bidder_1)

painting_12 | status=sold | winner=GPT-5.4 | winning_bid=7300
  turn 1: Opus RAISE to 4500 (before=0, leader_after=bidder_1)
