Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2795.833

painting_1 | status=sold | winner=Math-T5 | winning_bid=1300
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 13: Math-T5 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Opus RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Llama RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Pro RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Math-T5 RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Opus PASS (before=950, leader_after=bidder_3)
  turn 20: GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 21: Llama RAISE to 1100 (before=1000, leader_after=bidder_1)
  turn 22: Pro RAISE to 1200 (before=1100, leader_after=bidder_2)
  turn 23: Math-T5 RAISE to 1300 (before=1200, leader_after=bidder_3)
  turn 24: GPT-5.4 PASS (before=1300, leader_after=bidder_3)
  turn 25: Llama RAISE to 1500 (before=1300, leader_after=bidder_1)
  turn 26: Pro PASS (before=1500, leader_after=bidder_1)
  turn 27: Math-T5 RAISE to 1600 (before=1500, leader_after=bidder_3)
  turn 28: Llama RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 29: Math-T5 RAISE to 1800 (before=1700, leader_after=bidder_3)
  turn 30: Llama PASS (before=1800, leader_after=bidder_3)

painting_5 | status=sold | winner=Math-T5 | winning_bid=2000
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Math-T5 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Opus RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Pro RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Math-T5 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Opus RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Pro RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Math-T5 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Opus RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Llama RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Pro RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Math-T5 RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Opus PASS (before=950, leader_after=bidder_3)
  turn 20: GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 21: Llama RAISE to 1200 (before=1000, leader_after=bidder_1)
  turn 22: Pro RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 23: Math-T5 RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 24: GPT-5.4 RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 25: Llama PASS (before=1500, leader_after=bidder_5)
  turn 26: Pro RAISE to 1600 (before=1500, leader_after=bidder_2)
  turn 27: Math-T5 RAISE to 1700 (before=1600, leader_after=bidder_3)
  turn 28: GPT-5.4 RAISE to 1800 (before=1700, leader_after=bidder_5)
  turn 29: Pro RAISE to 1900 (before=1800, leader_after=bidder_2)
  turn 30: Math-T5 RAISE to 2000 (before=1900, leader_after=bidder_3)
  turn 31: GPT-5.4 PASS (before=2000, leader_after=bidder_3)
  turn 32: Pro PASS (before=2000, leader_after=bidder_3)

painting_6 | status=sold | winner=Math-T5 | winning_bid=3250
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Math-T5 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Opus RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Pro RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Math-T5 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Opus RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Pro RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Math-T5 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Opus RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Llama RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Pro RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Math-T5 RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Opus RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: Llama RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 22: Pro RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 23: Math-T5 RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 24: Opus PASS (before=1400, leader_after=bidder_3)
  turn 25: GPT-5.4 RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 26: Llama RAISE to 1600 (before=1500, leader_after=bidder_1)
  turn 27: Pro PASS (before=1600, leader_after=bidder_1)
  turn 28: Math-T5 RAISE to 1700 (before=1600, leader_after=bidder_3)
  turn 29: GPT-5.4 RAISE to 1800 (before=1700, leader_after=bidder_5)
  turn 30: Llama RAISE to 2000 (before=1800, leader_after=bidder_1)
  turn 31: Math-T5 RAISE to 2100 (before=2000, leader_after=bidder_3)
  turn 32: GPT-5.4 RAISE to 2200 (before=2100, leader_after=bidder_5)
  turn 33: Llama RAISE to 2300 (before=2200, leader_after=bidder_1)
  turn 34: Math-T5 RAISE to 2400 (before=2300, leader_after=bidder_3)
  turn 35: GPT-5.4 RAISE to 2500 (before=2400, leader_after=bidder_5)
  turn 36: Llama RAISE to 2600 (before=2500, leader_after=bidder_1)
  turn 37: Math-T5 RAISE to 2700 (before=2600, leader_after=bidder_3)
  turn 38: GPT-5.4 PASS (before=2700, leader_after=bidder_3)
  turn 39: Llama RAISE to 3000 (before=2700, leader_after=bidder_1)
  turn 40: Math-T5 RAISE to 3250 (before=3000, leader_after=bidder_3)
  turn 41: Llama PASS (before=3250, leader_after=bidder_3)

painting_7 | status=sold | winner=Pro | winning_bid=1800
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Math-T5 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Opus RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Pro RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Math-T5 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Opus RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Pro RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Math-T5 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Opus RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Llama RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Pro RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Math-T5 RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Opus RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: Llama RAISE to 1300 (before=1100, leader_after=bidder_1)
  turn 22: Pro RAISE to 1400 (before=1300, leader_after=bidder_2)
  turn 23: Math-T5 RAISE to 1500 (before=1400, leader_after=bidder_3)
  turn 24: Opus PASS (before=1500, leader_after=bidder_3)
  turn 25: GPT-5.4 RAISE to 1600 (before=1500, leader_after=bidder_5)
  turn 26: Llama RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 27: Pro RAISE to 1800 (before=1700, leader_after=bidder_2)
  turn 28: Math-T5 PASS (before=1800, leader_after=bidder_2)
  turn 29: GPT-5.4 PASS (before=1800, leader_after=bidder_2)
  turn 30: Llama PASS (before=1800, leader_after=bidder_2)

painting_8 | status=sold | winner=GPT-5.4 | winning_bid=2300
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Math-T5 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Opus RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Pro RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Math-T5 PASS (before=400, leader_after=bidder_2)
  turn 9: Opus RAISE to 450 (before=400, leader_after=bidder_4)
  turn 10: GPT-5.4 RAISE to 500 (before=450, leader_after=bidder_5)
  turn 11: Llama RAISE to 550 (before=500, leader_after=bidder_1)
  turn 12: Pro RAISE to 600 (before=550, leader_after=bidder_2)
  turn 13: Opus RAISE to 650 (before=600, leader_after=bidder_4)
  turn 14: GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_5)
  turn 15: Llama RAISE to 750 (before=700, leader_after=bidder_1)
  turn 16: Pro RAISE to 800 (before=750, leader_after=bidder_2)
  turn 17: Opus RAISE to 850 (before=800, leader_after=bidder_4)
  turn 18: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_5)
  turn 19: Llama RAISE to 950 (before=900, leader_after=bidder_1)
  turn 20: Pro RAISE to 1000 (before=950, leader_after=bidder_2)
  turn 21: Opus RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 22: GPT-5.4 RAISE to 1200 (before=1100, leader_after=bidder_5)
  turn 23: Llama RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 24: Pro RAISE to 1400 (before=1300, leader_after=bidder_2)
  turn 25: Opus RAISE to 1500 (before=1400, leader_after=bidder_4)
  turn 26: GPT-5.4 RAISE to 1600 (before=1500, leader_after=bidder_5)
  turn 27: Llama RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 28: Pro PASS (before=1700, leader_after=bidder_1)
  turn 29: Opus PASS (before=1700, leader_after=bidder_1)
  turn 30: GPT-5.4 RAISE to 1800 (before=1700, leader_after=bidder_5)
  turn 31: Llama RAISE to 1900 (before=1800, leader_after=bidder_1)
  turn 32: GPT-5.4 RAISE to 2000 (before=1900, leader_after=bidder_5)
  turn 33: Llama RAISE to 2200 (before=2000, leader_after=bidder_1)
  turn 34: GPT-5.4 RAISE to 2300 (before=2200, leader_after=bidder_5)
  turn 35: Llama PASS (before=2300, leader_after=bidder_5)

painting_9 | status=sold | winner=Llama | winning_bid=2100
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Math-T5 PASS (before=150, leader_after=bidder_2)
  turn 4: Opus RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Llama RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: Pro RAISE to 350 (before=300, leader_after=bidder_2)
  turn 8: Opus RAISE to 400 (before=350, leader_after=bidder_4)
  turn 9: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_5)
  turn 10: Llama RAISE to 500 (before=450, leader_after=bidder_1)
  turn 11: Pro RAISE to 550 (before=500, leader_after=bidder_2)
  turn 12: Opus RAISE to 600 (before=550, leader_after=bidder_4)
  turn 13: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_5)
  turn 14: Llama RAISE to 700 (before=650, leader_after=bidder_1)
  turn 15: Pro RAISE to 750 (before=700, leader_after=bidder_2)
  turn 16: Opus RAISE to 800 (before=750, leader_after=bidder_4)
  turn 17: GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_5)
  turn 18: Llama RAISE to 900 (before=850, leader_after=bidder_1)
  turn 19: Pro RAISE to 950 (before=900, leader_after=bidder_2)
  turn 20: Opus RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 21: GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 22: Llama RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 23: Pro RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 24: Opus RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 25: GPT-5.4 RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 26: Llama RAISE to 1600 (before=1500, leader_after=bidder_1)
  turn 27: Pro RAISE to 1700 (before=1600, leader_after=bidder_2)
  turn 28: Opus PASS (before=1700, leader_after=bidder_2)
  turn 29: GPT-5.4 RAISE to 1800 (before=1700, leader_after=bidder_5)
  turn 30: Llama RAISE to 1900 (before=1800, leader_after=bidder_1)
  turn 31: Pro RAISE to 2000 (before=1900, leader_after=bidder_2)
  turn 32: GPT-5.4 PASS (before=2000, leader_after=bidder_2)
  turn 33: Llama RAISE to 2100 (before=2000, leader_after=bidder_1)
  turn 34: Pro PASS (before=2100, leader_after=bidder_1)

painting_10 | status=sold | winner=Llama | winning_bid=3000
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Math-T5 PASS (before=150, leader_after=bidder_2)
  turn 4: Opus RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Llama RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: Pro RAISE to 350 (before=300, leader_after=bidder_2)
  turn 8: Opus RAISE to 400 (before=350, leader_after=bidder_4)
  turn 9: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_5)
  turn 10: Llama RAISE to 500 (before=450, leader_after=bidder_1)
  turn 11: Pro RAISE to 550 (before=500, leader_after=bidder_2)
  turn 12: Opus RAISE to 600 (before=550, leader_after=bidder_4)
  turn 13: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_5)
  turn 14: Llama RAISE to 700 (before=650, leader_after=bidder_1)
  turn 15: Pro RAISE to 750 (before=700, leader_after=bidder_2)
  turn 16: Opus RAISE to 800 (before=750, leader_after=bidder_4)
  turn 17: GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_5)
  turn 18: Llama RAISE to 900 (before=850, leader_after=bidder_1)
  turn 19: Pro RAISE to 950 (before=900, leader_after=bidder_2)
  turn 20: Opus RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 21: GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 22: Llama RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 23: Pro RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 24: Opus RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 25: GPT-5.4 RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 26: Llama RAISE to 1700 (before=1500, leader_after=bidder_1)
  turn 27: Pro RAISE to 1800 (before=1700, leader_after=bidder_2)
  turn 28: Opus PASS (before=1800, leader_after=bidder_2)
  turn 29: GPT-5.4 RAISE to 1900 (before=1800, leader_after=bidder_5)
  turn 30: Llama RAISE to 2100 (before=1900, leader_after=bidder_1)
  turn 31: Pro RAISE to 2200 (before=2100, leader_after=bidder_2)
  turn 32: GPT-5.4 RAISE to 2300 (before=2200, leader_after=bidder_5)
  turn 33: Llama RAISE to 2500 (before=2300, leader_after=bidder_1)
  turn 34: Pro RAISE to 2600 (before=2500, leader_after=bidder_2)
  turn 35: GPT-5.4 PASS (before=2600, leader_after=bidder_2)
  turn 36: Llama RAISE to 2800 (before=2600, leader_after=bidder_1)
  turn 37: Pro RAISE to 2900 (before=2800, leader_after=bidder_2)
  turn 38: Llama RAISE to 3000 (before=2900, leader_after=bidder_1)
  turn 39: Pro PASS (before=3000, leader_after=bidder_1)

painting_11 | status=sold | winner=GPT-5.4 | winning_bid=3500
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Math-T5 PASS (before=150, leader_after=bidder_2)
  turn 4: Opus RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Llama RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: Pro RAISE to 350 (before=300, leader_after=bidder_2)
  turn 8: Opus RAISE to 400 (before=350, leader_after=bidder_4)
  turn 9: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_5)
  turn 10: Llama RAISE to 500 (before=450, leader_after=bidder_1)
  turn 11: Pro RAISE to 550 (before=500, leader_after=bidder_2)
  turn 12: Opus RAISE to 600 (before=550, leader_after=bidder_4)
  turn 13: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_5)
  turn 14: Llama RAISE to 700 (before=650, leader_after=bidder_1)
  turn 15: Pro RAISE to 750 (before=700, leader_after=bidder_2)
  turn 16: Opus RAISE to 800 (before=750, leader_after=bidder_4)
  turn 17: GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_5)
  turn 18: Llama RAISE to 900 (before=850, leader_after=bidder_1)
  turn 19: Pro RAISE to 950 (before=900, leader_after=bidder_2)
  turn 20: Opus RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 21: GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 22: Llama RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 23: Pro RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 24: Opus RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 25: GPT-5.4 RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 26: Llama RAISE to 1600 (before=1500, leader_after=bidder_1)
  turn 27: Pro RAISE to 1700 (before=1600, leader_after=bidder_2)
  turn 28: Opus RAISE to 1800 (before=1700, leader_after=bidder_4)
  turn 29: GPT-5.4 RAISE to 1900 (before=1800, leader_after=bidder_5)
  turn 30: Llama RAISE to 2000 (before=1900, leader_after=bidder_1)
  turn 31: Pro RAISE to 2100 (before=2000, leader_after=bidder_2)
  turn 32: Opus RAISE to 2200 (before=2100, leader_after=bidder_4)
  turn 33: GPT-5.4 RAISE to 2300 (before=2200, leader_after=bidder_5)
  turn 34: Llama RAISE to 2500 (before=2300, leader_after=bidder_1)
  turn 35: Pro RAISE to 2700 (before=2500, leader_after=bidder_2)
  turn 36: Opus RAISE to 2800 (before=2700, leader_after=bidder_4)
  turn 37: GPT-5.4 RAISE to 2900 (before=2800, leader_after=bidder_5)
  turn 38: Llama PASS (before=2900, leader_after=bidder_5)
  turn 39: Pro RAISE to 3000 (before=2900, leader_after=bidder_2)
  turn 40: Opus RAISE to 3250 (before=3000, leader_after=bidder_4)
  turn 41: GPT-5.4 RAISE to 3500 (before=3250, leader_after=bidder_5)
  turn 42: Pro PASS (before=3500, leader_after=bidder_5)
  turn 43: Opus PASS (before=3500, leader_after=bidder_5)

painting_12 | status=sold | winner=Pro | winning_bid=8200
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 8200 (before=100, leader_after=bidder_2)
