Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2541.75

painting_1 | status=sold | winner=Llama | winning_bid=1300
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Opus RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Grok PASS (before=650, leader_after=bidder_2)
  turn 14: Pro RAISE to 700 (before=650, leader_after=bidder_4)
  turn 15: Llama RAISE to 750 (before=700, leader_after=bidder_5)
  turn 16: Opus RAISE to 800 (before=750, leader_after=bidder_1)
  turn 17: GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_2)
  turn 18: Pro PASS (before=850, leader_after=bidder_2)
  turn 19: Llama RAISE to 900 (before=850, leader_after=bidder_5)
  turn 20: Opus RAISE to 950 (before=900, leader_after=bidder_1)
  turn 21: GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_2)
  turn 22: Llama RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 23: Opus RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 24: GPT-5.4 PASS (before=1200, leader_after=bidder_1)
  turn 25: Llama RAISE to 1400 (before=1200, leader_after=bidder_5)
  turn 26: Opus RAISE to 1500 (before=1400, leader_after=bidder_1)
  turn 27: Llama PASS (before=1500, leader_after=bidder_1)

painting_4 | status=sold | winner=GPT-5.4 | winning_bid=1100
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Grok RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Opus RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Grok RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Pro RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Opus RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Grok RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Pro RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama PASS (before=1000, leader_after=bidder_4)
  turn 21: Opus PASS (before=1000, leader_after=bidder_4)
  turn 22: GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 23: Grok PASS (before=1100, leader_after=bidder_2)
  turn 24: Pro PASS (before=1100, leader_after=bidder_2)

painting_5 | status=sold | winner=Llama | winning_bid=1400
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Grok RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Opus RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Grok RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Pro RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Opus RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Grok RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Pro RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: Opus PASS (before=1100, leader_after=bidder_5)
  turn 22: GPT-5.4 RAISE to 1200 (before=1100, leader_after=bidder_2)
  turn 23: Grok PASS (before=1200, leader_after=bidder_2)
  turn 24: Pro PASS (before=1200, leader_after=bidder_2)
  turn 25: Llama RAISE to 1400 (before=1200, leader_after=bidder_5)
  turn 26: GPT-5.4 PASS (before=1400, leader_after=bidder_5)

painting_6 | status=sold | winner=Grok | winning_bid=1400
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Grok RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Opus RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Grok RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Pro RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Opus RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Grok RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Pro RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: Opus RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 22: GPT-5.4 RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 23: Grok RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 24: Pro PASS (before=1400, leader_after=bidder_3)
  turn 25: Llama PASS (before=1400, leader_after=bidder_3)
  turn 26: Opus PASS (before=1400, leader_after=bidder_3)
  turn 27: GPT-5.4 PASS (before=1400, leader_after=bidder_3)

painting_7 | status=sold | winner=GPT-5.4 | winning_bid=1400
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Grok PASS (before=400, leader_after=bidder_2)
  turn 9: Pro RAISE to 450 (before=400, leader_after=bidder_4)
  turn 10: Llama RAISE to 500 (before=450, leader_after=bidder_5)
  turn 11: Opus RAISE to 550 (before=500, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_2)
  turn 13: Pro RAISE to 650 (before=600, leader_after=bidder_4)
  turn 14: Llama RAISE to 700 (before=650, leader_after=bidder_5)
  turn 15: Opus RAISE to 750 (before=700, leader_after=bidder_1)
  turn 16: GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_2)
  turn 17: Pro RAISE to 850 (before=800, leader_after=bidder_4)
  turn 18: Llama RAISE to 900 (before=850, leader_after=bidder_5)
  turn 19: Opus RAISE to 950 (before=900, leader_after=bidder_1)
  turn 20: GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_2)
  turn 21: Pro RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 22: Llama RAISE to 1200 (before=1100, leader_after=bidder_5)
  turn 23: Opus RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 24: GPT-5.4 RAISE to 1400 (before=1300, leader_after=bidder_2)
  turn 25: Pro PASS (before=1400, leader_after=bidder_2)
  turn 26: Llama PASS (before=1400, leader_after=bidder_2)
  turn 27: Opus PASS (before=1400, leader_after=bidder_2)

painting_8 | status=sold | winner=Llama | winning_bid=2100
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Grok RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Opus RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Grok RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Pro RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Opus RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Grok RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Pro RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: Opus RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 22: GPT-5.4 RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 23: Grok RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 24: Pro RAISE to 1500 (before=1400, leader_after=bidder_4)
  turn 25: Llama RAISE to 1700 (before=1500, leader_after=bidder_5)
  turn 26: Opus RAISE to 1800 (before=1700, leader_after=bidder_1)
  turn 27: GPT-5.4 PASS (before=1800, leader_after=bidder_1)
  turn 28: Grok PASS (before=1800, leader_after=bidder_1)
  turn 29: Pro RAISE to 1900 (before=1800, leader_after=bidder_4)
  turn 30: Llama RAISE to 2100 (before=1900, leader_after=bidder_5)
  turn 31: Opus PASS (before=2100, leader_after=bidder_5)
  turn 32: Pro PASS (before=2100, leader_after=bidder_5)

painting_9 | status=sold | winner=Pro | winning_bid=2200
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Grok RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Opus RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Grok RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Pro RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Opus RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Grok RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Pro RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1200 (before=1000, leader_after=bidder_5)
  turn 21: Opus RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 22: GPT-5.4 RAISE to 1400 (before=1300, leader_after=bidder_2)
  turn 23: Grok RAISE to 1500 (before=1400, leader_after=bidder_3)
  turn 24: Pro RAISE to 1600 (before=1500, leader_after=bidder_4)
  turn 25: Llama PASS (before=1600, leader_after=bidder_4)
  turn 26: Opus RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 27: GPT-5.4 RAISE to 1800 (before=1700, leader_after=bidder_2)
  turn 28: Grok RAISE to 1900 (before=1800, leader_after=bidder_3)
  turn 29: Pro RAISE to 2000 (before=1900, leader_after=bidder_4)
  turn 30: Opus RAISE to 2100 (before=2000, leader_after=bidder_1)
  turn 31: GPT-5.4 PASS (before=2100, leader_after=bidder_1)
  turn 32: Grok PASS (before=2100, leader_after=bidder_1)
  turn 33: Pro RAISE to 2200 (before=2100, leader_after=bidder_4)
  turn 34: Opus PASS (before=2200, leader_after=bidder_4)

painting_10 | status=sold | winner=Grok | winning_bid=2800
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Grok RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Opus RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Grok RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Pro RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Opus RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Grok RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Pro RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: Opus RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 22: GPT-5.4 RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 23: Grok RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 24: Pro RAISE to 1500 (before=1400, leader_after=bidder_4)
  turn 25: Llama RAISE to 1600 (before=1500, leader_after=bidder_5)
  turn 26: Opus RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 27: GPT-5.4 RAISE to 1800 (before=1700, leader_after=bidder_2)
  turn 28: Grok RAISE to 1900 (before=1800, leader_after=bidder_3)
  turn 29: Pro RAISE to 2000 (before=1900, leader_after=bidder_4)
  turn 30: Llama PASS (before=2000, leader_after=bidder_4)
  turn 31: Opus RAISE to 2100 (before=2000, leader_after=bidder_1)
  turn 32: GPT-5.4 RAISE to 2200 (before=2100, leader_after=bidder_2)
  turn 33: Grok RAISE to 2300 (before=2200, leader_after=bidder_3)
  turn 34: Pro PASS (before=2300, leader_after=bidder_3)
  turn 35: Opus RAISE to 2400 (before=2300, leader_after=bidder_1)
  turn 36: GPT-5.4 RAISE to 2500 (before=2400, leader_after=bidder_2)
  turn 37: Grok RAISE to 2600 (before=2500, leader_after=bidder_3)
  turn 38: Opus RAISE to 2700 (before=2600, leader_after=bidder_1)
  turn 39: GPT-5.4 PASS (before=2700, leader_after=bidder_1)
  turn 40: Grok RAISE to 2800 (before=2700, leader_after=bidder_3)
  turn 41: Opus PASS (before=2800, leader_after=bidder_3)

painting_11 | status=sold | winner=Pro | winning_bid=6700
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Grok RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Opus RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Grok RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Pro RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Opus RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Grok RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Pro RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: Opus RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 22: GPT-5.4 RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 23: Grok RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 24: Pro RAISE to 1500 (before=1400, leader_after=bidder_4)
  turn 25: Llama RAISE to 1600 (before=1500, leader_after=bidder_5)
  turn 26: Opus RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 27: GPT-5.4 RAISE to 1800 (before=1700, leader_after=bidder_2)
  turn 28: Grok PASS (before=1800, leader_after=bidder_2)
  turn 29: Pro RAISE to 1900 (before=1800, leader_after=bidder_4)
  turn 30: Llama RAISE to 2000 (before=1900, leader_after=bidder_5)
  turn 31: Opus RAISE to 2100 (before=2000, leader_after=bidder_1)
  turn 32: GPT-5.4 RAISE to 2200 (before=2100, leader_after=bidder_2)
  turn 33: Pro RAISE to 2300 (before=2200, leader_after=bidder_4)
  turn 34: Llama RAISE to 2500 (before=2300, leader_after=bidder_5)
  turn 35: Opus RAISE to 2600 (before=2500, leader_after=bidder_1)
  turn 36: GPT-5.4 RAISE to 2700 (before=2600, leader_after=bidder_2)
  turn 37: Pro RAISE to 2800 (before=2700, leader_after=bidder_4)
  turn 38: Llama RAISE to 3000 (before=2800, leader_after=bidder_5)
  turn 39: Opus RAISE to 3250 (before=3000, leader_after=bidder_1)
  turn 40: GPT-5.4 RAISE to 3500 (before=3250, leader_after=bidder_2)
  turn 41: Pro RAISE to 3750 (before=3500, leader_after=bidder_4)
  turn 42: Llama PASS (before=3750, leader_after=bidder_4)
  turn 43: Opus RAISE to 4000 (before=3750, leader_after=bidder_1)
  turn 44: GPT-5.4 PASS (before=4000, leader_after=bidder_1)
  turn 45: Pro RAISE to 6700 (before=4000, leader_after=bidder_4)
  turn 46: Opus PASS (before=6700, leader_after=bidder_4)

painting_12 | status=sold | winner=Opus | winning_bid=7501
  turn 1: Opus RAISE to 7501 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 PASS (before=7501, leader_after=bidder_1)
  turn 3: Grok PASS (before=7501, leader_after=bidder_1)
  turn 4: Pro PASS (before=7501, leader_after=bidder_1)
  turn 5: Llama PASS (before=7501, leader_after=bidder_1)
