Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2241.75

painting_1 | status=sold | winner=Llama | winning_bid=1500
  turn 1: Pro PASS (before=0, leader_after=None)
  turn 33: Llama RAISE to 4500 (before=4250, leader_after=bidder_2)
  turn 34: Opus RAISE to 4750 (before=4500, leader_after=bidder_4)
  turn 35: Llama RAISE to 5000 (before=4750, leader_after=bidder_2)
  turn 36: Opus RAISE to 5250 (before=5000, leader_after=bidder_4)
  turn 37: Llama RAISE to 5500 (before=5250, leader_after=bidder_2)
  turn 38: Opus RAISE to 5750 (before=5500, leader_after=bidder_4)
  turn 39: Llama RAISE to 6000 (before=5750, leader_after=bidder_2)
  turn 40: Opus PASS (before=6000, leader_after=bidder_2)

painting_3 | status=sold | winner=Opus | winning_bid=2600
  turn 1: Pro PASS (before=0, leader_after=None)
  turn 2: Llama RAISE to 100 (before=0, leader_after=bidder_2)
  turn 3: Grok PASS (before=100, leader_after=bidder_2)
  turn 4: Opus RAISE to 150 (before=100, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_5)
  turn 6: Llama RAISE to 250 (before=200, leader_after=bidder_2)
  turn 7: Opus RAISE to 300 (before=250, leader_after=bidder_4)
  turn 8: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_5)
  turn 9: Llama RAISE to 400 (before=350, leader_after=bidder_2)
  turn 10: Opus RAISE to 450 (before=400, leader_after=bidder_4)
  turn 11: GPT-5.4 RAISE to 500 (before=450, leader_after=bidder_5)
  turn 12: Llama RAISE to 600 (before=500, leader_after=bidder_2)
  turn 13: Opus RAISE to 650 (before=600, leader_after=bidder_4)
  turn 14: GPT-5.4 PASS (before=650, leader_after=bidder_4)
  turn 15: Llama RAISE to 2500 (before=650, leader_after=bidder_2)
  turn 16: Opus RAISE to 2600 (before=2500, leader_after=bidder_4)
  turn 17: Llama PASS (before=2600, leader_after=bidder_4)

painting_4 | status=sold | winner=GPT-5.4 | winning_bid=2500
  turn 1: Pro PASS (before=0, leader_after=None)
  turn 2: Llama RAISE to 100 (before=0, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=100, leader_after=bidder_3)
  turn 4: Opus PASS (before=200, leader_after=bidder_3)
  turn 5: GPT-5.4 RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Llama RAISE to 500 (before=250, leader_after=bidder_2)
  turn 7: Grok PASS (before=500, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 9: Llama RAISE to 800 (before=550, leader_after=bidder_2)
  turn 10: GPT-5.4 RAISE to 2500 (before=800, leader_after=bidder_5)
  turn 11: Llama RAISE to 2600 (before=2500, leader_after=bidder_5)

painting_5 | status=sold | winner=GPT-5.4 | winning_bid=550
  turn 1: Pro RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Llama RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok PASS (before=150, leader_after=bidder_2)
  turn 4: Opus RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Pro PASS (before=250, leader_after=bidder_5)
  turn 7: Llama PASS (before=250, leader_after=bidder_5)
  turn 8: Opus RAISE to 300 (before=250, leader_after=bidder_4)
  turn 9: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_5)
  turn 10: Opus RAISE to 400 (before=350, leader_after=bidder_4)
  turn 11: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_5)
  turn 12: Opus RAISE to 500 (before=450, leader_after=bidder_4)
  turn 13: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 14: Opus PASS (before=550, leader_after=bidder_5)

painting_6 | status=sold | winner=Opus | winning_bid=550
  turn 1: Pro RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Llama RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Opus RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Pro PASS (before=300, leader_after=bidder_5)
  turn 7: Llama PASS (before=300, leader_after=bidder_5)
  turn 8: Grok PASS (before=300, leader_after=bidder_5)
  turn 9: Opus RAISE to 350 (before=300, leader_after=bidder_4)
  turn 10: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_5)
  turn 11: Opus RAISE to 450 (before=400, leader_after=bidder_4)
  turn 12: GPT-5.4 RAISE to 500 (before=450, leader_after=bidder_5)
  turn 13: Opus RAISE to 550 (before=500, leader_after=bidder_4)
  turn 14: GPT-5.4 PASS (before=550, leader_after=bidder_4)

painting_7 | status=sold | winner=Grok | winning_bid=150
  turn 1: Pro PASS (before=0, leader_after=None)
  turn 2: Llama RAISE to 100 (before=0, leader_after=bidder_2)
  turn 3: Grok RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Opus PASS (before=150, leader_after=bidder_3)
  turn 5: GPT-5.4 PASS (before=150, leader_after=bidder_3)
  turn 6: Llama PASS (before=150, leader_after=bidder_3)

painting_8 | status=sold | winner=GPT-5.4 | winning_bid=1100
  turn 1: Pro RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Llama RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Opus PASS (before=200, leader_after=bidder_3)
  turn 5: GPT-5.4 RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Pro PASS (before=250, leader_after=bidder_5)
  turn 7: Llama PASS (before=250, leader_after=bidder_5)
  turn 8: Grok RAISE to 500 (before=250, leader_after=bidder_3)
  turn 9: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 10: Grok RAISE to 1000 (before=550, leader_after=bidder_3)
  turn 11: GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 12: Grok PASS (before=1100, leader_after=bidder_5)

painting_9 | status=sold | winner=Grok | winning_bid=2501
  turn 1: Pro PASS (before=0, leader_after=None)
  turn 2: Llama RAISE to 100 (before=0, leader_after=bidder_2)
  turn 3: Grok RAISE to 2501 (before=100, leader_after=bidder_3)
  turn 4: Opus PASS (before=2501, leader_after=bidder_3)
  turn 5: GPT-5.4 PASS (before=2501, leader_after=bidder_3)
  turn 6: Llama PASS (before=2501, leader_after=bidder_3)

painting_10 | status=sold | winner=Opus | winning_bid=1000
  turn 1: Pro PASS (before=0, leader_after=None)
  turn 2: Llama RAISE to 100 (before=0, leader_after=bidder_2)
  turn 3: Grok RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Opus RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Llama PASS (before=250, leader_after=bidder_5)
  turn 7: Grok PASS (before=250, leader_after=bidder_5)
  turn 8: Opus RAISE to 300 (before=250, leader_after=bidder_4)
  turn 9: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_5)
  turn 10: Opus RAISE to 400 (before=350, leader_after=bidder_4)
  turn 11: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_5)
  turn 12: Opus RAISE to 500 (before=450, leader_after=bidder_4)
  turn 13: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 14: Opus RAISE to 600 (before=550, leader_after=bidder_4)
  turn 15: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_5)
  turn 16: Opus RAISE to 700 (before=650, leader_after=bidder_4)
  turn 17: GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_5)
  turn 18: Opus RAISE to 800 (before=750, leader_after=bidder_4)
  turn 19: GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_5)
  turn 20: Opus RAISE to 900 (before=850, leader_after=bidder_4)
  turn 21: GPT-5.4 RAISE to 950 (before=900, leader_after=bidder_5)
  turn 22: Opus RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 23: GPT-5.4 PASS (before=1000, leader_after=bidder_4)

painting_11 | status=sold | winner=Grok | winning_bid=2600
  turn 1: Pro PASS (before=0, leader_after=None)
  turn 2: Llama RAISE to 100 (before=0, leader_after=bidder_2)
  turn 3: Grok RAISE to 2000 (before=100, leader_after=bidder_3)
  turn 4: Opus PASS (before=2000, leader_after=bidder_3)
  turn 5: GPT-5.4 PASS (before=2000, leader_after=bidder_3)
  turn 6: Llama RAISE to 2500 (before=2000, leader_after=bidder_2)
  turn 7: Grok RAISE to 2600 (before=2500, leader_after=bidder_3)
  turn 8: Llama PASS (before=2600, leader_after=bidder_3)

painting_12 | status=sold | winner=GPT-5.4 | winning_bid=5850
  turn 1: Pro PASS (before=0, leader_after=None)
  turn 2: Llama RAISE to 100 (before=0, leader_after=bidder_2)
  turn 3: Grok PASS (before=100, leader_after=bidder_2)
  turn 4: Opus RAISE to 2550 (before=100, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 5850 (before=2550, leader_after=bidder_5)
  turn 6: Llama PASS (before=5850, leader_after=bidder_5)
  turn 7: Opus PASS (before=5850, leader_after=bidder_5)
